"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Adams County, OH"	"39001"	"Female"	"F"	592	256977	230.4
	"Adams County, OH"	"39001"	"Male"	"M"	762	249935	304.9
"Total"	"Adams County, OH"	"39001"			1354	506912	267.1
	"Allen County, OH"	"39003"	"Female"	"F"	2099	954948	219.8
	"Allen County, OH"	"39003"	"Male"	"M"	2363	962658	245.5
"Total"	"Allen County, OH"	"39003"			4462	1917606	232.7
	"Ashland County, OH"	"39005"	"Female"	"F"	982	486744	201.7
	"Ashland County, OH"	"39005"	"Male"	"M"	1182	467908	252.6
"Total"	"Ashland County, OH"	"39005"			2164	954652	226.7
	"Ashtabula County, OH"	"39007"	"Female"	"F"	2263	919743	246.0
	"Ashtabula County, OH"	"39007"	"Male"	"M"	2558	905747	282.4
"Total"	"Ashtabula County, OH"	"39007"			4821	1825490	264.1
	"Athens County, OH"	"39009"	"Female"	"F"	927	581706	159.4
	"Athens County, OH"	"39009"	"Male"	"M"	1059	572702	184.9
"Total"	"Athens County, OH"	"39009"			1986	1154408	172.0
	"Auglaize County, OH"	"39011"	"Female"	"F"	931	418709	222.4
	"Auglaize County, OH"	"39011"	"Male"	"M"	1006	409938	245.4
"Total"	"Auglaize County, OH"	"39011"			1937	828647	233.8
	"Belmont County, OH"	"39013"	"Female"	"F"	1710	628398	272.1
	"Belmont County, OH"	"39013"	"Male"	"M"	1906	632047	301.6
"Total"	"Belmont County, OH"	"39013"			3616	1260445	286.9
	"Brown County, OH"	"39015"	"Female"	"F"	884	399061	221.5
	"Brown County, OH"	"39015"	"Male"	"M"	1049	391049	268.3
"Total"	"Brown County, OH"	"39015"			1933	790110	244.6
	"Butler County, OH"	"39017"	"Female"	"F"	6023	3288692	183.1
	"Butler County, OH"	"39017"	"Male"	"M"	6415	3148201	203.8
"Total"	"Butler County, OH"	"39017"			12438	6436893	193.2
	"Carroll County, OH"	"39019"	"Female"	"F"	506	259771	194.8
