County,Year,Deaths,Population,Rate
Adams,1999,73,27422,266.2
Adams,2000,75,27330,274.4
Adams,2001,95,27522,345.2
Adams,2002,80,27817,287.6
Adams,2003,63,28111,224.1
Adams,2004,70,28328,247.1
Adams,2005,68,28522,238.4
Adams,2006,64,28615,223.7
Adams,2007,67,28538,234.8
Adams,2008,71,28686,247.5
Adams,2009,83,28500,291.2
Adams,2010,86,28550,301.2
Adams,2011,69,28456,242.5
Adams,2012,85,28350,299.8
Adams,2013,61,28105,217
Adams,2014,85,28129,302.2
Adams,2015,75,28024,267.6
Adams,2016,84,27907,301
Allen,1999,238,108192,220
Allen,2000,266,108473,245.2
Allen,2001,239,108523,220.2
Allen,2002,285,108518,262.6
Allen,2003,248,107418,230.9
Allen,2004,216,106826,202.2
Allen,2005,238,106861,222.7
Allen,2006,231,106716,216.5
Allen,2007,234,106717,219.3
Allen,2008,252,106773,236
Allen,2009,243,106518,228.1
Allen,2010,238,106331,223.8
Allen,2011,249,106094,234.7
Allen,2012,243,105141,231.1
Allen,2013,255,105298,242.2
Allen,2014,267,105040,254.2
Allen,2015,281,104425,269.1
Allen,2016,239,103742,230.4
Ashland,1999,113,52431,215.5
Ashland,2000,101,52523,192.3
Ashland,2001,97,52560,184.6
Ashland,2002,136,52595,258.6
Ashland,2003,113,52867,213.7
Ashland,2004,109,52852,206.2
Ashland,2005,99,53048,186.6
Ashland,2006,135,53231,253.6
Ashland,2007,125,53544,233.5
Ashland,2008,117,53499,218.7
Ashland,2009,139,53305,260.8
Ashland,2010,122,53139,229.6
Ashland,2011,129,53153,242.7
Ashland,2012,126,52962,237.9
Ashland,2013,133,53043,250.7
Ashland,2014,115,53035,216.8
Ashland,2015,136,53213,255.6
Ashland,2016,119,53652,221.8
Ashtabula,1999,284,102796,276.3
Ashtabula,2000,281,102728,273.5
Ashtabula,2001,242,102450,236.2
Ashtabula,2002,285,102577,277.8
Ashtabula,2003,259,102667,252.3
Ashtabula,2004,251,102648,244.5
Ashtabula,2005,257,102638,250.4
Ashtabula,2006,279,102340,272.6
Ashtabula,2007,287,102156,280.9
Ashtabula,2008,272,101826,267.1
Ashtabula,2009,265,101584,260.9
Ashtabula,2010,274,101497,270
Ashtabula,2011,293,101345,289.1
Ashtabula,2012,254,100389,253
