"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"External upper lip - Malignant neoplasms"	"C00.0"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"External upper lip - Malignant neoplasms"	"C00.0"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"External lower lip - Malignant neoplasms"	"C00.1"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"External lip, unspecified - Malignant neoplasms"	"C00.2"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Upper lip, inner aspect - Malignant neoplasms"	"C00.3"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Lower lip, inner aspect - Malignant neoplasms"	"C00.4"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Lower lip, inner aspect - Malignant neoplasms"	"C00.4"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Lower lip, inner aspect - Malignant neoplasms"	"C00.4"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Lower lip, inner aspect - Malignant neoplasms"	"C00.4"	"2002"	"2002"	Suppressed	1395998	Suppressed
