State,Year,Deaths,Population,Rate
Alabama,1999,9718,4430141,219.4
Alabama,2000,10020,4447100,225.3
Alabama,2001,10013,4467634,224.1
Alabama,2002,9899,4480089,221
Alabama,2003,9997,4503491,222
Alabama,2004,9971,4530729,220.1
Alabama,2005,10123,4569805,221.5
Alabama,2006,10106,4628981,218.3
Alabama,2007,10241,4672840,219.2
Alabama,2008,10427,4718206,221
Alabama,2009,10484,4757938,220.3
Alabama,2010,10405,4779736,217.7
Alabama,2011,10457,4802740,217.7
Alabama,2012,10495,4822023,217.6
Alabama,2013,10544,4833722,218.1
Alabama,2014,10506,4849377,216.6
Alabama,2015,10573,4858979,217.6
Alabama,2016,10644,4863300,218.9
Alaska,1999,652,624779,104.4
Alaska,2000,715,626932,114
Alaska,2001,707,633714,111.6
Alaska,2002,727,642337,113.2
Alaska,2003,749,648414,115.5
Alaska,2004,750,659286,113.8
Alaska,2005,752,666946,112.8
Alaska,2006,815,675302,120.7
Alaska,2007,850,680300,124.9
Alaska,2008,877,687455,127.6
Alaska,2009,908,698895,129.9
Alaska,2010,906,710231,127.6
Alaska,2011,952,722718,131.7
Alaska,2012,942,731449,128.8
Alaska,2013,1037,735132,141.1
Alaska,2014,992,736732,134.6
Alaska,2015,1007,738432,136.4
Alaska,2016,1020,741894,137.5
Arizona,1999,9192,5023823,183
Arizona,2000,9344,5130632,182.1
Arizona,2001,9394,5273477,178.1
Arizona,2002,9637,5396255,178.6
Arizona,2003,9873,5510364,179.2
Arizona,2004,9979,5652404,176.5
Arizona,2005,10242,5839077,175.4
Arizona,2006,10360,6029141,171.8
Arizona,2007,10572,6167681,171.4
Arizona,2008,10570,6280362,168.3
Arizona,2009,10747,6343154,169.4
Arizona,2010,11114,6392017,173.9
Arizona,2011,10996,6482505,169.6
Arizona,2012,11367,6553255,173.5
Arizona,2013,11654,6626624,175.9
Arizona,2014,11731,6731484,174.3
Arizona,2015,12063,6828065,176.7
Arizona,2016,12207,6931071,176.1
Arkansas,1999,6259,2651860,236
Arkansas,2000,6195,2673400,231.7
Arkansas,2001,6196,2691571,230.2
Arkansas,2002,6403,2705927,236.6
Arkansas,2003,6239,2724816,229
Arkansas,2004,6436,2749686,234.1
Arkansas,2005,6479,2781097,233
Arkansas,2006,6303,2821761,223.4
Arkansas,2007,6527,2848650,229.1
Arkansas,2008,6652,2874554,231.4
Arkansas,2009,6622,2896843,228.6
Arkansas,2010,6604,2915918,226.5
Arkansas,2011,6606,2937979,224.8
Arkansas,2012,6689,2949131,226.8
Arkansas,2013,6806,2959373,230
Arkansas,2014,6703,2966369,226
Arkansas,2015,6856,2978204,230.2
Arkansas,2016,6733,2988248,225.3
California,1999,54026,33499204,161.3
California,2000,54141,33871648,159.8
California,2001,54916,34479458,159.3
California,2002,55183,34871843,158.2
California,2003,55409,35253159,157.2
California,2004,54714,35574576,153.8
California,2005,55780,35827943,155.7
California,2006,55287,36021202,153.5
California,2007,56165,36250311,154.9
California,2008,55818,36604337,152.5
California,2009,57107,36961229,154.5
California,2010,57630,37253956,154.7
California,2011,57679,37691912,153
California,2012,58854,38041430,154.7
California,2013,58899,38332521,153.7
California,2014,59607,38802500,153.6
California,2015,60847,39144818,155.4
California,2016,60749,39250017,154.8
Colorado,1999,5992,4226018,141.8
Colorado,2000,6066,4301261,141
Colorado,2001,6292,4425687,142.2
Colorado,2002,6522,4490406,145.2
Colorado,2003,6549,4528732,144.6
Colorado,2004,6326,4575013,138.3
Colorado,2005,6585,4631888,142.2
Colorado,2006,6712,4720423,142.2
Colorado,2007,6773,4803868,141
Colorado,2008,6882,4889730,140.7
Colorado,2009,7117,4972195,143.1
Colorado,2010,7202,5029196,143.2
Colorado,2011,7245,5116796,141.6
Colorado,2012,7499,5187582,144.6
Colorado,2013,7551,5268367,143.3
Colorado,2014,7607,5355866,142
Colorado,2015,7805,5456574,143
Colorado,2016,8136,5540545,146.8
Connecticut,1999,7218,3386401,213.1
Connecticut,2000,7234,3405565,212.4
Connecticut,2001,7271,3432835,211.8
Connecticut,2002,7335,3458749,212.1
Connecticut,2003,7328,3484336,210.3
Connecticut,2004,7364,3496094,210.6
Connecticut,2005,7253,3506956,206.8
Connecticut,2006,7231,3517460,205.6
Connecticut,2007,6996,3527270,198.3
Connecticut,2008,7006,3545579,197.6
Connecticut,2009,7021,3561807,197.1
Connecticut,2010,7155,3574097,200.2
Connecticut,2011,7032,3580709,196.4
Connecticut,2012,6882,3590347,191.7
Connecticut,2013,6823,3596080,189.7
Connecticut,2014,6814,3596677,189.5
Connecticut,2015,6868,3590886,191.3
Connecticut,2016,6875,3576452,192.2
Delaware,1999,1778,774990,229.4
Delaware,2000,1641,783600,209.4
Delaware,2001,1823,795699,229.1
Delaware,2002,1664,806169,206.4
Delaware,2003,1752,818003,214.2
Delaware,2004,1861,830803,224
Delaware,2005,1843,845150,218.1
Delaware,2006,1816,859268,211.3
Delaware,2007,1895,871749,217.4
Delaware,2008,1943,883874,219.8
Delaware,2009,1863,891730,208.9
Delaware,2010,1953,897934,217.5
Delaware,2011,1943,907135,214.2
Delaware,2012,1973,917092,215.1
Delaware,2013,1954,925749,211.1
Delaware,2014,2012,935614,215
Delaware,2015,2051,945934,216.8
Delaware,2016,2166,952065,227.5
Florida,1999,39270,15759421,249.2
Florida,2000,39983,15982378,250.2
Florida,2001,40017,16356966,244.6
Florida,2002,40021,16689370,239.8
Florida,2003,40324,17004085,237.1
Florida,2004,40757,17415318,234
Florida,2005,41534,17842038,232.8
Florida,2006,41424,18166990,228
Florida,2007,41024,18367842,223.3
Florida,2008,41778,18527305,225.5
Florida,2009,42014,18652644,225.2
Florida,2010,42604,18801310,226.6
Florida,2011,42790,19057542,224.5
Florida,2012,43227,19317568,223.8
Florida,2013,43787,19552860,223.9
Florida,2014,44545,19893297,223.9
Florida,2015,45404,20271272,224
Florida,2016,45502,20612439,220.8
Georgia,1999,13482,8045965,167.6
Georgia,2000,14009,8186453,171.1
Georgia,2001,14159,8377038,169
Georgia,2002,14279,8508256,167.8
Georgia,2003,14340,8622793,166.3
Georgia,2004,14591,8769252,166.4
Georgia,2005,14648,8925922,164.1
Georgia,2006,14807,9155813,161.7
Georgia,2007,15314,9349988,163.8
Georgia,2008,14909,9504843,156.9
Georgia,2009,15489,9620846,161
Georgia,2010,15761,9687653,162.7
Georgia,2011,15900,9815210,162
Georgia,2012,16354,9919945,164.9
Georgia,2013,16731,9992167,167.4
Georgia,2014,17045,10097343,168.8
Georgia,2015,17371,10214860,170.1
Georgia,2016,17596,10310371,170.7
Hawaii,1999,1949,1210300,161
Hawaii,2000,1990,1211537,164.3
Hawaii,2001,2066,1225948,168.5
Hawaii,2002,1986,1239613,160.2
Hawaii,2003,2190,1251154,175
Hawaii,2004,2139,1273569,168
Hawaii,2005,2212,1292729,171.1
Hawaii,2006,2223,1309731,169.7
Hawaii,2007,2269,1315675,172.5
Hawaii,2008,2263,1332213,169.9
Hawaii,2009,2308,1346717,171.4
Hawaii,2010,2338,1360301,171.9
Hawaii,2011,2355,1374810,171.3
Hawaii,2012,2344,1392313,168.4
Hawaii,2013,2382,1404054,169.7
Hawaii,2014,2548,1419561,179.5
Hawaii,2015,2512,1431603,175.5
Hawaii,2016,2468,1428557,172.8
Idaho,1999,2205,1275674,172.8
Idaho,2000,2173,1293953,167.9
Idaho,2001,2139,1319962,162.1
Idaho,2002,2182,1340372,162.8
Idaho,2003,2367,1363380,173.6
Idaho,2004,2280,1391802,163.8
Idaho,2005,2416,1428241,169.2
Idaho,2006,2341,1468669,159.4
Idaho,2007,2466,1505105,163.8
Idaho,2008,2571,1534320,167.6
Idaho,2009,2517,1554439,161.9
Idaho,2010,2595,1567582,165.5
Idaho,2011,2630,1584985,165.9
Idaho,2012,2624,1595728,164.4
Idaho,2013,2759,1612136,171.1
Idaho,2014,2834,1634464,173.4
Idaho,2015,2918,1654930,176.3
Idaho,2016,2937,1683140,174.5
Illinois,1999,25543,12359020,206.7
Illinois,2000,25936,12419293,208.8
Illinois,2001,25332,12488445,202.8
Illinois,2002,25320,12525556,202.1
Illinois,2003,25048,12556006,199.5
Illinois,2004,24858,12589773,197.4
Illinois,2005,24794,12609903,196.6
Illinois,2006,24678,12643955,195.2
Illinois,2007,24721,12695866,194.7
Illinois,2008,24894,12747038,195.3
Illinois,2009,24836,12796778,194.1
Illinois,2010,24683,12830632,192.4
Illinois,2011,24667,12869257,191.7
Illinois,2012,25161,12875255,195.4
Illinois,2013,25063,12882135,194.6
Illinois,2014,25119,12880580,195
Illinois,2015,25360,12859995,197.2
Illinois,2016,25030,12801539,195.5
Indiana,1999,13144,6044969,217.4
Indiana,2000,13111,6080485,215.6
Indiana,2001,13085,6127760,213.5
Indiana,2002,13128,6155967,213.3
Indiana,2003,13239,6196638,213.6
Indiana,2004,12793,6233007,205.2
Indiana,2005,13099,6278616,208.6
Indiana,2006,13183,6332669,208.2
Indiana,2007,13027,6379599,204.2
Indiana,2008,13455,6424806,209.4
Indiana,2009,13384,6459325,207.2
Indiana,2010,13444,6483802,207.3
Indiana,2011,13430,6516922,206.1
Indiana,2012,13672,6537334,209.1
Indiana,2013,13632,6570902,207.5
Indiana,2014,13853,6596855,210
Indiana,2015,13817,6619680,208.7
Indiana,2016,13700,6633053,206.5
Iowa,1999,6492,2917634,222.5
Iowa,2000,6587,2926324,225.1
Iowa,2001,6553,2931997,223.5
Iowa,2002,6626,2934234,225.8
Iowa,2003,6616,2941999,224.9
Iowa,2004,6489,2953635,219.7
Iowa,2005,6596,2964454,222.5
Iowa,2006,6504,2982644,218.1
Iowa,2007,6523,2999212,217.5
Iowa,2008,6601,3016734,218.8
Iowa,2009,6397,3032870,210.9
Iowa,2010,6521,3046355,214.1
Iowa,2011,6652,3062309,217.2
Iowa,2012,6625,3074186,215.5
Iowa,2013,6660,3090416,215.5
Iowa,2014,6680,3107126,215
Iowa,2015,6663,3123899,213.3
Iowa,2016,6618,3134693,211.1
Kansas,1999,5447,2678338,203.4
Kansas,2000,5365,2688418,199.6
Kansas,2001,5571,2702162,206.2
Kansas,2002,5459,2713535,201.2
Kansas,2003,5448,2723004,200.1
Kansas,2004,5428,2734373,198.5
Kansas,2005,5543,2745299,201.9
Kansas,2006,5444,2762931,197
Kansas,2007,5531,2783785,198.7
Kansas,2008,5388,2808076,191.9
Kansas,2009,5451,2832704,192.4
Kansas,2010,5517,2853118,193.4
Kansas,2011,5593,2871238,194.8
Kansas,2012,5574,2885905,193.1
Kansas,2013,5505,2893957,190.2
Kansas,2014,5720,2904021,197
Kansas,2015,5747,2911641,197.4
Kansas,2016,5610,2907289,193
Kentucky,1999,9170,4018053,228.2
Kentucky,2000,9397,4041769,232.5
Kentucky,2001,9573,4068132,235.3
Kentucky,2002,9597,4089875,234.7
Kentucky,2003,9544,4117170,231.8
Kentucky,2004,9354,4146101,225.6
Kentucky,2005,9680,4182742,231.4
Kentucky,2006,9605,4219239,227.6
Kentucky,2007,9883,4256672,232.2
Kentucky,2008,9779,4289878,228
Kentucky,2009,9851,4317074,228.2
Kentucky,2010,10132,4339367,233.5
Kentucky,2011,9941,4369356,227.5
Kentucky,2012,10201,4380415,232.9
Kentucky,2013,10303,4395295,234.4
Kentucky,2014,10492,4413457,237.7
Kentucky,2015,10544,4425092,238.3
Kentucky,2016,10566,4436974,238.1
Louisiana,1999,9648,4460811,216.3
Louisiana,2000,9644,4468976,215.8
Louisiana,2001,9692,4477875,216.4
Louisiana,2002,9636,4497267,214.3
Louisiana,2003,9722,4521042,215
Louisiana,2004,9626,4552238,211.5
Louisiana,2005,9425,4576628,205.9
Louisiana,2006,9023,4302665,209.7
Louisiana,2007,8905,4375581,203.5
Louisiana,2008,9380,4435586,211.5
Louisiana,2009,9275,4491648,206.5
Louisiana,2010,9373,4533372,206.8
Louisiana,2011,9418,4574836,205.9
Louisiana,2012,9486,4601893,206.1
