"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	83776	43324798	193.4
	"Alabama"	"01"	"Male"	"M"	100847	40692033	247.8
"Total"	"Alabama"	"01"			184623	84016831	219.7
	"Alaska"	"02"	"Female"	"F"	6956	5930241	117.3
	"Alaska"	"02"	"Male"	"M"	8402	6430707	130.7
"Total"	"Alaska"	"02"			15358	12360948	124.2
	"Arizona"	"04"	"Female"	"F"	88398	54846072	161.2
	"Arizona"	"04"	"Male"	"M"	102644	54345319	188.9
"Total"	"Arizona"	"04"			191042	109191391	175.0
	"Arkansas"	"05"	"Female"	"F"	53044	26060801	203.5
	"Arkansas"	"05"	"Male"	"M"	64264	25054586	256.5
"Total"	"Arkansas"	"05"			117308	51115387	229.5
	"California"	"06"	"Female"	"F"	498559	330522104	150.8
	"California"	"06"	"Male"	"M"	524252	327209960	160.2
"Total"	"California"	"06"			1022811	657732064	155.5
	"Colorado"	"08"	"Female"	"F"	60647	43562310	139.2
	"Colorado"	"08"	"Male"	"M"	64214	43957837	146.1
"Total"	"Colorado"	"08"			124861	87520147	142.7
	"Connecticut"	"09"	"Female"	"F"	63807	32580127	195.8
	"Connecticut"	"09"	"Male"	"M"	63899	30848173	207.1
"Total"	"Connecticut"	"09"			127706	63428300	201.3
	"Delaware"	"10"	"Female"	"F"	16233	8059856	201.4
	"Delaware"	"10"	"Male"	"M"	17698	7582702	233.4
"Total"	"Delaware"	"10"			33931	15642558	216.9
	"District of Columbia"	"11"	"Female"	"F"	10602	5708861	185.7
	"District of Columbia"	"11"	"Male"	"M"	10648	5112796	208.3
"Total"	"District of Columbia"	"11"			21250	10821657	196.4
	"Florida"	"12"	"Female"	"F"	347889	167838332	207.3
	"Florida"	"12"	"Male"	"M"	408116	160432313	254.4
"Total"	"Florida"	"12"			756005	328270645	230.3
	"Georgia"	"13"	"Female"	"F"	130087	85321976	152.5
	"Georgia"	"13"	"Male"	"M"	146698	81782742	179.4
"Total"	"Georgia"	"13"			276785	167104718	165.6
	"Hawaii"	"15"	"Female"	"F"	18177	11850917	153.4
	"Hawaii"	"15"	"Male"	"M"	22365	11969468	186.9
"Total"	"Hawaii"	"15"			40542	23820385	170.2
	"Idaho"	"16"	"Female"	"F"	20859	13373830	156.0
	"Idaho"	"16"	"Male"	"M"	24095	13435052	179.3
"Total"	"Idaho"	"16"			44954	26808882	167.7
	"Illinois"	"17"	"Female"	"F"	221568	116393218	190.4
	"Illinois"	"17"	"Male"	"M"	229475	112037808	204.8
"Total"	"Illinois"	"17"			451043	228431026	197.5
	"Indiana"	"18"	"Female"	"F"	114037	58279255	195.7
	"Indiana"	"18"	"Male"	"M"	126159	56393134	223.7
"Total"	"Indiana"	"18"			240196	114672389	209.5
	"Iowa"	"19"	"Female"	"F"	56496	27447179	205.8
	"Iowa"	"19"	"Male"	"M"	61907	26793542	231.1
"Total"	"Iowa"	"19"			118403	54240721	218.3
	"Kansas"	"20"	"Female"	"F"	47446	25405103	186.8
	"Kansas"	"20"	"Male"	"M"	51895	24994691	207.6
"Total"	"Kansas"	"20"			99341	50399794	197.1
	"Kentucky"	"21"	"Female"	"F"	82565	38936105	212.1
	"Kentucky"	"21"	"Male"	"M"	95047	37570556	253.0
"Total"	"Kentucky"	"21"			177612	76506661	232.2
	"Louisiana"	"22"	"Female"	"F"	78537	41772652	188.0
	"Louisiana"	"22"	"Male"	"M"	91936	39725302	231.4
"Total"	"Louisiana"	"22"			170473	81497954	209.2
	"Maine"	"23"	"Female"	"F"	27816	12105011	229.8
	"Maine"	"23"	"Male"	"M"	30604	11573057	264.4
"Total"	"Maine"	"23"			58420	23678068	246.7
	"Maryland"	"24"	"Female"	"F"	94236	52735196	178.7
	"Maryland"	"24"	"Male"	"M"	97068	49377063	196.6
"Total"	"Maryland"	"24"			191304	102112259	187.3
	"Massachusetts"	"25"	"Female"	"F"	121482	60612793	200.4
	"Massachusetts"	"25"	"Male"	"M"	122469	56760590	215.8
"Total"	"Massachusetts"	"25"			243951	117373383	207.8
	"Michigan"	"26"	"Female"	"F"	179550	91217593	196.8
	"Michigan"	"26"	"Male"	"M"	192774	87957808	219.2
"Total"	"Michigan"	"26"			372324	179175401	207.8
	"Minnesota"	"27"	"Female"	"F"	83482	47281833	176.6
	"Minnesota"	"27"	"Male"	"M"	89514	46587744	192.1
"Total"	"Minnesota"	"27"			172996	93869577	184.3
	"Mississippi"	"28"	"Female"	"F"	51110	27144830	188.3
	"Mississippi"	"28"	"Male"	"M"	62538	25540164	244.9
"Total"	"Mississippi"	"28"			113648	52684994	215.7
	"Missouri"	"29"	"Female"	"F"	110310	53997006	204.3
	"Missouri"	"29"	"Male"	"M"	120566	51644919	233.5
"Total"	"Missouri"	"29"			230876	105641925	218.5
	"Montana"	"30"	"Female"	"F"	16944	8678521	195.2
	"Montana"	"30"	"Male"	"M"	19084	8714313	219.0
"Total"	"Montana"	"30"			36028	17392834	207.1
	"Nebraska"	"31"	"Female"	"F"	30165	16317951	184.9
	"Nebraska"	"31"	"Male"	"M"	32718	16038740	204.0
"Total"	"Nebraska"	"31"			62883	32356691	194.3
	"Nevada"	"32"	"Female"	"F"	36979	22416859	165.0
	"Nevada"	"32"	"Male"	"M"	43155	22920488	188.3
"Total"	"Nevada"	"32"			80134	45337347	176.8
