Year,County,Gender,Deaths,Pop,Percent
1999,Cuyahoga,F,19,738902,2.57138E-05
1999,Cuyahoga,M,44,660850,6.65809E-05
1999,Franklin,M,29,515034,5.6307E-05
1999,Hamilton,M,25,404892,6.17449E-05
1999,Montgomery,F,12,292270,4.10579E-05
1999,Montgomery,M,46,269674,0.000170576
1999,Summit,M,12,260757,4.60199E-05
2000,Cuyahoga,F,21,735497,2.85521E-05
2000,Cuyahoga,M,70,658481,0.000106305
2000,Franklin,F,12,549695,2.18303E-05
2000,Franklin,M,29,519283,5.58462E-05
2000,Hamilton,F,10,442334,2.26074E-05
2000,Hamilton,M,31,402969,7.6929E-05
2000,Lucas,M,21,218764,9.59939E-05
2000,Montgomery,F,17,290691,5.84813E-05
2000,Montgomery,M,38,268371,0.000141595
2000,Summit,M,11,261471,4.20697E-05
2000,Trumbull,M,10,108969,9.17692E-05
2001,Butler,M,10,164309,6.08609E-05
2001,Cuyahoga,F,35,728996,4.80112E-05
2001,Cuyahoga,M,84,653524,0.000128534
2001,Franklin,F,13,556523,2.33593E-05
2001,Franklin,M,38,526415,7.21864E-05
2001,Hamilton,F,19,439375,4.32432E-05
2001,Hamilton,M,35,400960,8.72905E-05
2001,Lucas,M,14,219006,6.39252E-05
2001,Montgomery,F,32,288834,0.00011079
2001,Montgomery,M,41,266702,0.00015373
2001,Summit,F,12,282077,4.25416E-05
2001,Summit,M,21,262477,8.0007E-05
2002,Butler,F,11,173793,6.32937E-05
2002,Butler,M,11,165721,6.63766E-05
2002,Cuyahoga,F,36,722786,4.98073E-05
2002,Cuyahoga,M,75,648707,0.000115615
2002,Franklin,F,27,559236,4.82802E-05
2002,Franklin,M,60,529457,0.000113324
2002,Greene,M,10,73821,0.000135463
2002,Hamilton,F,15,434821,3.4497E-05
2002,Hamilton,M,35,397569,8.8035E-05
2002,Lorain,M,11,141033,7.79959E-05
2002,Lucas,F,11,235287,4.67514E-05
2002,Lucas,M,24,218953,0.000109613
2002,Mahoning,M,11,121288,9.06932E-05
2002,Montgomery,F,44,287565,0.000153009
2002,Montgomery,M,68,265605,0.000256019
2002,Scioto,M,11,38622,0.000284812
2002,Summit,F,20,282142,7.08863E-05
2002,Summit,M,32,262724,0.000121801
2002,Trumbull,M,14,107913,0.000129734
2003,Butler,F,12,175479,6.83843E-05
2003,Butler,M,11,167543,6.56548E-05
2003,Cuyahoga,F,24,716363,3.35026E-05
2003,Cuyahoga,M,63,643566,9.78921E-05
2003,Franklin,F,21,562267,3.73488E-05
2003,Franklin,M,42,532983,7.88018E-05
2003,Hamilton,F,15,430693,3.48276E-05
2003,Hamilton,M,45,394446,0.000114084
