Notes	County	County Code	Weekday	Weekday Code	Deaths	Population	Crude Rate
	"Delaware County, OH"	39041	Sunday	1	2046	Not Applicable	Not Applicable
	"Delaware County, OH"	39041	Monday	2	2063	Not Applicable	Not Applicable
	"Delaware County, OH"	39041	Tuesday	3	2033	Not Applicable	Not Applicable
	"Delaware County, OH"	39041	Wednesday	4	2103	Not Applicable	Not Applicable
	"Delaware County, OH"	39041	Thursday	5	2068	Not Applicable	Not Applicable
	"Delaware County, OH"	39041	Friday	6	2201	Not Applicable	Not Applicable
	"Delaware County, OH"	39041	Saturday	7	2139	Not Applicable	Not Applicable
	"Fairfield County, OH"	39045	Sunday	1	2792	Not Applicable	Not Applicable
	"Fairfield County, OH"	39045	Monday	2	2770	Not Applicable	Not Applicable
	"Fairfield County, OH"	39045	Tuesday	3	2775	Not Applicable	Not Applicable
	"Fairfield County, OH"	39045	Wednesday	4	2835	Not Applicable	Not Applicable
	"Fairfield County, OH"	39045	Thursday	5	2893	Not Applicable	Not Applicable
	"Fairfield County, OH"	39045	Friday	6	2998	Not Applicable	Not Applicable
	"Fairfield County, OH"	39045	Saturday	7	2893	Not Applicable	Not Applicable
	"Franklin County, OH"	39049	Sunday	1	21691	Not Applicable	Not Applicable
	"Franklin County, OH"	39049	Monday	2	22093	Not Applicable	Not Applicable
	"Franklin County, OH"	39049	Tuesday	3	22132	Not Applicable	Not Applicable
	"Franklin County, OH"	39049	Wednesday	4	22033	Not Applicable	Not Applicable
	"Franklin County, OH"	39049	Thursday	5	22109	Not Applicable	Not Applicable
	"Franklin County, OH"	39049	Friday	6	22672	Not Applicable	Not Applicable
	"Franklin County, OH"	39049	Saturday	7	22370	Not Applicable	Not Applicable
	"Pickaway County, OH"	39129	Sunday	1	1277	Not Applicable	Not Applicable
	"Pickaway County, OH"	39129	Monday	2	1215	Not Applicable	Not Applicable
	"Pickaway County, OH"	39129	Tuesday	3	1186	Not Applicable	Not Applicable
	"Pickaway County, OH"	39129	Wednesday	4	1249	Not Applicable	Not Applicable
	"Pickaway County, OH"	39129	Thursday	5	1201	Not Applicable	Not Applicable
	"Pickaway County, OH"	39129	Friday	6	1251	Not Applicable	Not Applicable
	"Pickaway County, OH"	39129	Saturday	7	1284	Not Applicable	Not Applicable
---							
"Dataset: Underlying Cause of Death, 1999-2016"							
Query Parameters:							
Title:							
2013 Urbanization: All							
Autopsy: All							
Gender: All							
Hispanic Origin: All							
ICD-10 Codes: All							
Place of Death: All							
Race: All							
"States: Delaware County, OH (39041), Fairfield County, OH (39045), Franklin County, OH (39049), Pickaway County, OH (39129)"							
Ten-Year Age Groups: All							
Weekday: All							
Year/Month: All							
"Group By: County, Weekday"							
Show Totals: Disabled							
Show Zero Values: False							
Show Suppressed: False							
"Calculate Rates Per: 100,000"							
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)							
---							
Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.							
---							
"Query Date: Apr 24, 2018 9:55:34 PM"							
---							
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"							
"1999-2016 on CDC WONDER Online Database, released December, 2017. Data are from the Multiple Cause of Death Files, 1999-2016, as"							
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed							
"at http://wonder.cdc.gov/ucd-icd10.html on Apr 24, 2018 9:55:34 PM"							
---							
Messages:							
1. Totals are not available for these results due to suppression constraints. More Information:							
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.							
2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.							
---							
Caveats:							
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"							
due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates.							
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"							
http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision.							
3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:							
http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality.							
