,ICD Chapter,ICD Sub-Chapter,,Cause of death,,id,value
All Causes,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of newborn,,Hydrops fetalis not due to haemolytic disease,,,18
All Causes,Certain conditions originating in the perinatal period,Digestive system disorders of newborn,,Perinatal intestinal perforation,,,13
All Causes,Certain conditions originating in the perinatal period,Digestive system disorders of newborn,,Necrotizing enterocolitis of newborn,,,53
All Causes,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth,,Other preterm infants,,,195
All Causes,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth,,Extreme immaturity,,,412
All Causes,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of newborn,,Unspecified intraventricular (nontraumatic) haemorrhage of newborn,,,28
All Causes,Certain conditions originating in the perinatal period,Infections specific to the perinatal period,,"Bacterial sepsis of newborn, unspecified",,,53
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by maternal hypertensive disorders,,,11
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by oligohydramnios,,,13
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by other specified complications of labour and delivery,,,13
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by multiple pregnancy,,,21
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by other forms of placental separation and haemorrhage,,,53
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by incompetent cervix,,,68
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by chorioamnionitis,,,87
All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,Newborn affected by premature rupture of membranes,,,168
All Causes,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,,Hypoxic ischemic encephalopathy of newborn,,,11
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,"Intrauterine hypoxia, unspecified",,,15
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,Unspecified pulmonary haemorrhage originating in the perinatal period,,,18
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,Bronchopulmonary dysplasia originating in the perinatal period,,,18
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,"Birth asphyxia, unspecified",,,35
