ICD Chapter	ICD Sub-Chapter	Cause of death	Deaths
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"	Abnormal findings on diagnostic imaging of lung	17
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Aplastic and other anaemias	Acute posthaemorrhagic anaemia	29
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Aplastic and other anaemias	"Aplastic anaemia, unspecified"	83
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Aplastic and other anaemias	"Anaemia, unspecified"	219
Diseases of the musculoskeletal system and connective tissue	Arthropathies	Rheumatoid lung disease (J99.0*)	13
Diseases of the musculoskeletal system and connective tissue	Arthropathies	"Arthritis, unspecified"	15
Diseases of the musculoskeletal system and connective tissue	Arthropathies	"Pyogenic arthritis, unspecified"	27
Diseases of the musculoskeletal system and connective tissue	Arthropathies	"Arthrosis, unspecified"	84
Diseases of the musculoskeletal system and connective tissue	Arthropathies	"Rheumatoid arthritis, unspecified"	176
External causes of morbidity and mortality	Assault	"Assault by smoke, fire and flames"	17
External causes of morbidity and mortality	Assault	By unspecified person	19
External causes of morbidity and mortality	Assault	"Assault by rifle, shotgun and larger firearm discharge"	40
External causes of morbidity and mortality	Assault	"Assault by hanging, strangulation and suffocation"	51
External causes of morbidity and mortality	Assault	Assault by other specified means	75
External causes of morbidity and mortality	Assault	Assault by unspecified means	93
External causes of morbidity and mortality	Assault	Assault by sharp object	175
External causes of morbidity and mortality	Assault	Assault by other and unspecified firearm discharge	1324
Mental and behavioural disorders	Behavioural syndromes associated with physiological disturbances and physical factors	Psychological and behavioural factors associated with disorders or diseases classified elsewhere	17
Neoplasms	Benign neoplasms	"Meninges, unspecified - Benign neoplasms"	60
Diseases of the nervous system	Cerebral palsy and other paralytic syndromes	"Tetraplegia, unspecified"	31
Diseases of the nervous system	Cerebral palsy and other paralytic syndromes	"Paraplegia, unspecified"	44
Diseases of the nervous system	Cerebral palsy and other paralytic syndromes	"Infantile cerebral palsy, unspecified"	92
Diseases of the circulatory system	Cerebrovascular diseases	"Cerebrovascular, small grouped"	155
Diseases of the circulatory system	Cerebrovascular diseases	Intracerebral haemorrhage in brain stem	38
Diseases of the circulatory system	Cerebrovascular diseases	Intracerebral haemorrhage in cerebellum	43
Diseases of the circulatory system	Cerebrovascular diseases	Cerebral infarction due to thrombosis of cerebral arteries	54
Diseases of the circulatory system	Cerebrovascular diseases	Sequelae of cerebral infarction	54
Diseases of the circulatory system	Cerebrovascular diseases	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries	58
Diseases of the circulatory system	Cerebrovascular diseases	Cerebral infarction due to embolism of cerebral arteries	64
Diseases of the circulatory system	Cerebrovascular diseases	Cerebral atherosclerosis	68
Diseases of the circulatory system	Cerebrovascular diseases	"Intracerebral haemorrhage, intraventricular"	69
Diseases of the circulatory system	Cerebrovascular diseases	Other specified cerebrovascular diseases	74
Diseases of the circulatory system	Cerebrovascular diseases	Subdural haemorrhage (acute)(nontraumatic)	240
Diseases of the circulatory system	Cerebrovascular diseases	"Cerebrovascular disease, unspecified"	258
Diseases of the circulatory system	Cerebrovascular diseases	"Cerebral infarction, unspecified"	331
