,,ICD Chapter,ICD Sub-Chapter,Cause of death,
308,All Causes,Certain conditions originating in the perinatal period,Hydrops fetalis not due to haemolytic disease,,18
452,All Causes,Certain conditions originating in the perinatal period,Digestive system disorders of newborn,Necrotizing enterocolitis of newborn,53
566,All Causes,Certain conditions originating in the perinatal period,Digestive system disorders of newborn,Perinatal intestinal perforation,13
842,All Causes,Certain conditions originating in the perinatal period,Digestive system disorders of newborn,,
255,All Causes,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth,Extreme immaturity,412
523,All Causes,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth,Other preterm infants,195
841,All Causes,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth,,
720,All Causes,Certain conditions originating in the perinatal period,Unspecified intraventricular (nontraumatic) haemorrhage of newborn,,28
17,All Causes,Certain conditions originating in the perinatal period,"Bacterial sepsis of newborn, unspecified",,53
459,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by chorioamnionitis,87
460,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by incompetent cervix,68
461,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by maternal hypertensive disorders,11
462,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by multiple pregnancy,21
463,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by oligohydramnios,13
464,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by other forms of placental separation and haemorrhage,53
465,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by other specified complications of labour and delivery,13
466,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Newborn affected by premature rupture of membranes,168
840,All Causes,Certain conditions originating in the perinatal period,"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,
327,All Causes,Certain conditions originating in the perinatal period,Hypoxic ischemic encephalopathy of newborn,,11
13,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,"Birth asphyxia, unspecified",35
111,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Bronchopulmonary dysplasia originating in the perinatal period,18
373,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,"Intrauterine hypoxia, unspecified",15
454,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Neonatal cardiac dysrhythmia,65
455,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Neonatal cardiac failure,40
599,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Primary atelectasis of newborn,38
614,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Respiratory distress syndrome of newborn,68
726,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Unspecified pulmonary haemorrhage originating in the perinatal period,18
839,All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,
859,All Causes,Certain conditions originating in the perinatal period,,,
292,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in encephalopathy,24
293,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in multiple diseases classified elsewhere,65
294,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in multiple infections,69
295,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in other bacterial infections,41
296,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in other infectious and parasitic diseases,55
297,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in other malignant neoplasms,10
298,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in other mycoses,14
299,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in other specified conditions,148
300,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in other types of non-Hodgkin's lymphoma,21
301,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in other viral infections,33
302,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in Pneumocystis carinii pneumonia,24
303,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,HIV disease resulting in wasting syndrome,29
719,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,Unspecified human immunodeficiency virus [HIV] disease,113
838,All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,
241,All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,Enterocolitis due to Clostridium difficile,564
273,All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,Gastroenteritis and colitis of unspecified origin,74
498,All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,Other and unspecified gastroenteritis and colitis of infectious origin,24
744,All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,"Viral intestinal infection, unspecified",10
837,All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,,
118,All Causes,Certain infectious and parasitic diseases,Mycoses,Candidal septicaemia,12
723,All Causes,Certain infectious and parasitic diseases,Mycoses,Unspecified mycosis,32
836,All Causes,Certain infectious and parasitic diseases,Mycoses,,
19,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,"Bacterial infection, unspecified",112
379,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,Legionnaires' disease,31
503,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,Other bacterial infections of unspecified site,15
634,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,Septicaemia due to other Gram-negative organisms,77
635,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,Septicaemia due to Staphylococcus aureus,49
636,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,Septicaemia due to Streptococcus pneumoniae,13
637,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,Septicaemia due to unspecified staphylococcus,30
638,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,"Septicaemia, unspecified",2556
663,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,"Staphylococcal infection, unspecified",51
667,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,"Streptococcal infection, unspecified",11
668,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,"Streptococcal septicaemia, unspecified",14
835,All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,
499,All Causes,Certain infectious and parasitic diseases,Other and unspecified infectious diseases,,24
743,All Causes,Certain infectious and parasitic diseases,"Viral infection, unspecified",,16
644,All Causes,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,Sequelae of other specified infectious and parasitic diseases,44
645,All Causes,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,Sequelae of poliomyelitis,31
648,All Causes,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,Sequelae of viral hepatitis,33
832,All Causes,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,,
616,All Causes,Certain infectious and parasitic diseases,Tuberculosis,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",13
697,All Causes,Certain infectious and parasitic diseases,Tuberculosis,Tuberculosis of bones and joints,10
698,All Causes,Certain infectious and parasitic diseases,Tuberculosis,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",24
831,All Causes,Certain infectious and parasitic diseases,Tuberculosis,,
85,All Causes,Certain infectious and parasitic diseases,Viral hepatitis,Acute hepatitis C,63
86,All Causes,Certain infectious and parasitic diseases,Viral hepatitis,Acute hepatitis B without delta-agent and without hepatic coma,32
164,All Causes,Certain infectious and parasitic diseases,Viral hepatitis,Chronic viral hepatitis B without delta-agent,12
165,All Causes,Certain infectious and parasitic diseases,Viral hepatitis,Chronic viral hepatitis C,236
731,All Causes,Certain infectious and parasitic diseases,Viral hepatitis,Unspecified viral hepatitis without hepatic coma,11
830,All Causes,Certain infectious and parasitic diseases,Viral hepatitis,,
291,All Causes,Certain infectious and parasitic diseases,Herpesviral encephalitis,,10
181,All Causes,Certain infectious and parasitic diseases,Viral infections of the central nervous system,Creutzfeldt-Jakob disease - CJD,32
730,All Causes,Certain infectious and parasitic diseases,Viral infections of the central nervous system,Unspecified viral encephalitis,14
828,All Causes,Certain infectious and parasitic diseases,Viral infections of the central nervous system,,
858,All Causes,Certain infectious and parasitic diseases,,,
216,All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified","Down's syndrome, unspecified",61
232,All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified","Edwards' syndrome, unspecified",65
552,All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified","Patau's syndrome, unspecified",31
827,All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified",,
175,All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Congenital, small grouped",,104
173,All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformation of heart, unspecified",,121
52,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,Anencephaly,37
172,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,"Congenital hydrocephalus, unspecified",11
305,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,Holoprosencephaly,10
524,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,Other reduction deformities of brain,10
660,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,"Spina bifida, unspecified",13
825,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,,
324,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Hypoplasia and dysplasia of lung,,34
592,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system,"Polycystic kidney, unspecified",23
