Notes	ICD Chapter	ICD Sub-Chapter	Cause of death	Deaths	Population
	External causes of morbidity and mortality	Transport accidents	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	10	26990678
	External causes of morbidity and mortality	Transport accidents	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	124	26990678
	External causes of morbidity and mortality	Transport accidents	Unspecified whether traffic or nontraffic accident	18	26990678
	External causes of morbidity and mortality	Transport accidents	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	178	26990678
	External causes of morbidity and mortality	Transport accidents	Pedestrian injured in unspecified transport accident	14	26990678
	External causes of morbidity and mortality	Transport accidents	Driver injured in collision with other and unspecified motor vehicles in traffic accident	11	26990678
	External causes of morbidity and mortality	Transport accidents	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	48	26990678
	External causes of morbidity and mortality	Transport accidents	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	48	26990678
	External causes of morbidity and mortality	Transport accidents	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	17	26990678
	External causes of morbidity and mortality	Transport accidents	Driver injured in collision with other and unspecified motor vehicles in traffic accident	56	26990678
	External causes of morbidity and mortality	Transport accidents	Motorcycle rider [any] injured in unspecified traffic accident	65	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	135	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	68	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	21	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	13	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	121	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	41	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	21	26990678
	External causes of morbidity and mortality	Transport accidents	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	15	26990678
	External causes of morbidity and mortality	Transport accidents	Driver injured in collision with other and unspecified motor vehicles in traffic accident	11	26990678
	External causes of morbidity and mortality	Transport accidents	Car occupant [any] injured in unspecified traffic accident	86	26990678
	External causes of morbidity and mortality	Transport accidents	Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)	10	26990678
	External causes of morbidity and mortality	Transport accidents	Person injured in collision between car and pick-up truck or van (traffic)	23	26990678
	External causes of morbidity and mortality	Transport accidents	Person injured in collision between car and heavy transport vehicle (traffic)	20	26990678
	External causes of morbidity and mortality	Transport accidents	Person injured in collision between other specified motor vehicles (traffic)	469	26990678
	External causes of morbidity and mortality	Transport accidents	"Person injured in unspecified motor-vehicle accident, traffic"	693	26990678
	External causes of morbidity and mortality	Transport accidents	Person injured in unspecified vehicle accident	20	26990678
	External causes of morbidity and mortality	Transport accidents	Unspecified aircraft accident injuring occupant	23	26990678
Total	External causes of morbidity and mortality	Transport accidents		2683	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	"Fall on same level from slipping, tripping and stumbling"	14	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Fall involving wheelchair	17	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Fall involving bed	20	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Fall on and from stairs and steps	123	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Fall on and from ladder	15	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	"Fall from, out of or through building or structure"	23	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Other fall from one level to another	67	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Other fall on same level	134	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Unspecified fall	1320	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	"Struck by thrown, projected or falling object"	22	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Discharge from other and unspecified firearms	29	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Drowning and submersion while in bath-tub	10	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Drowning and submersion while in natural water	45	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Unspecified drowning and submersion	112	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Accidental suffocation and strangulation in bed	63	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Other accidental hanging and strangulation	23	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Inhalation of gastric contents	19	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Inhalation and ingestion of food causing obstruction of respiratory tract	52	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Inhalation and ingestion of other objects causing obstruction of respiratory tract	357	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Other specified threats to breathing	12	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Unspecified threat to breathing	38	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to unspecified electric current	11	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to uncontrolled fire in building or structure	186	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	"Exposure to unspecified smoke, fire and flames"	10	26990678
	External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to excessive natural heat	11	26990678
