Notes	Weekday	Weekday Code	Cause of death	Cause of death Code	Deaths	Population	Crude Rate
	Sunday	1	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	V03.1	20	Not Applicable	Not Applicable
	Sunday	1	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	V09.2	30	Not Applicable	Not Applicable
	Sunday	1	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V43.5	21	Not Applicable	Not Applicable
	Sunday	1	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	V47.5	27	Not Applicable	Not Applicable
	Sunday	1	Car occupant [any] injured in unspecified traffic accident	V49.9	17	Not Applicable	Not Applicable
	Sunday	1	Person injured in collision between other specified motor vehicles (traffic)	V87.7	78	Not Applicable	Not Applicable
	Sunday	1	"Person injured in unspecified motor-vehicle accident, traffic"	V89.2	106	Not Applicable	Not Applicable
	Sunday	1	Fall on and from stairs and steps	W10	24	Not Applicable	Not Applicable
	Sunday	1	Other fall on same level	W18	20	Not Applicable	Not Applicable
	Sunday	1	Unspecified fall	W19	183	Not Applicable	Not Applicable
	Sunday	1	Drowning and submersion while in natural water	W69	16	Not Applicable	Not Applicable
	Sunday	1	Unspecified drowning and submersion	W74	19	Not Applicable	Not Applicable
	Sunday	1	Inhalation and ingestion of other objects causing obstruction of respiratory tract	W80	51	Not Applicable	Not Applicable
	Sunday	1	Exposure to uncontrolled fire in building or structure	X00	31	Not Applicable	Not Applicable
	Sunday	1	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X41	19	Not Applicable	Not Applicable
	Sunday	1	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	X42	241	Not Applicable	Not Applicable
	Sunday	1	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X44	189	Not Applicable	Not Applicable
	Sunday	1	Accidental poisoning by and exposure to alcohol	X45	29	Not Applicable	Not Applicable
	Sunday	1	Accidental poisoning by and exposure to other gases and vapours	X47	13	Not Applicable	Not Applicable
	Sunday	1	Exposure to unspecified factor	X59	56	Not Applicable	Not Applicable
	Sunday	1	Exposure to unspecified factor causing fracture	X59.0	16	Not Applicable	Not Applicable
	Sunday	1	Exposure to unspecified factor causing other and unspecified injury	X59.9	10	Not Applicable	Not Applicable
	Sunday	1	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X64	25	Not Applicable	Not Applicable
	Sunday	1	Intentional self-poisoning by and exposure to other gases and vapours	X67	18	Not Applicable	Not Applicable
	Sunday	1	"Intentional self-harm by hanging, strangulation and suffocation"	X70	87	Not Applicable	Not Applicable
	Sunday	1	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	X73	14	Not Applicable	Not Applicable
	Sunday	1	Intentional self-harm by other and unspecified firearm discharge	X74	186	Not Applicable	Not Applicable
	Sunday	1	Assault by other and unspecified firearm discharge	X95	195	Not Applicable	Not Applicable
	Sunday	1	Assault by sharp object	X99	34	Not Applicable	Not Applicable
	Sunday	1	Assault by other specified means	Y08	13	Not Applicable	Not Applicable
	Sunday	1	Assault by unspecified means	Y09	16	Not Applicable	Not Applicable
	Sunday	1	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	Y14	13	Not Applicable	Not Applicable
	Sunday	1	Sequelae of motor-vehicle accident	Y85.0	10	Not Applicable	Not Applicable
Total	Sunday	1			2203	Not Applicable	Not Applicable
	Monday	2	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	V03.1	15	Not Applicable	Not Applicable
	Monday	2	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	V09.2	22	Not Applicable	Not Applicable
	Monday	2	Driver injured in collision with other and unspecified motor vehicles in traffic accident	V29.4	10	Not Applicable	Not Applicable
	Monday	2	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V43.5	20	Not Applicable	Not Applicable
	Monday	2	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	V43.6	12	Not Applicable	Not Applicable
	Monday	2	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	V47.5	12	Not Applicable	Not Applicable
	Monday	2	Person injured in collision between other specified motor vehicles (traffic)	V87.7	56	Not Applicable	Not Applicable
	Monday	2	"Person injured in unspecified motor-vehicle accident, traffic"	V89.2	89	Not Applicable	Not Applicable
	Monday	2	Fall on and from stairs and steps	W10	15	Not Applicable	Not Applicable
	Monday	2	Other fall from one level to another	W17	12	Not Applicable	Not Applicable
	Monday	2	Other fall on same level	W18	18	Not Applicable	Not Applicable
	Monday	2	Unspecified fall	W19	188	Not Applicable	Not Applicable
	Monday	2	Unspecified drowning and submersion	W74	17	Not Applicable	Not Applicable
	Monday	2	Inhalation and ingestion of food causing obstruction of respiratory tract	W79	11	Not Applicable	Not Applicable
	Monday	2	Inhalation and ingestion of other objects causing obstruction of respiratory tract	W80	45	Not Applicable	Not Applicable
	Monday	2	Exposure to uncontrolled fire in building or structure	X00	20	Not Applicable	Not Applicable
	Monday	2	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X41	18	Not Applicable	Not Applicable
	Monday	2	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	X42	233	Not Applicable	Not Applicable
	Monday	2	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X44	138	Not Applicable	Not Applicable
	Monday	2	Accidental poisoning by and exposure to alcohol	X45	21	Not Applicable	Not Applicable
	Monday	2	Exposure to unspecified factor	X59	62	Not Applicable	Not Applicable
	Monday	2	Exposure to unspecified factor causing fracture	X59.0	23	Not Applicable	Not Applicable
	Monday	2	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X64	29	Not Applicable	Not Applicable
	Monday	2	Intentional self-poisoning by and exposure to other gases and vapours	X67	27	Not Applicable	Not Applicable
	Monday	2	"Intentional self-harm by hanging, strangulation and suffocation"	X70	101	Not Applicable	Not Applicable
	Monday	2	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	X73	28	Not Applicable	Not Applicable
	Monday	2	Intentional self-harm by other and unspecified firearm discharge	X74	197	Not Applicable	Not Applicable
	Monday	2	Intentional self-harm by jumping from a high place	X80	10	Not Applicable	Not Applicable
	Monday	2	Assault by other and unspecified firearm discharge	X95	184	Not Applicable	Not Applicable
	Monday	2	Assault by sharp object	X99	18	Not Applicable	Not Applicable
