"Notes"	"Weekday"	"Weekday Code"	"Place of Death"	"Place of Death Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	18	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	11	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Other fall on same level"	"W18"	14	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Unspecified fall"	"W19"	111	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	33	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	25	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Exposure to unspecified factor"	"X59"	28	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	17	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Inpatient"	"1"	"Assault by other and unspecified firearm discharge"	"X95"	22	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	12	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	33	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	35	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Unspecified fall"	"W19"	16	Not Applicable	Not Applicable
	"Sunday"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	44	Not Applicable	Not Applicable
