County,Year,Deaths,Population,Rate
Adams,1999,110,27422,401.1
Adams,2000,104,27330,380.5
Adams,2001,83,27522,301.6
Adams,2002,103,27817,370.3
Adams,2003,109,28111,387.7
Adams,2004,94,28328,331.8
Adams,2005,88,28522,308.5
Adams,2006,95,28615,332
Adams,2007,92,28538,322.4
Adams,2008,87,28686,303.3
Adams,2009,83,28500,291.2
Adams,2010,94,28550,329.2
Adams,2011,88,28511,308.7
Adams,2012,86,28354,303.3
Adams,2013,94,28132,334.1
Adams,2014,79,28124,280.9
Adams,2015,101,28024,360.4
Allen,1999,444,108192,410.4
Allen,2000,486,108473,448
Allen,2001,496,108523,457
Allen,2002,434,108518,399.9
Allen,2003,445,107418,414.3
Allen,2004,412,106826,385.7
Allen,2005,394,106861,368.7
Allen,2006,378,106716,354.2
Allen,2007,390,106717,365.5
Allen,2008,383,106773,358.7
Allen,2009,348,106518,326.7
Allen,2010,385,106331,362.1
Allen,2011,327,105963,308.6
Allen,2012,370,105329,351.3
Allen,2013,364,105216,346
Allen,2014,372,105048,354.1
Allen,2015,317,104425,303.6
Ashland,1999,242,52431,461.6
Ashland,2000,198,52523,377
Ashland,2001,204,52560,388.1
Ashland,2002,200,52595,380.3
Ashland,2003,229,52867,433.2
Ashland,2004,190,52852,359.5
Ashland,2005,194,53048,365.7
Ashland,2006,196,53231,368.2
Ashland,2007,136,53544,254
Ashland,2008,169,53499,315.9
Ashland,2009,183,53305,343.3
Ashland,2010,188,53139,353.8
Ashland,2011,182,53285,341.6
Ashland,2012,198,53238,371.9
Ashland,2013,184,53122,346.4
Ashland,2014,176,53085,331.5
Ashland,2015,166,53213,312
Ashtabula,1999,431,102796,419.3
Ashtabula,2000,442,102728,430.3
Ashtabula,2001,401,102450,391.4
Ashtabula,2002,395,102577,385.1
Ashtabula,2003,400,102667,389.6
Ashtabula,2004,411,102648,400.4
Ashtabula,2005,435,102638,423.8
Ashtabula,2006,386,102340,377.2
Ashtabula,2007,389,102156,380.8
Ashtabula,2008,324,101826,318.2
Ashtabula,2009,340,101584,334.7
Ashtabula,2010,390,101497,384.2
Ashtabula,2011,370,101099,366
Ashtabula,2012,367,100268,366
Ashtabula,2013,351,99750,351.9
Ashtabula,2014,379,99138,382.3
Ashtabula,2015,404,98632,409.6
Athens,1999,193,61856,312
Athens,2000,197,62223,316.6
Athens,2001,184,62997,292.1
Athens,2002,200,63401,315.5
Athens,2003,191,63827,299.2
Athens,2004,147,63230,232.5
Athens,2005,159,64075,248.1
Athens,2006,159,64237,247.5
Athens,2007,155,64102,241.8
Athens,2008,140,64546,216.9
Athens,2009,131,64618,202.7
Athens,2010,170,64757,262.5
Athens,2011,163,65112,250.3
Athens,2012,154,64641,238.2
Athens,2013,126,64511,195.3
Athens,2014,142,64722,219.4
Athens,2015,137,65886,207.9
Auglaize,1999,193,46663,413.6
Auglaize,2000,213,46611,457
Auglaize,2001,191,46137,414
Auglaize,2002,178,45943,387.4
Auglaize,2003,191,45872,416.4
Auglaize,2004,190,45932,413.7
Auglaize,2005,175,46166,379.1
Auglaize,2006,177,46034,384.5
Auglaize,2007,175,45977,380.6
Auglaize,2008,162,46167,350.9
Auglaize,2009,169,45996,367.4
Auglaize,2010,151,45949,328.6
Auglaize,2011,160,45819,349.2
Auglaize,2012,170,45875,370.6
Auglaize,2013,147,45907,320.2
Auglaize,2014,161,45890,350.8
Auglaize,2015,194,45876,422.9
Belmont,1999,424,70587,600.7
Belmont,2000,403,70226,573.9
Belmont,2001,390,69901,557.9
Belmont,2002,378,70293,537.7
Belmont,2003,395,70219,562.5
Belmont,2004,369,70241,525.3
Belmont,2005,324,70203,461.5
Belmont,2006,332,70469,471.1
Belmont,2007,348,70430,494.1
Belmont,2008,347,70356,493.2
Belmont,2009,321,70439,455.7
Belmont,2010,370,70400,525.6
Belmont,2011,350,70065,499.5
Belmont,2012,369,69638,529.9
Belmont,2013,319,69527,458.8
Belmont,2014,279,69414,401.9
Belmont,2015,305,69154,441
Brown,1999,149,41544,358.7
Brown,2000,144,42285,340.5
Brown,2001,130,42839,303.5
Brown,2002,130,43368,299.8
Brown,2003,131,43794,299.1
Brown,2004,139,43995,315.9
Brown,2005,160,44161,362.3
Brown,2006,133,44334,300
Brown,2007,122,44490,274.2
Brown,2008,145,44668,324.6
Brown,2009,109,44740,243.6
Brown,2010,118,44846,263.1
Brown,2011,117,44675,261.9
Brown,2012,125,44399,281.5
Brown,2013,162,44243,366.2
Brown,2014,140,44078,317.6
Brown,2015,148,43839,337.6
Butler,1999,975,330751,294.8
Butler,2000,948,332807,284.8
Butler,2001,908,336679,269.7
Butler,2002,942,339514,277.5
Butler,2003,916,343022,267
Butler,2004,858,346655,247.5
Butler,2005,861,350732,245.5
Butler,2006,804,356691,225.4
Butler,2007,857,361192,237.3
Butler,2008,826,364179,226.8
Butler,2009,872,366633,237.8
Butler,2010,780,368130,211.9
Butler,2011,806,370199,217.7
Butler,2012,747,370802,201.5
Butler,2013,832,371387,224
Butler,2014,854,373948,228.4
Butler,2015,883,376353,234.6
Carroll,1999,106,28763,368.5
Carroll,2000,115,28836,398.8
Carroll,2001,98,28961,338.4
Carroll,2002,85,29172,291.4
Carroll,2003,95,29325,324
Carroll,2004,89,29297,303.8
Carroll,2005,93,29118,319.4
Carroll,2006,92,29163,315.5
Carroll,2007,99,29062,340.7
Carroll,2008,110,28999,379.3
Carroll,2009,95,28917,328.5
Carroll,2010,101,28836,350.3
Carroll,2011,97,28894,335.7
Carroll,2012,104,28583,363.9
Carroll,2013,85,28307,300.3
Carroll,2014,120,28209,425.4
Carroll,2015,96,27811,345.2
Champaign,1999,145,38669,375
Champaign,2000,136,38890,349.7
Champaign,2001,148,39047,379
Champaign,2002,128,39280,325.9
Champaign,2003,156,39395,396
Champaign,2004,145,39565,366.5
Champaign,2005,171,39592,431.9
Champaign,2006,116,40018,289.9
Champaign,2007,121,40127,301.5
Champaign,2008,101,40263,250.9
Champaign,2009,118,40265,293.1
Champaign,2010,133,40097,331.7
Champaign,2011,111,39873,278.4
Champaign,2012,98,39578,247.6
Champaign,2013,88,39451,223.1
Champaign,2014,122,39078,312.2
Champaign,2015,121,38987,310.4
Clark,1999,707,145159,487.1
Clark,2000,651,144742,449.8
Clark,2001,662,143803,460.4
Clark,2002,660,143229,460.8
Clark,2003,629,141758,443.7
Clark,2004,549,141380,388.3
Clark,2005,555,141367,392.6
Clark,2006,508,140668,361.1
Clark,2007,523,139829,374
Clark,2008,528,139404,378.8
Clark,2009,520,138778,374.7
Clark,2010,530,138333,383.1
Clark,2011,506,137760,367.3
Clark,2012,509,137193,371
Clark,2013,534,136740,390.5
Clark,2014,539,136482,394.9
Clark,2015,551,135959,405.3
Clermont,1999,456,176389,258.5
Clermont,2000,451,177977,253.4
Clermont,2001,454,179845,252.4
Clermont,2002,438,182143,240.5
Clermont,2003,417,184446,226.1
Clermont,2004,417,187281,222.7
Clermont,2005,460,189486,242.8
Clermont,2006,375,192209,195.1
Clermont,2007,384,194346,197.6
Clermont,2008,411,195891,209.8
Clermont,2009,390,196512,198.5
Clermont,2010,421,197363,213.3
Clermont,2011,390,198615,196.4
Clermont,2012,487,199242,244.4
Clermont,2013,468,200219,233.7
Clermont,2014,470,201375,233.4
Clermont,2015,538,201973,266.4
Clinton,1999,136,40104,339.1
Clinton,2000,148,40543,365
Clinton,2001,138,40777,338.4
Clinton,2002,127,41042,309.4
Clinton,2003,122,41250,295.8
Clinton,2004,142,41557,341.7
Clinton,2005,113,41775,270.5
Clinton,2006,105,42499,247.1
Clinton,2007,107,42576,251.3
Clinton,2008,130,42656,304.8
Clinton,2009,112,42418,264
Clinton,2010,119,42040,283.1
Clinton,2011,137,41915,326.9
Clinton,2012,148,41844,353.7
Clinton,2013,132,41902,315
Clinton,2014,138,41880,329.5
Clinton,2015,153,41917,365
Columbiana,1999,507,112151,452.1
Columbiana,2000,504,112075,449.7
Columbiana,2001,478,111370,429.2
Columbiana,2002,496,111097,446.5
Columbiana,2003,437,111000,393.7
Columbiana,2004,394,110627,356.2
Columbiana,2005,423,109784,385.3
Columbiana,2006,393,109673,358.3
Columbiana,2007,379,109153,347.2
Columbiana,2008,408,108469,376.1
Columbiana,2009,337,107948,312.2
Columbiana,2010,386,107841,357.9
Columbiana,2011,381,107265,355.2
Columbiana,2012,402,106441,377.7
Columbiana,2013,394,105827,372.3
Columbiana,2014,406,105597,384.5
Columbiana,2015,458,104806,437
Coshocton,1999,162,36526,443.5
Coshocton,2000,158,36655,431
Coshocton,2001,136,36975,367.8
Coshocton,2002,174,37149,468.4
Coshocton,2003,150,37288,402.3
Coshocton,2004,156,37421,416.9
Coshocton,2005,144,37363,385.4
Coshocton,2006,118,37339,316
Coshocton,2007,115,37184,309.3
Coshocton,2008,126,36953,341
Coshocton,2009,111,36878,301
Coshocton,2010,96,36901,260.2
Coshocton,2011,126,36919,341.3
Coshocton,2012,127,36821,344.9
Coshocton,2013,143,36745,389.2
Coshocton,2014,113,36568,309
Coshocton,2015,111,36569,303.5
Crawford,1999,210,47156,445.3
Crawford,2000,208,46966,442.9
Crawford,2001,199,46533,427.7
Crawford,2002,202,46271,436.6
Crawford,2003,187,45928,407.2
Crawford,2004,181,45776,395.4
Crawford,2005,184,45536,404.1
Crawford,2006,166,44907,369.7
Crawford,2007,177,44634,396.6
Crawford,2008,181,44291,408.7
Crawford,2009,137,43921,311.9
Crawford,2010,156,43784,356.3
Crawford,2011,165,43297,381.1
Crawford,2012,136,42827,317.6
Crawford,2013,150,42754,350.8
Crawford,2014,212,42439,499.5
Crawford,2015,181,42306,427.8
Cuyahoga,1999,6416,1399752,458.4
Cuyahoga,2000,6555,1393978,470.2
Cuyahoga,2001,6710,1382520,485.3
Cuyahoga,2002,6431,1371493,468.9
Cuyahoga,2003,6150,1359929,452.2
Cuyahoga,2004,5922,1346714,439.7
