State,Year,Deaths,Population,Rate
Alabama,1999,17548,4430141,396.1
Alabama,2000,17607,4447100,395.9
Alabama,2001,17301,4467634,387.3
Alabama,2002,17436,4480089,389.2
Alabama,2003,17338,4503491,385
Alabama,2004,16865,4530729,372.2
Alabama,2005,16989,4569805,371.8
Alabama,2006,16378,4628981,353.8
Alabama,2007,15786,4672840,337.8
Alabama,2008,15987,4718206,338.8
Alabama,2009,15776,4757938,331.6
Alabama,2010,15809,4779736,330.8
Alabama,2011,15577,4801108,324.4
Alabama,2012,15722,4816089,326.4
Alabama,2013,16252,4830533,336.4
Alabama,2014,16227,4846411,334.8
Alabama,2015,16991,4858979,349.7
Alaska,1999,777,624779,124.4
Alaska,2000,827,626932,131.9
Alaska,2001,864,633714,136.3
Alaska,2002,797,642337,124.1
Alaska,2003,922,648414,142.2
Alaska,2004,815,659286,123.6
Alaska,2005,853,666946,127.9
Alaska,2006,877,675302,129.9
Alaska,2007,818,680300,120.2
Alaska,2008,850,687455,123.6
Alaska,2009,928,698895,132.8
Alaska,2010,945,710231,133.1
Alaska,2011,980,722720,135.6
Alaska,2012,955,731228,130.6
Alaska,2013,963,737442,130.6
Alaska,2014,1015,737046,137.7
Alaska,2015,1110,738432,150.3
Arizona,1999,14417,5023823,287
Arizona,2000,14240,5130632,277.5
Arizona,2001,14094,5273477,267.3
Arizona,2002,14432,5396255,267.4
Arizona,2003,14352,5510364,260.5
Arizona,2004,14093,5652404,249.3
Arizona,2005,14475,5839077,247.9
Arizona,2006,13902,6029141,230.6
Arizona,2007,13586,6167681,220.3
Arizona,2008,13625,6280362,216.9
Arizona,2009,13450,6343154,212
Arizona,2010,13192,6392017,206.4
Arizona,2011,14133,6468732,218.5
Arizona,2012,14267,6553262,217.7
Arizona,2013,14284,6630799,215.4
Arizona,2014,14489,6728783,215.3
Arizona,2015,15538,6828065,227.6
Arkansas,1999,11260,2651860,424.6
Arkansas,2000,11156,2673400,417.3
Arkansas,2001,11183,2691571,415.5
Arkansas,2002,11218,2705927,414.6
Arkansas,2003,10514,2724816,385.9
Arkansas,2004,10131,2749686,368.4
Arkansas,2005,10125,2781097,364.1
Arkansas,2006,9925,2821761,351.7
Arkansas,2007,9687,2848650,340.1
Arkansas,2008,9819,2874554,341.6
Arkansas,2009,9520,2896843,328.6
Arkansas,2010,9586,2915918,328.7
Arkansas,2011,9384,2938538,319.3
Arkansas,2012,9629,2949499,326.5
Arkansas,2013,9604,2957957,324.7
Arkansas,2014,9708,2966835,327.2
Arkansas,2015,10239,2978204,343.8
California,1999,96511,33499204,288.1
California,2000,92982,33871648,274.5
California,2001,92912,34479458,269.5
California,2002,93025,34871843,266.8
California,2003,93373,35253159,264.9
California,2004,88674,35574576,249.3
California,2005,87527,35827943,244.3
California,2006,86484,36021202,240.1
California,2007,82836,36250311,228.5
California,2008,81256,36604337,222
California,2009,79173,36961229,214.2
California,2010,78960,37253956,212
California,2011,80309,37700034,213
California,2012,80373,38056055,211.2
California,2013,81605,38414128,212.4
California,2014,79249,38792291,204.3
California,2015,84345,39144818,215.5
Colorado,1999,9270,4226018,219.4
Colorado,2000,9106,4301261,211.7
Colorado,2001,9238,4425687,208.7
Colorado,2002,9418,4490406,209.7
Colorado,2003,9334,4528732,206.1
Colorado,2004,8760,4575013,191.5
Colorado,2005,8933,4631888,192.9
Colorado,2006,8578,4720423,181.7
Colorado,2007,8512,4803868,177.2
Colorado,2008,8452,4889730,172.9
Colorado,2009,8335,4972195,167.6
Colorado,2010,8352,5029196,166.1
Colorado,2011,8545,5119480,166.9
Colorado,2012,8643,5191731,166.5
Colorado,2013,8829,5271132,167.5
Colorado,2014,9439,5355588,176.2
Colorado,2015,9649,5456574,176.8
Connecticut,1999,11838,3386401,349.6
Connecticut,2000,11808,3405565,346.7
Connecticut,2001,11358,3432835,330.9
Connecticut,2002,11447,3458749,331
Connecticut,2003,11015,3484336,316.1
Connecticut,2004,10299,3496094,294.6
Connecticut,2005,9999,3506956,285.1
Connecticut,2006,9797,3517460,278.5
Connecticut,2007,9454,3527270,268
Connecticut,2008,9471,3545579,267.1
Connecticut,2009,9258,3561807,259.9
Connecticut,2010,9141,3574097,255.8
Connecticut,2011,9155,3589759,255
Connecticut,2012,9176,3593541,255.3
Connecticut,2013,9183,3597168,255.3
