ICD Chapter,ICD Sub-Chapter,Cause of death,id,id,value
Diseases of the circulatory system,,,Diseases of the circulatory system,Diseases of the circulatory system,
Diseases of the circulatory system,Cerebrovascular diseases,,Diseases of the circulatory system.Cerebrovascular diseases,Diseases of the circulatory system.Cerebrovascular diseases,
Diseases of the circulatory system,Cerebrovascular diseases,"Cerebral aneurysm, nonruptured","Diseases of the circulatory system.Cerebrovascular diseases.Cerebral aneurysm, nonruptured","Diseases of the circulatory system.Cerebrovascular diseases.Cerebral aneurysm, nonruptured",29
Diseases of the circulatory system,Cerebrovascular diseases,Cerebral atherosclerosis,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral atherosclerosis,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral atherosclerosis,68
Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to embolism of cerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to embolism of cerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to embolism of cerebral arteries,64
Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to thrombosis of cerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to thrombosis of cerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to thrombosis of cerebral arteries,54
Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to thrombosis of precerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to thrombosis of precerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to thrombosis of precerebral arteries,10
Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,14
Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,58
Diseases of the circulatory system,Cerebrovascular diseases,"Cerebral infarction, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Cerebral infarction, unspecified",331
