"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Rheumatic fever without mention of heart involvement"	"I00"	Suppressed	26990678	Suppressed
	"Acute rheumatic pericarditis"	"I01.0"	Suppressed	26990678	Suppressed
	"Acute rheumatic endocarditis"	"I01.1"	Suppressed	26990678	Suppressed
	"Acute rheumatic myocarditis"	"I01.2"	Suppressed	26990678	Suppressed
	"Other acute rheumatic heart disease"	"I01.8"	Suppressed	26990678	Suppressed
	"Acute rheumatic heart disease, unspecified"	"I01.9"	Suppressed	26990678	Suppressed
	"Rheumatic chorea with heart involvement"	"I02.0"	Suppressed	26990678	Suppressed
	"Rheumatic chorea without heart involvement"	"I02.9"	Suppressed	26990678	Suppressed
	"Mitral stenosis"	"I05.0"	39	26990678	0.1
	"Rheumatic mitral insufficiency"	"I05.1"	Suppressed	26990678	Suppressed
	"Mitral stenosis with insufficiency"	"I05.2"	Suppressed	26990678	Suppressed
	"Other mitral valve diseases"	"I05.8"	Suppressed	26990678	Suppressed
	"Mitral valve disease, unspecified"	"I05.9"	86	26990678	0.3
	"Rheumatic aortic stenosis"	"I06.0"	Suppressed	26990678	Suppressed
	"Rheumatic aortic insufficiency"	"I06.1"	Suppressed	26990678	Suppressed
	"Rheumatic aortic stenosis with insufficiency"	"I06.2"	Suppressed	26990678	Suppressed
	"Other rheumatic aortic valve diseases"	"I06.8"	Suppressed	26990678	Suppressed
	"Rheumatic aortic valve disease, unspecified"	"I06.9"	Suppressed	26990678	Suppressed
	"Tricuspid stenosis"	"I07.0"	Suppressed	26990678	Suppressed
	"Tricuspid insufficiency"	"I07.1"	17	26990678	0.1 (Unreliable)
	"Tricuspid stenosis with insufficiency"	"I07.2"	Suppressed	26990678	Suppressed
	"Other tricuspid valve diseases"	"I07.8"	Suppressed	26990678	Suppressed
	"Tricuspid valve disease, unspecified"	"I07.9"	Suppressed	26990678	Suppressed
	"Disorders of both mitral and aortic valves"	"I08.0"	59	26990678	0.2
	"Disorders of both mitral and tricuspid valves"	"I08.1"	Suppressed	26990678	Suppressed
	"Disorders of both aortic and tricuspid valves"	"I08.2"	Suppressed	26990678	Suppressed
	"Combined disorders of mitral, aortic and tricuspid valves"	"I08.3"	Suppressed	26990678	Suppressed
	"Other multiple valve diseases"	"I08.8"	Suppressed	26990678	Suppressed
	"Multiple valve disease, unspecified"	"I08.9"	Suppressed	26990678	Suppressed
	"Rheumatic myocarditis"	"I09.0"	Suppressed	26990678	Suppressed
	"Rheumatic diseases of endocardium, valve unspecified"	"I09.1"	12	26990678	0.0 (Unreliable)
	"Chronic rheumatic pericarditis"	"I09.2"	Suppressed	26990678	Suppressed
	"Other specified rheumatic heart diseases"	"I09.8"	Suppressed	26990678	Suppressed
	"Rheumatic heart disease, unspecified"	"I09.9"	16	26990678	0.1 (Unreliable)
	"Essential (primary) hypertension"	"I10"	1298	26990678	4.8
	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	662	26990678	2.5
	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	1775	26990678	6.6
	"Hypertensive renal disease with renal failure"	"I12.0"	806	26990678	3.0
	"Hypertensive renal disease without renal failure"	"I12.9"	13	26990678	0.0 (Unreliable)
	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	10	26990678	0.0 (Unreliable)
	"Hypertensive heart and renal disease with renal failure"	"I13.1"	110	26990678	0.4
	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	144	26990678	0.5
	"Hypertensive heart and renal disease, unspecified"	"I13.9"	18	26990678	0.1 (Unreliable)
	"Renovascular hypertension"	"I15.0"	Suppressed	26990678	Suppressed
	"Secondary hypertension, unspecified"	"I15.9"	Suppressed	26990678	Suppressed
	"Unstable angina"	"I20.0"	Suppressed	26990678	Suppressed
	"Angina pectoris with documented spasm"	"I20.1"	Suppressed	26990678	Suppressed
	"Other forms of angina pectoris"	"I20.8"	Suppressed	26990678	Suppressed
	"Angina pectoris, unspecified"	"I20.9"	15	26990678	0.1 (Unreliable)
	"Acute transmural myocardial infarction of anterior wall"	"I21.0"	Suppressed	26990678	Suppressed
	"Acute transmural myocardial infarction of inferior wall"	"I21.1"	Suppressed	26990678	Suppressed
	"Acute transmural myocardial infarction of other sites"	"I21.2"	Suppressed	26990678	Suppressed
	"Acute transmural myocardial infarction of unspecified site"	"I21.3"	Suppressed	26990678	Suppressed
	"Acute subendocardial myocardial infarction"	"I21.4"	31	26990678	0.1
	"Acute myocardial infarction, unspecified"	"I21.9"	9637	26990678	35.7
	"Subsequent myocardial infarction of anterior wall"	"I22.0"	Suppressed	26990678	Suppressed
	"Subsequent myocardial infarction of inferior wall"	"I22.1"	Suppressed	26990678	Suppressed
	"Subsequent myocardial infarction of other sites"	"I22.8"	Suppressed	26990678	Suppressed
	"Subsequent myocardial infarction of unspecified site"	"I22.9"	Suppressed	26990678	Suppressed
	"Dressler's syndrome"	"I24.1"	Suppressed	26990678	Suppressed
	"Other forms of acute ischaemic heart disease"	"I24.8"	27	26990678	0.1
	"Acute ischaemic heart disease, unspecified"	"I24.9"	115	26990678	0.4
	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	3248	26990678	12.0
	"Atherosclerotic heart disease"	"I25.1"	12573	26990678	46.6
	"Old myocardial infarction"	"I25.2"	Suppressed	26990678	Suppressed
	"Aneurysm of heart"	"I25.3"	Suppressed	26990678	Suppressed
	"Coronary artery aneurysm"	"I25.4"	Suppressed	26990678	Suppressed
	"Ischaemic cardiomyopathy"	"I25.5"	1266	26990678	4.7
	"Silent myocardial ischaemia"	"I25.6"	Suppressed	26990678	Suppressed
	"Other forms of chronic ischaemic heart disease"	"I25.8"	168	26990678	0.6
	"Chronic ischaemic heart disease, unspecified"	"I25.9"	481	26990678	1.8
	"Pulmonary embolism with mention of acute cor pulmonale"	"I26.0"	Suppressed	26990678	Suppressed
	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	654	26990678	2.4
	"Primary pulmonary hypertension"	"I27.0"	115	26990678	0.4
	"Kyphoscoliotic heart disease"	"I27.1"	Suppressed	26990678	Suppressed
	"Other secondary pulmonary hypertension"	"I27.2"	400	26990678	1.5
	"Other specified pulmonary heart diseases"	"I27.8"	11	26990678	0.0 (Unreliable)
