"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Rheumatic fever without mention of heart involvement"	"I00"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Acute rheumatic pericarditis"	"I01.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Acute rheumatic endocarditis"	"I01.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Acute rheumatic myocarditis"	"I01.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Other acute rheumatic heart disease"	"I01.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Acute rheumatic heart disease, unspecified"	"I01.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Rheumatic chorea with heart involvement"	"I02.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	"Rheumatic chorea without heart involvement"	"I02.9"	Suppressed	26990678	Suppressed
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"			Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Mitral stenosis"	"I05.0"	39	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic mitral insufficiency"	"I05.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Mitral stenosis with insufficiency"	"I05.2"	Suppressed	26990678	Suppressed
