County,County Code,Year,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate
"Adams County, OH",39001,2000,White,2106-3,298,26974,1104.8,1072.5
"Adams County, OH",39001,2001,White,2106-3,321,27172,1181.4,1146.7
"Adams County, OH",39001,2002,White,2106-3,303,27471,1103,1085.5
"Adams County, OH",39001,2003,White,2106-3,293,27775,1054.9,1023.5
"Adams County, OH",39001,2004,White,2106-3,294,27992,1050.3,1028.4
"Adams County, OH",39001,2005,White,2106-3,295,28189,1046.5,1018.8
"Adams County, OH",39001,2006,White,2106-3,302,28283,1067.8,1001.9
"Adams County, OH",39001,2007,White,2106-3,296,28201,1049.6,976.9
"Adams County, OH",39001,2008,White,2106-3,313,28361,1103.6,1016
"Adams County, OH",39001,2009,White,2106-3,304,28179,1078.8,973.5
"Adams County, OH",39001,2010,White,2106-3,321,28222,1137.4,1024
"Allen County, OH",39003,2000,Black or African American,2054-5,115,13970,823.2,1295.4
"Allen County, OH",39003,2000,White,2106-3,1000,93532,1069.2,900.1
"Allen County, OH",39003,2001,Black or African American,2054-5,99,14036,705.3,1095.6
"Allen County, OH",39003,2001,White,2106-3,985,93469,1053.8,885.5
"Allen County, OH",39003,2002,Black or African American,2054-5,124,14139,877,1310.9
"Allen County, OH",39003,2002,White,2106-3,995,93336,1066,883.3
"Allen County, OH",39003,2003,Black or African American,2054-5,103,13818,745.4,1122.5
"Allen County, OH",39003,2003,White,2106-3,979,92541,1057.9,881.6
"Allen County, OH",39003,2004,Black or African American,2054-5,99,13743,720.4,1057.2
"Allen County, OH",39003,2004,White,2106-3,885,91993,962,791.5
"Allen County, OH",39003,2005,Black or African American,2054-5,99,13762,719.4,1030.1
"Allen County, OH",39003,2005,White,2106-3,905,91976,984,794.9
"Allen County, OH",39003,2006,Black or African American,2054-5,104,13948,745.6,1067
"Allen County, OH",39003,2006,White,2106-3,937,91629,1022.6,809.3
"Allen County, OH",39003,2007,Black or African American,2054-5,117,14062,832,1212.1
"Allen County, OH",39003,2007,White,2106-3,912,91489,996.8,780.8
"Allen County, OH",39003,2008,Black or African American,2054-5,119,14139,841.6,1206.1
"Allen County, OH",39003,2008,White,2106-3,927,91484,1013.3,785.6
"Allen County, OH",39003,2009,Black or African American,2054-5,113,14175,797.2,1109.9
"Allen County, OH",39003,2009,White,2106-3,934,91165,1024.5,784.8
"Allen County, OH",39003,2010,Black or African American,2054-5,103,14141,728.4,974.3
"Allen County, OH",39003,2010,White,2106-3,972,90997,1068.2,802.6
"Ashland County, OH",39005,2000,White,2106-3,462,51640,894.7,793.7
"Ashland County, OH",39005,2001,White,2106-3,471,51646,912,800.3
"Ashland County, OH",39005,2002,White,2106-3,483,51660,935,799.9
"Ashland County, OH",39005,2003,White,2106-3,533,51936,1026.3,870.2
"Ashland County, OH",39005,2004,White,2106-3,462,51908,890,749.5
"Ashland County, OH",39005,2005,White,2106-3,476,52110,913.5,760.5
"Ashland County, OH",39005,2006,White,2106-3,532,52274,1017.7,834.6
"Ashland County, OH",39005,2007,White,2106-3,473,52541,900.2,721.6
"Ashland County, OH",39005,2008,White,2106-3,500,52513,952.1,763.9
"Ashland County, OH",39005,2009,White,2106-3,532,52292,1017.4,809.7
"Ashland County, OH",39005,2010,White,2106-3,530,52154,1016.2,797.2
"Ashtabula County, OH",39007,2000,Black or African American,2054-5,43,3623,1186.9,1573
"Ashtabula County, OH",39007,2000,White,2106-3,1132,98395,1150.5,1006.9
"Ashtabula County, OH",39007,2001,Black or African American,2054-5,26,3769,689.8,900.6
"Ashtabula County, OH",39007,2001,White,2106-3,1048,97928,1070.2,927.6
"Ashtabula County, OH",39007,2002,Black or African American,2054-5,29,3844,754.4,1034.1
"Ashtabula County, OH",39007,2002,White,2106-3,1059,97972,1080.9,930.7
"Ashtabula County, OH",39007,2003,Black or African American,2054-5,29,3915,740.7,1041.5
"Ashtabula County, OH",39007,2003,White,2106-3,1033,97975,1054.4,893.5
"Ashtabula County, OH",39007,2004,Black or African American,2054-5,25,3977,628.6,817.1
"Ashtabula County, OH",39007,2004,White,2106-3,1027,97891,1049.1,878.6
"Ashtabula County, OH",39007,2005,Black or African American,2054-5,34,4065,836.4,1046.7
"Ashtabula County, OH",39007,2005,White,2106-3,1097,97768,1122,933.6
"Ashtabula County, OH",39007,2006,Black or African American,2054-5,40,4110,973.2,1305.1
"Ashtabula County, OH",39007,2006,White,2106-3,1045,97398,1072.9,868.7
"Ashtabula County, OH",39007,2007,Black or African American,2054-5,36,4180,861.2,1142.7
"Ashtabula County, OH",39007,2007,White,2106-3,1078,97143,1109.7,898.8
"Ashtabula County, OH",39007,2008,Black or African American,2054-5,38,4237,896.9,1144.2
"Ashtabula County, OH",39007,2008,White,2106-3,1079,96753,1115.2,889.6
"Ashtabula County, OH",39007,2009,Black or African American,2054-5,44,4351,1011.3,1338.6
"Ashtabula County, OH",39007,2009,White,2106-3,1043,96376,1082.2,856.6
"Ashtabula County, OH",39007,2010,Black or African American,2054-5,33,4399,750.2,911.3
"Ashtabula County, OH",39007,2010,White,2106-3,1084,96211,1126.7,875.7
"Athens County, OH",39009,2000,Black or African American,2054-5,15,1682,891.8 (Unreliable),2318.3 (Unreliable)
"Athens County, OH",39009,2000,White,2106-3,461,58995,781.4,1009.8
"Athens County, OH",39009,2001,White,2106-3,479,59511,804.9,1047.3
"Athens County, OH",39009,2002,Black or African American,2054-5,14,1870,748.7 (Unreliable),1609.0 (Unreliable)
"Athens County, OH",39009,2002,White,2106-3,506,59846,845.5,1094.9
"Athens County, OH",39009,2003,Black or African American,2054-5,14,1885,742.7 (Unreliable),1330.5 (Unreliable)
"Athens County, OH",39009,2003,White,2106-3,449,60195,745.9,959.2
"Athens County, OH",39009,2004,White,2106-3,399,59529,670.3,854.6
