County,"Male obesity prevalence, 2001 (%)","Female obesity prevalence, 2001 (%)","Male obesity prevalence, 2009 (%)","Female obesity  prevalence, 2009 (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)","Difference in male obesity prevalence, 2001-2009 (percentage points)","Difference in female obesity prevalence, 2001-2009 (percentage points)"
Adams,29,33.4,39.7,41.7,40.9,42.7,10.7,8.2
Allen,27.9,30.5,42,43.8,43.4,44.9,14.1,13.3
Ashland,27.1,28,37.7,37.2,39,37.5,10.6,9.2
Ashtabula,28.5,29.9,34.6,39.6,35.8,40.7,6.1,9.7
Athens,28.8,28.4,36.6,40,37.7,40.9,7.8,11.6
Auglaize,27.2,29.2,37.9,38,39,38.9,10.8,8.8
Belmont,26.8,29.7,36.3,40,37.6,40.8,9.5,10.3
Brown,28.9,29.9,39.2,38.9,40.6,40.2,10.3,9
Butler,26.9,30.7,36.2,35.2,37.4,35.9,9.3,4.4
Carroll,29.8,30.1,39.2,39.3,40.3,40.6,9.3,9.2
Champaign,29.1,30,37.8,37.8,39.1,39.2,8.7,7.8
Clark,31.6,32.2,35.2,39.4,36.3,40.7,3.6,7.2
Clermont,27.4,26.5,36,34.8,37.3,35.8,8.6,8.3
Clinton,27.5,27.1,35.3,34.7,36.4,36.1,7.7,7.6
Columbiana,31.8,29.3,38.2,42.1,39.5,43,6.4,12.8
Coshocton,29.5,30.7,36.9,39.3,38.1,40.5,7.4,8.6
Crawford,28.2,31,38.2,40.6,39.5,41.9,10,9.6
Cuyahoga,28.5,30.1,32.3,37.1,33.3,37.5,3.8,7
Darke,29.9,29.6,36.2,39.6,37.5,40.6,6.4,10
Defiance,27.2,28.8,35.7,36.4,36.9,37.4,8.5,7.7
Delaware,22.8,24.2,33.4,29.4,34.6,30,10.6,5.3
Erie,26.5,30.2,35.5,38.9,36.7,39.5,9,8.8
Fairfield,27.3,27.7,38,39.1,39.2,39.8,10.7,11.3
Fayette,29.4,30,36.7,40.6,38,41.1,7.3,10.6
Franklin,24.9,28.5,35.1,39,35.8,39.5,10.2,10.5
Fulton,28.1,29.9,37.7,36.5,38.9,37.5,9.6,6.6
Gallia,28.8,33.4,37.8,40.3,39.1,41.2,8.9,7
Geauga,27.1,25.1,31.6,32.8,32.6,33.6,4.5,7.7
Greene,26.6,27.5,32,33.5,33.1,34.8,5.4,6.1
Guernsey,28.1,30.3,36.3,40.9,37.5,41.6,8.2,10.6
Hamilton,25.9,29.6,31.9,37.1,32.7,38.1,6,7.5
Hancock,26,27.6,37.2,37.2,38.3,38.4,11.2,9.7
Hardin,28.4,31.6,40.2,39.4,41.4,40.9,11.8,7.8
Harrison,28.5,30.3,37.8,41,39,41.8,9.4,10.7
Henry,27.1,29.2,38.2,37.7,39.5,38.4,11,8.5
Highland,29.6,30.7,36.7,39.6,38,41.4,7.1,8.9
Hocking,29.8,29.5,38.1,41.4,39.4,42.3,8.4,11.8
Holmes,34.4,36.4,45.1,45.4,46.4,46.5,10.7,9.1
