County,"Male sufficient physical activity prevalence, 2001 (%)","Female sufficient physical activity prevalence, 2001 (%)","Male sufficient physical activity  prevalence, 2009 (%)","Female sufficient physical activity  prevalence, 2009 (%)","Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Difference in male sufficient physical activity prevalence, 2001-2009 (percentage points)","Difference in female sufficient physical activity prevalence, 2001-2009 (percentage points)"
Adams,45.7,34.9,48.5,44.2,45.4,45.3,2.8,9.3
Allen,57.5,41.1,52,43.7,50.6,45.2,-5.5,2.6
Ashland,57.5,48,54.4,50.5,53.8,51.9,-3.2,2.6
Ashtabula,52.7,45.6,56.6,51.5,54.6,53,3.9,5.8
Athens,54,46.8,53.9,52.5,51.9,53.8,-0.1,5.7
Auglaize,58.2,44.4,54.8,46.1,52.7,46.8,-3.4,1.8
Belmont,54.5,43.5,54.9,43.5,51.9,44.3,0.4,-0.1
Brown,49.5,38.7,52.2,44.5,49.9,45.3,2.7,5.8
Butler,57.5,45.7,58.1,52,57.1,53.3,0.5,6.3
Carroll,53.1,44.9,55.4,45.2,53.4,46.1,2.3,0.3
Champaign,55.8,45.1,57.2,45.4,55.1,46.1,1.4,0.3
Clark,54.7,40.8,56.1,47.2,53.5,48.1,1.4,6.4
Clermont,58.7,45.1,58.1,48.7,56.1,48.7,-0.6,3.5
Clinton,56.2,41.7,55.8,49.4,53.8,50.1,-0.5,7.7
Columbiana,53.3,46.4,53.4,46.2,51.2,47,0.1,-0.2
Coshocton,52.5,42.7,56.4,49.2,54.8,49.8,3.8,6.5
Crawford,54.9,43.1,51.9,43.3,49.5,44.6,-3,0.2
Cuyahoga,56.8,45,58.2,50.2,57,50.9,1.4,5.2
Darke,54.5,43.2,52.8,46.7,49.7,47.4,-1.7,3.6
Defiance,56.6,44.9,56.9,49.2,55.8,50.1,0.3,4.3
Delaware,63.4,56.2,63.7,55.4,62.2,56,0.3,-0.8
Erie,53.8,44.3,55.8,49.4,54.2,50.8,2,5.1
Fairfield,62.4,48.2,58.9,50.1,57.6,51,-3.5,2
Fayette,53.3,39.4,48.9,41.6,47,42.6,-4.4,2.3
Franklin,60.5,48,56.3,47.9,54.7,50.6,-4.2,-0.1
Fulton,55.8,49.8,54.6,56.6,51.3,57.9,-1.2,6.8
Gallia,48.2,40.3,51.1,39.7,48.7,40.6,2.9,-0.6
Geauga,59.1,52.5,61.8,56.7,59.5,57.1,2.6,4.2
Greene,58.3,44,62,52.6,61.3,52.9,3.7,8.6
Guernsey,51.6,42,54,47.6,52.1,48.8,2.4,5.6
Hamilton,61.2,46.2,56.6,49.8,54.1,51.4,-4.6,3.7
Hancock,60.5,47.2,56.7,48.8,55.7,49.3,-3.8,1.6
Hardin,53.1,41.3,51,45.8,48.5,47,-2.2,4.4
Harrison,54,44.2,57.4,43.2,56.2,44,3.5,-1
Henry,55.3,45.2,53.9,53.3,51.6,54.6,-1.4,8.1
Highland,51.4,40.2,49.2,44,46.5,45.1,-2.2,3.9
Hocking,54.2,42.9,55.3,49.4,53.7,50.5,1.1,6.5
Holmes,34.3,25.3,35.2,32.1,33.7,32.6,0.9,6.8
Huron,54.3,43.5,54.5,45.9,52,46.5,0.2,2.4
Jackson,49,39.4,51.3,39.4,49.9,40.2,2.3,0
Jefferson,56,43.8,56.1,42.9,54.6,43.5,0.1,-1
Knox,55.2,48.2,55.3,51.6,52.9,52.8,0.1,3.4
Lake,60.2,49.7,63.2,53.6,62.1,55,3,3.9
Lawrence,46.7,37.7,51.7,43.8,50.5,44.6,5,6.1
Licking,59.6,49.7,57.4,51.2,55.3,52.3,-2.2,1.5
Logan,54.4,44.2,53.3,44.6,51.8,45.6,-1.1,0.5
Lorain,56.8,48.5,55.3,53.7,52.4,55.4,-1.5,5.2
Lucas,54.2,44.2,57.6,51.7,55.1,53.6,3.4,7.5
Madison,54.9,42.1,55.3,42.4,54.8,43.3,0.5,0.3
Mahoning,56.7,44.3,60.1,48.1,59.3,48.5,3.4,3.8
Marion,53.3,43.7,50.4,44.4,48.2,45.7,-2.9,0.7
Medina,61.4,52.5,63.3,57,62.6,57.9,1.9,4.5
Meigs,48.7,39.4,51.5,44.8,49.2,46.1,2.9,5.4
Mercer,55.9,42.9,55.7,48.4,54.2,49.6,-0.2,5.5
Miami,56.7,43.5,57.5,49.8,54.3,50.6,0.8,6.3
Monroe,51.8,43.6,56.1,45,54.2,46,4.3,1.4
Montgomery,54.9,41.5,57.4,50.2,56.5,52,2.5,8.8
Morgan,52.8,44.5,54,45.9,52,46.8,1.2,1.4
Morrow,51.8,45.8,52.4,49,49.9,49.9,0.6,3.2
Muskingum,53.4,41.2,56,48.3,53.7,49,2.6,7.2
Noble,51.2,41.7,49.3,42.6,46.9,43.7,-1.9,0.8
Ottawa,54.8,46.2,57.1,52.1,55,53.3,2.3,5.8
Paulding,53.8,41.4,54.1,46.8,51.9,48.2,0.3,5.4
Perry,53.5,42.7,53.5,47.7,50.8,48.7,0,5
Pickaway,54.8,39.9,49.4,41.7,46.3,42.6,-5.4,1.8
Pike,47,37.5,50.9,41,49.6,42,3.9,3.5
Portage,59.2,50.1,63.9,52.7,63.6,53.3,4.7,2.6
Preble,53.8,46.5,53.3,47.8,50.9,48.2,-0.5,1.2
Putnam,59,44.9,56.2,49.9,54.5,50.9,-2.9,5
Richland,55.9,43.5,54,44.1,53.4,44.9,-1.9,0.6
Ross,51.7,39.1,53.5,42,51.6,42.7,1.8,2.8
Sandusky,53.5,42.9,52.8,48.8,50.2,49.8,-0.7,6
Scioto,46.9,38.3,53.7,47,52,48.4,6.9,8.7
Seneca,55.7,43.6,53.9,44.9,51.7,45,-1.8,1.2
Shelby,54,41.9,55.8,46.6,54,47.4,1.8,4.8
Stark,53.3,46.2,58.2,51.6,56.4,52.5,4.9,5.4
Summit,55.5,48.2,60.7,51,58.4,52.3,5.2,2.8
Trumbull,56.8,48.2,59.3,48.4,59.2,49,2.5,0.2
Tuscarawas,54.7,43.5,57.4,49.7,56.5,51.1,2.7,6.2
Union,58.5,48.2,59.2,48.7,58.8,49.3,0.7,0.5
Van Wert,58.9,45.5,57.9,47,56.8,47.5,-1,1.5
Vinton,47.7,38.8,48.2,41.5,45.9,42.6,0.5,2.7
Warren,60.1,45.3,59.5,56.2,56.8,57.6,-0.6,10.9
Washington,55.5,47.6,57.1,48.5,56,49,1.6,0.9
Wayne,53.3,44.6,53.9,49.5,51.2,50.5,0.6,4.9
