year,count_25,count_50,count_75,count_100,le_adj_25,le_adj_50,le_adj_75,le_adj_100,inc_25,inc_50,inc_75,inc_100
2001,390388,391206,391680,391961,77.873222,81.074837,83.95517,87.406288,34545.324,65949.18,106766.1,1996258.6
2002,401544,402422,402817,403076,78.435631,82.106636,83.438004,88.173759,34590.516,66303.781,108143.17,2280707.5
2003,409754,410707,411162,411453,78.55751,82.329201,82.800545,86.072571,33890.402,65025.129,106255.67,1709132.4
2004,416301,417233,417734,418044,77.779655,81.027046,83.678535,88.204781,33025.945,63891.547,104911.42,1587698.8
2005,421569,422290,422828,423223,78.054688,82.549934,84.618492,87.48085,32509.182,63212.605,104848.59,1934480.3
2006,426379,427236,427701,428012,78.907059,81.658508,84.646637,87.190094,32548.096,63625.309,105998.03,1865957.5
2007,430353,431263,431655,431995,79.555832,82.885262,85.115662,87.607712,32457.971,63524.254,106491.8,2113923.3
2008,434918,435682,436232,436544,78.90168,81.96965,85.321655,87.922089,32529.078,63954.266,107860.22,2321620.8
2009,444272,445119,445616,445926,78.891075,82.233971,85.209358,87.5896,31722.785,63529.109,108497.36,2405198.8
2010,443158,444101,444667,444908,78.487877,82.90696,84.595795,88.866783,30808.449,61803.457,105898.8,1915396.8
2011,439915,440710,441166,441576,79.05381,82.530937,84.386559,88.712631,29268.549,59848.781,104570.17,1595812.8
2012,440366,441520,442041,442401,79.219345,82.74514,86.199509,88.256958,28998.332,59377.016,104212.21,1828705.4
2013,437254,438125,438673,439032,79.148552,83.546684,86.521263,88.934837,28741.221,58973.785,104042.16,1809494.1
2014,420438,421177,421646,422080,79.506767,82.585297,86.130455,89.783134,28809.678,58393.305,102302.01,1334157.4
