"% Change in Life Expectancy, 1980-2014",County,% Change in Life Expectancy,"Life Expectancy, 1980",Measure Selected,Fips,"Life Expectancy, 1985","Life Expectancy, 1990","Life Expectancy, 1995","Life Expectancy, 2000","Life Expectancy, 2005","Life Expectancy, 2010","Life Expectancy, 2014","Life expectancy, 1980*","Life expectancy, 1985*","Life expectancy, 1990*","Life expectancy, 1995*","Life expectancy, 2000*","Life expectancy, 2005*","Life expectancy, 2010*","Life expectancy, 2014*",Location,Number of Records
"3.56 (2.28, 4.89)",Jackson,3.56,72.01,74.58,39079,72.83,73.1,73.24,73.9,74.01,74.74,74.58,"72.01 (71.34, 72.65)","72.83 (72.27, 73.42)","73.10 (72.54, 73.60)","73.24 (72.74, 73.75)","73.90 (73.43, 74.35)","74.01 (73.53, 74.51)","74.74 (74.20, 75.27)","74.58 (74.00, 75.16)","Jackson County, Ohio",1
"3.08 (1.64, 4.48)",Pike,3.08,72.52,74.75,39131,73.19,73.34,73.31,74.01,74.13,74.92,74.75,"72.52 (71.78, 73.24)","73.19 (72.58, 73.78)","73.34 (72.75, 73.91)","73.31 (72.80, 73.87)","74.01 (73.49, 74.55)","74.13 (73.58, 74.68)","74.92 (74.35, 75.51)","74.75 (74.17, 75.36)","Pike County, Ohio",1
"4.58 (3.56, 5.60)",Lawrence,4.58,71.96,75.26,39087,72.84,73.32,73.31,74.09,74.5,75.38,75.26,"71.96 (71.46, 72.49)","72.84 (72.40, 73.31)","73.32 (72.88, 73.77)","73.31 (72.87, 73.75)","74.09 (73.63, 74.51)","74.50 (74.07, 74.96)","75.38 (74.94, 75.79)","75.26 (74.82, 75.70)","Lawrence County, Ohio",1
"4.03 (3.04, 4.93)",Scioto,4.03,71.87,74.77,39145,72.77,73.12,73.4,73.9,74.34,74.95,74.77,"71.87 (71.43, 72.37)","72.77 (72.35, 73.24)","73.12 (72.63, 73.59)","73.40 (72.98, 73.83)","73.90 (73.49, 74.31)","74.34 (73.89, 74.80)","74.95 (74.50, 75.41)","74.77 (74.31, 75.21)","Scioto County, Ohio",1
"4.07 (2.79, 5.37)",Adams,4.07,72.21,75.15,39001,72.93,73.36,73.44,74.1,74.46,75.11,75.15,"72.21 (71.53, 72.87)","72.93 (72.34, 73.52)","73.36 (72.79, 73.91)","73.44 (72.93, 73.96)","74.10 (73.55, 74.65)","74.46 (73.92, 74.98)","75.11 (74.56, 75.67)","75.15 (74.57, 75.73)","Adams County, Ohio",1
"3.32 (1.66, 4.98)",Vinton,3.32,72.85,75.27,39163,73.45,73.59,73.83,74.43,74.79,75.52,75.27,"72.85 (72.05, 73.63)","73.45 (72.76, 74.11)","73.59 (72.92, 74.22)","73.83 (73.21, 74.44)","74.43 (73.85, 75.01)","74.79 (74.11, 75.44)","75.52 (74.83, 76.23)","75.27 (74.50, 76.07)","Vinton County, Ohio",1
"3.14 (1.94, 4.34)",Fayette,3.14,73.05,75.34,39047,73.68,73.9,73.93,74.57,74.8,75.47,75.34,"73.05 (72.40, 73.71)","73.68 (73.13, 74.24)","73.90 (73.39, 74.43)","73.93 (73.37, 74.42)","74.57 (74.08, 75.06)","74.80 (74.27, 75.30)","75.47 (74.90, 76.00)","75.34 (74.76, 75.91)","Fayette County, Ohio",1
"3.39 (2.18, 4.69)",Gallia,3.39,73.08,75.55,39053,73.56,74.07,74.04,74.76,74.92,75.72,75.55,"73.08 (72.44, 73.70)","73.56 (72.98, 74.13)","74.07 (73.52, 74.57)","74.04 (73.56, 74.55)","74.76 (74.27, 75.25)","74.92 (74.40, 75.42)","75.72 (75.19, 76.26)","75.55 (74.98, 76.12)","Gallia County, Ohio",1
"4.26 (3.32, 5.17)",Jefferson,4.26,72.7,75.79,39081,73.72,74.02,74.15,74.8,75.04,76.02,75.79,"72.70 (72.25, 73.17)","73.72 (73.28, 74.16)","74.02 (73.57, 74.47)","74.15 (73.73, 74.55)","74.80 (74.42, 75.16)","75.04 (74.60, 75.46)","76.02 (75.56, 76.46)","75.79 (75.36, 76.22)","Jefferson County, Ohio",1
"4.17 (2.88, 5.67)",Meigs,4.17,72.88,75.92,39105,73.5,73.93,74.19,74.78,75.12,75.97,75.92,"72.88 (72.21, 73.54)","73.50 (72.91, 74.07)","73.93 (73.41, 74.49)","74.19 (73.68, 74.69)","74.78 (74.30, 75.33)","75.12 (74.62, 75.65)","75.97 (75.40, 76.55)","75.92 (75.30, 76.52)","Meigs County, Ohio",1
