Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate
2015,All Races,Both Sexes,78.8,733.1
2014,All Races,Both Sexes,78.9,724.6
2013,All Races,Both Sexes,78.8,731.9
2012,All Races,Both Sexes,78.8,732.8
2011,All Races,Both Sexes,78.7,741.3
2010,All Races,Both Sexes,78.7,747
2009,All Races,Both Sexes,78.5,749.6
2008,All Races,Both Sexes,78.2,774.9
2007,All Races,Both Sexes,78.1,775.3
2006,All Races,Both Sexes,77.8,791.8
2005,All Races,Both Sexes,77.6,815
2004,All Races,Both Sexes,77.5,813.7
2003,All Races,Both Sexes,77.6,843.5
2002,All Races,Both Sexes,77,855.9
2001,All Races,Both Sexes,77,858.8
2000,All Races,Both Sexes,76.8,869
1999,All Races,Both Sexes,76.7,875.6
1998,All Races,Both Sexes,76.7,870.1
1997,All Races,Both Sexes,76.5,877.7
1996,All Races,Both Sexes,76.1,893.7
1995,All Races,Both Sexes,75.8,909.5
1994,All Races,Both Sexes,75.7,913.2
1993,All Races,Both Sexes,75.5,925.8
1992,All Races,Both Sexes,75.8,905.3
1991,All Races,Both Sexes,75.5,921.9
1990,All Races,Both Sexes,75.4,938
1989,All Races,Both Sexes,75.1,949.9
1988,All Races,Both Sexes,74.9,975.1
1987,All Races,Both Sexes,74.9,969.6
1986,All Races,Both Sexes,74.7,978.4
1985,All Races,Both Sexes,74.7,987.8
1984,All Races,Both Sexes,74.7,982.1
1983,All Races,Both Sexes,74.6,990
1982,All Races,Both Sexes,74.5,984.9
1981,All Races,Both Sexes,74.1,"1,007.00"
1980,All Races,Both Sexes,73.7,"1,038.70"
1979,All Races,Both Sexes,73.9,"1,010.60"
1978,All Races,Both Sexes,73.5,"1,043.70"
1977,All Races,Both Sexes,73.3,"1,051.60"
1976,All Races,Both Sexes,72.9,"1,084.10"
1975,All Races,Both Sexes,72.6,"1,094.40"
1974,All Races,Both Sexes,72,"1,151.80"
1973,All Races,Both Sexes,71.4,"1,201.20"
1972,All Races,Both Sexes,71.2,"1,214.80"
1971,All Races,Both Sexes,71.1,"1,213.10"
1970,All Races,Both Sexes,70.8,"1,222.60"
1969,All Races,Both Sexes,70.5,"1,271.80"
1968,All Races,Both Sexes,70.2,"1,304.50"
1967,All Races,Both Sexes,70.5,"1,274.00"
1966,All Races,Both Sexes,70.2,"1,309.00"
1965,All Races,Both Sexes,70.2,"1,306.50"
1964,All Races,Both Sexes,70.2,"1,303.80"
1963,All Races,Both Sexes,69.9,"1,346.30"
1962,All Races,Both Sexes,70.1,"1,323.60"
1961,All Races,Both Sexes,70.2,"1,298.80"
1960,All Races,Both Sexes,69.7,"1,339.20"
1959,All Races,Both Sexes,69.9,"1,317.30"
1958,All Races,Both Sexes,69.6,"1,343.40"
1957,All Races,Both Sexes,69.5,"1,356.70"
1956,All Races,Both Sexes,69.7,"1,333.70"
1955,All Races,Both Sexes,69.6,"1,332.30"
1954,All Races,Both Sexes,69.6,"1,314.80"
1953,All Races,Both Sexes,68.8,"1,385.60"
1952,All Races,Both Sexes,68.6,"1,394.60"
1951,All Races,Both Sexes,68.4,"1,423.50"
1950,All Races,Both Sexes,68.2,"1,446.00"
1949,All Races,Both Sexes,68,"1,457.30"
1948,All Races,Both Sexes,67.2,"1,501.70"
1947,All Races,Both Sexes,66.8,"1,532.00"
1946,All Races,Both Sexes,66.7,"1,529.70"
1945,All Races,Both Sexes,65.9,"1,575.40"
1944,All Races,Both Sexes,65.2,"1,618.50"
1943,All Races,Both Sexes,63.3,"1,702.40"
1942,All Races,Both Sexes,66.2,"1,635.80"
1941,All Races,Both Sexes,64.8,"1,694.60"
1940,All Races,Both Sexes,62.9,"1,785.00"
1939,All Races,Both Sexes,63.7,"1,766.90"
1938,All Races,Both Sexes,63.5,"1,764.30"
1937,All Races,Both Sexes,60,"1,882.60"
1936,All Races,Both Sexes,58.5,"1,963.70"
1935,All Races,Both Sexes,61.7,"1,860.10"
1934,All Races,Both Sexes,61.1,"1,888.20"
1933,All Races,Both Sexes,63.3,"1,850.10"
1932,All Races,Both Sexes,62.1,"1,897.10"
1931,All Races,Both Sexes,61.1,"1,895.10"
1930,All Races,Both Sexes,59.7,"1,943.80"
1929,All Races,Both Sexes,57.1,"2,081.20"
1928,All Races,Both Sexes,56.8,"2,124.60"
1927,All Races,Both Sexes,60.4,"1,989.50"
1926,All Races,Both Sexes,56.7,"2,146.20"
1925,All Races,Both Sexes,59,"2,068.70"
1924,All Races,Both Sexes,59.7,"2,038.00"
1923,All Races,Both Sexes,57.2,"2,141.40"
1922,All Races,Both Sexes,59.6,"2,049.50"
1921,All Races,Both Sexes,60.8,"1,958.20"
1920,All Races,Both Sexes,54.1,"2,147.10"
1919,All Races,Both Sexes,54.7,"2,057.20"
1918,All Races,Both Sexes,39.1,"2,541.60"
1917,All Races,Both Sexes,50.9,"2,275.90"
1916,All Races,Both Sexes,51.7,"2,266.60"
1915,All Races,Both Sexes,54.5,"2,174.80"
1914,All Races,Both Sexes,54.2,"2,149.30"
1913,All Races,Both Sexes,52.5,"2,206.50"
1912,All Races,Both Sexes,53.5,"2,211.70"
1911,All Races,Both Sexes,52.6,"2,245.40"
1910,All Races,Both Sexes,50,"2,317.20"
1909,All Races,Both Sexes,52.1,"2,249.20"
1908,All Races,Both Sexes,51.1,"2,298.90"
1907,All Races,Both Sexes,47.6,"2,494.40"
1906,All Races,Both Sexes,48.7,"2,399.00"
1905,All Races,Both Sexes,48.7,"2,423.70"
1904,All Races,Both Sexes,47.6,"2,502.50"
1903,All Races,Both Sexes,50.5,"2,379.00"
1902,All Races,Both Sexes,51.5,"2,301.30"
1901,All Races,Both Sexes,49.1,"2,473.10"
1900,All Races,Both Sexes,47.3,"2,518.00"
2015,All Races,Female,81.2,624.2
2014,All Races,Female,81.3,616.7
2013,All Races,Female,81.2,623.5
2012,All Races,Female,81.2,624.7
2011,All Races,Female,81.1,632.4
2010,All Races,Female,81,634.9
2009,All Races,Female,80.9,636.8
2008,All Races,Female,80.6,660
2007,All Races,Female,80.6,658.1
2006,All Races,Female,80.3,672.2
2005,All Races,Female,80.1,692.3
2004,All Races,Female,80.1,690.5
2003,All Races,Female,79.7,715.2
2002,All Races,Female,79.6,723.6
2001,All Races,Female,79.5,725.6
2000,All Races,Female,79.7,731.4
1999,All Races,Female,79.4,734
1998,All Races,Female,79.5,724.2
1997,All Races,Female,79.4,725.3
1996,All Races,Female,79.1,732.7
1995,All Races,Female,78.9,739.2
1994,All Races,Female,79,738.3
1993,All Races,Female,78.8,745.6
1992,All Races,Female,79.1,725.3
1991,All Races,Female,78.9,737.9
1990,All Races,Female,78.8,750.3
1989,All Races,Female,78.5,761.3
1988,All Races,Female,78.3,780.5
1987,All Races,Female,78.3,773.8
1986,All Races,Female,78.2,778.5
1985,All Races,Female,78.2,784.2
1984,All Races,Female,78.2,779.4
1983,All Races,Female,78.1,783.3
1982,All Races,Female,78.1,776.4
1981,All Races,Female,77.8,792.7
1980,All Races,Female,77.4,817.7
1979,All Races,Female,77.8,789.9
1978,All Races,Female,77.3,816.4
1977,All Races,Female,77.2,820.7
1976,All Races,Female,76.8,849.4
1975,All Races,Female,76.6,855.1
1974,All Races,Female,75.9,907.5
1973,All Races,Female,75.3,947.8
1972,All Races,Female,75.1,958.7
