County,2012-2016 median family,2007-2011 median family,2012-2016 median household,2007-2011 median household
Delaware,111582.00,110708.00,94234.00,95979.00
Warren,91608.00,88238.00,76200.00,76699.00
Geauga,87473.00,84974.00,74165.00,70416.00
Medina,83808.00,82101.00,69319.00,70019.00
Union,82022.00,84902.00,71282.00,72677.00
Greene,80555.00,75981.00,61116.00,61420.00
Lake,74642.00,73719.00,59958.00,59852.00
Wood,74065.00,74220.00,55985.00,57114.00
Butler,74009.00,73884.00,59652.00,59332.00
Clermont,73677.00,75500.00,61265.00,64056.00
Fairfield,73499.00,71828.00,61473.00,62239.00
Putnam,71518.00,74461.00,60245.00,63462.00
Licking,70108.00,70727.00,57571.00,58454.00
Pickaway,69196.00,65329.00,58706.00,54972.00
Auglaize,68903.00,64824.00,55914.00,56464.00
Mercer,68744.00,65550.00,55220.00,54401.00
Portage,68690.00,70743.00,52427.00,54658.00
Hamilton,68356.00,70244.00,50399.00,52538.00
Shelby,67539.00,66311.00,56169.00,54029.00
Franklin,67286.00,67825.00,54037.00,53399.00
Hancock,67280.00,64871.00,51604.00,53372.00
Madison,67112.00,72058.00,58326.00,57506.00
Summit,66827.00,67548.00,51562.00,52100.00
Ottawa,66683.00,70497.00,54580.00,57198.00
Lorain,66242.00,66615.00,53459.00,55817.00
Henry,66096.00,64813.00,54941.00,52039.00
Miami,65994.00,65210.00,53432.00,55196.00
Fulton,65461.00,65020.00,55860.00,55545.00
Champaign,63527.00,60659.00,53673.00,52129.00
Erie,63131.00,65510.00,48276.00,50739.00
Morrow,62555.00,61753.00,53032.00,53508.00
Wyandot,61779.00,62673.00,50723.00,50889.00
Logan,61767.00,57390.00,51136.00,50826.00
Holmes,61729.00,53006.00,53619.00,47910.00
Wayne,61647.00,63524.00,51363.00,52648.00
Cuyahoga,61477.00,63160.00,45289.00,47012.00
Stark,61119.00,60500.00,48714.00,48541.00
Van Wert,60385.00,56254.00,50547.00,48129.00
Preble,60354.00,61258.00,51356.00,52606.00
Defiance,60196.00,59122.00,50822.00,49904.00
Paulding,59974.00,59609.00,48003.00,46837.00
Carroll,58995.00,55015.00,48545.00,46231.00
Ashland,58772.00,58508.00,48509.00,48516.00
Clinton,58737.00,60966.00,48675.00,50730.00
Montgomery,58720.00,61400.00,45394.00,47514.00
Knox,58560.00,62255.00,48619.00,51881.00
Sandusky,58549.00,60865.00,49032.00,50486.00
Huron,58474.00,59022.00,48838.00,51653.00
Seneca,58391.00,54912.00,48415.00,44527.00
Lucas,58299.00,58401.00,42917.00,44803.00
Washington,58160.00,58525.00,44763.00,45969.00
Lawrence,57990.00,51429.00,44256.00,41214.00
Belmont,57738.00,52894.00,44719.00,42520.00
Tuscarawas,57663.00,56383.00,46992.00,45717.00
Allen,57101.00,58928.00,45575.00,46333.00
Columbiana,56979.00,54158.00,45389.00,43672.00
Darke,56659.00,57970.00,47043.00,47959.00
Clark,56496.00,57592.00,44154.00,46917.00
Hardin,56429.00,56463.00,44842.00,42445.00
Williams,56210.00,57442.00,45044.00,47651.00
Ross,56154.00,55936.00,44587.00,47565.00
Trumbull,55749.00,57569.00,43811.00,45314.00
Mahoning,55704.00,57006.00,41872.00,43229.00
Brown,55063.00,58327.00,47999.00,49067.00
Richland,54660.00,58818.00,42849.00,45893.00
Hocking,54122.00,55359.00,43382.00,44870.00
Harrison,54012.00,48231.00,44000.00,39420.00
Marion,53902.00,55697.00,43557.00,44078.00
Noble,53636.00,46644.00,41398.00,42892.00
Muskingum,53614.00,53518.00,42464.00,43454.00
Scioto,52398.00,49065.00,37936.00,35962.00
Coshocton,52350.00,51045.00,43380.00,43509.00
Jefferson,52332.00,53099.00,42327.00,42059.00
Crawford,51881.00,52777.00,40563.00,44411.00
Gallia,51674.00,49242.00,39423.00,39493.00
Ashtabula,51484.00,54041.00,41158.00,44297.00
Guernsey,51309.00,52063.00,41566.00,40821.00
Fayette,51110.00,50045.00,41954.00,41972.00
Athens,51101.00,53496.00,34221.00,35576.00
Perry,51018.00,54244.00,43674.00,45694.00
Vinton,50967.00,39750.00,41080.00,36771.00
Highland,50701.00,51598.00,40593.00,43129.00
Meigs,50240.00,44608.00,39640.00,35977.00
Pike,49307.00,49608.00,41128.00,42169.00
Monroe,48627.00,48043.00,41368.00,41478.00
Jackson,48495.00,48309.00,40330.00,39696.00
Morgan,46721.00,44093.00,38941.00,38038.00
Adams,41904.00,44483.00,34709.00,36683.00
