Year,Race,Race Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
2000,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,221,1359717,16.3,22.7
2000,Black or African American,2054-5,Acute hepatitis C,B17.1,23,1359717,1.7,2
2000,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,11,1359717,0.8 (Unreliable),0.9 (Unreliable)
2000,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,13,1359717,1.0 (Unreliable),1.0 (Unreliable)
2000,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,16,1359717,1.2 (Unreliable),1.3 (Unreliable)
2000,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,24,1359717,1.8,1.9
2000,Black or African American,2054-5,"Pharynx, unspecified - Malignant neoplasms",C14.0,11,1359717,0.8 (Unreliable),1.0 (Unreliable)
2000,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,59,1359717,4.3,5.7
2000,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,76,1359717,5.6,7.7
2000,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,260,1359717,19.1,26.4
2000,Black or African American,2054-5,Malignant neoplasm of rectum,C20,28,1359717,2.1,2.8
2000,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,31,1359717,2.3,2.8
2000,Black or African American,2054-5,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,11,1359717,0.8 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,"Liver, unspecified - Malignant neoplasms",C22.9,20,1359717,1.5,1.9
2000,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,157,1359717,11.5,15.7
2000,Black or African American,2054-5,"Larynx, unspecified - Malignant neoplasms",C32.9,27,1359717,2,2.6
2000,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,838,1359717,61.6,82.6
2000,Black or African American,2054-5,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,12,1359717,0.9 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,236,1359717,17.4,22.9
2000,Black or African American,2054-5,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25,1359717,1.8,2.4
2000,Black or African American,2054-5,Endometrium - Malignant neoplasms,C54.1,21,1359717,1.5,2.2
2000,Black or African American,2054-5,"Malignant neoplasm of uterus, part unspecified",C55,20,1359717,1.5,2
2000,Black or African American,2054-5,Malignant neoplasm of ovary,C56,36,1359717,2.6,3.6
2000,Black or African American,2054-5,Malignant neoplasm of prostate,C61,230,1359717,16.9,24.6
2000,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,41,1359717,3,4
2000,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,35,1359717,2.6,3.5
2000,Black or African American,2054-5,"Brain, unspecified - Malignant neoplasms",C71.9,30,1359717,2.2,2.7
2000,Black or African American,2054-5,"Head, face and neck - Malignant neoplasms",C76.0,15,1359717,1.1 (Unreliable),1.4 (Unreliable)
2000,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,136,1359717,10,13.5
2000,Black or African American,2054-5,"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,50,1359717,3.7,4.9
2000,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,78,1359717,5.7,8.1
2000,Black or African American,2054-5,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,21,1359717,1.5,2.2
2000,Black or African American,2054-5,Acute myeloid leukaemia - Malignant neoplasms,C92.0,26,1359717,1.9,2.5
