Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Enterocolitis due to Clostridium difficile,A04.7,2011,455,11545442,3.9,3.3
Enterocolitis due to Clostridium difficile,A04.7,2012,435,11551783,3.8,3.1
Enterocolitis due to Clostridium difficile,A04.7,2013,362,11572232,3.1,2.5
Enterocolitis due to Clostridium difficile,A04.7,2014,304,11596998,2.6,2.1
Enterocolitis due to Clostridium difficile,A04.7,2015,292,11613423,2.5,2
Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,2011,19,11545442,0.2 (Unreliable),0.2 (Unreliable)
Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,2013,21,11572232,0.2,0.2
Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Gastroenteritis and colitis of unspecified origin,A09.9,2011,82,11545442,0.7,0.6
Gastroenteritis and colitis of unspecified origin,A09.9,2012,95,11551783,0.8,0.7
Gastroenteritis and colitis of unspecified origin,A09.9,2013,88,11572232,0.8,0.6
Gastroenteritis and colitis of unspecified origin,A09.9,2014,82,11596998,0.7,0.6
Gastroenteritis and colitis of unspecified origin,A09.9,2015,80,11613423,0.7,0.5
Septicaemia due to Staphylococcus aureus,A41.0,2011,31,11545442,0.3,0.2
Septicaemia due to Staphylococcus aureus,A41.0,2012,27,11551783,0.2,0.2
Septicaemia due to Staphylococcus aureus,A41.0,2013,28,11572232,0.2,0.2
Septicaemia due to Staphylococcus aureus,A41.0,2014,29,11596998,0.3,0.2
Septicaemia due to Staphylococcus aureus,A41.0,2015,36,11613423,0.3,0.2
Septicaemia due to unspecified staphylococcus,A41.2,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Septicaemia due to unspecified staphylococcus,A41.2,2013,24,11572232,0.2,0.2
Septicaemia due to unspecified staphylococcus,A41.2,2014,15,11596998,0.1 (Unreliable),0.1 (Unreliable)
Septicaemia due to unspecified staphylococcus,A41.2,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Septicaemia due to other Gram-negative organisms,A41.5,2011,52,11545442,0.5,0.4
Septicaemia due to other Gram-negative organisms,A41.5,2012,49,11551783,0.4,0.4
Septicaemia due to other Gram-negative organisms,A41.5,2013,41,11572232,0.4,0.3
Septicaemia due to other Gram-negative organisms,A41.5,2014,46,11596998,0.4,0.3
Septicaemia due to other Gram-negative organisms,A41.5,2015,49,11613423,0.4,0.4
"Septicaemia, unspecified",A41.9,2011,1483,11545442,12.8,11
"Septicaemia, unspecified",A41.9,2012,1505,11551783,13,10.9
"Septicaemia, unspecified",A41.9,2013,1615,11572232,14,11.6
"Septicaemia, unspecified",A41.9,2014,1622,11596998,14,11.4
"Septicaemia, unspecified",A41.9,2015,1836,11613423,15.8,12.8
Legionnaires' disease,A48.1,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Staphylococcal infection, unspecified",A49.0,2011,14,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Staphylococcal infection, unspecified",A49.0,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Staphylococcal infection, unspecified",A49.0,2013,20,11572232,0.2,0.1
"Staphylococcal infection, unspecified",A49.0,2014,19,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Staphylococcal infection, unspecified",A49.0,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Streptococcal infection, unspecified",A49.1,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other bacterial infections of unspecified site,A49.8,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Bacterial infection, unspecified",A49.9,2011,53,11545442,0.5,0.4
"Bacterial infection, unspecified",A49.9,2012,47,11551783,0.4,0.3
"Bacterial infection, unspecified",A49.9,2013,44,11572232,0.4,0.3
"Bacterial infection, unspecified",A49.9,2014,31,11596998,0.3,0.2
"Bacterial infection, unspecified",A49.9,2015,27,11613423,0.2,0.2
Creutzfeldt-Jakob disease - CJD,A81.0,2011,29,11545442,0.3,0.2
Creutzfeldt-Jakob disease - CJD,A81.0,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Creutzfeldt-Jakob disease - CJD,A81.0,2013,22,11572232,0.2,0.2
Creutzfeldt-Jakob disease - CJD,A81.0,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Creutzfeldt-Jakob disease - CJD,A81.0,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
West Nile fever,A92.3,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Herpesviral encephalitis,B00.4,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Acute hepatitis B without delta-agent and without hepatic coma,B16.9,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Acute hepatitis B without delta-agent and without hepatic coma,B16.9,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Acute hepatitis B without delta-agent and without hepatic coma,B16.9,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Acute hepatitis B without delta-agent and without hepatic coma,B16.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Chronic viral hepatitis C,B18.2,2011,195,11545442,1.7,1.4
Chronic viral hepatitis C,B18.2,2012,172,11551783,1.5,1.2
Chronic viral hepatitis C,B18.2,2013,177,11572232,1.5,1.2
Chronic viral hepatitis C,B18.2,2014,191,11596998,1.6,1.3
Chronic viral hepatitis C,B18.2,2015,152,11613423,1.3,1
HIV disease resulting in other bacterial infections,B20.1,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in other bacterial infections,B20.1,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in other bacterial infections,B20.1,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in other bacterial infections,B20.1,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple infections,B20.7,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple infections,B20.7,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple infections,B20.7,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple infections,B20.7,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple infections,B20.7,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in other infectious and parasitic diseases,B20.8,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in other infectious and parasitic diseases,B20.8,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple diseases classified elsewhere,B22.7,2011,18,11545442,0.2 (Unreliable),0.2 (Unreliable)
HIV disease resulting in multiple diseases classified elsewhere,B22.7,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple diseases classified elsewhere,B22.7,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in multiple diseases classified elsewhere,B22.7,2014,20,11596998,0.2,0.2
HIV disease resulting in multiple diseases classified elsewhere,B22.7,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
HIV disease resulting in other specified conditions,B23.8,2011,40,11545442,0.3,0.3
HIV disease resulting in other specified conditions,B23.8,2012,21,11551783,0.2,0.2
HIV disease resulting in other specified conditions,B23.8,2013,22,11572232,0.2,0.2
HIV disease resulting in other specified conditions,B23.8,2014,25,11596998,0.2,0.2
HIV disease resulting in other specified conditions,B23.8,2015,20,11613423,0.2,0.2
Unspecified human immunodeficiency virus [HIV] disease,B24,2011,24,11545442,0.2,0.2
Unspecified human immunodeficiency virus [HIV] disease,B24,2012,33,11551783,0.3,0.3
Unspecified human immunodeficiency virus [HIV] disease,B24,2013,36,11572232,0.3,0.3
Unspecified human immunodeficiency virus [HIV] disease,B24,2014,37,11596998,0.3,0.3
Unspecified human immunodeficiency virus [HIV] disease,B24,2015,26,11613423,0.2,0.2
"Viral infection, unspecified",B34.9,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Viral infection, unspecified",B34.9,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Viral infection, unspecified",B34.9,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Viral infection, unspecified",B34.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mycosis,B49,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mycosis,B49,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mycosis,B49,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mycosis,B49,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mycosis,B49,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Pneumocystosis,B59,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of poliomyelitis,B91,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of poliomyelitis,B91,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of other specified infectious and parasitic diseases,B94.8,2011,23,11545442,0.2,0.2
Sequelae of other specified infectious and parasitic diseases,B94.8,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of other specified infectious and parasitic diseases,B94.8,2013,28,11572232,0.2,0.2
Sequelae of other specified infectious and parasitic diseases,B94.8,2014,29,11596998,0.3,0.2
Sequelae of other specified infectious and parasitic diseases,B94.8,2015,25,11613423,0.2,0.2
Other and unspecified infectious diseases,B99,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified infectious diseases,B99,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified infectious diseases,B99,2013,14,11572232,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified infectious diseases,B99,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified infectious diseases,B99,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of base of tongue,C01,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Tongue, unspecified - Malignant neoplasms",C02.9,2011,79,11545442,0.7,0.6
"Tongue, unspecified - Malignant neoplasms",C02.9,2012,90,11551783,0.8,0.7
"Tongue, unspecified - Malignant neoplasms",C02.9,2013,95,11572232,0.8,0.7
"Tongue, unspecified - Malignant neoplasms",C02.9,2014,93,11596998,0.8,0.6
"Tongue, unspecified - Malignant neoplasms",C02.9,2015,113,11613423,1,0.8
"Mouth, unspecified - Malignant neoplasms",C06.9,2011,38,11545442,0.3,0.3
"Mouth, unspecified - Malignant neoplasms",C06.9,2012,45,11551783,0.4,0.3
"Mouth, unspecified - Malignant neoplasms",C06.9,2013,37,11572232,0.3,0.3
"Mouth, unspecified - Malignant neoplasms",C06.9,2014,39,11596998,0.3,0.3
"Mouth, unspecified - Malignant neoplasms",C06.9,2015,48,11613423,0.4,0.3
Malignant neoplasm of parotid gland,C07,2011,28,11545442,0.2,0.2
Malignant neoplasm of parotid gland,C07,2012,27,11551783,0.2,0.2
Malignant neoplasm of parotid gland,C07,2013,24,11572232,0.2,0.2
Malignant neoplasm of parotid gland,C07,2014,34,11596998,0.3,0.2
Malignant neoplasm of parotid gland,C07,2015,34,11613423,0.3,0.2
"Major salivary gland, unspecified - Malignant neoplasms",C08.9,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Major salivary gland, unspecified - Malignant neoplasms",C08.9,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Major salivary gland, unspecified - Malignant neoplasms",C08.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Tonsil, unspecified - Malignant neoplasms",C09.9,2011,50,11545442,0.4,0.3
"Tonsil, unspecified - Malignant neoplasms",C09.9,2012,38,11551783,0.3,0.3
"Tonsil, unspecified - Malignant neoplasms",C09.9,2013,37,11572232,0.3,0.2
"Tonsil, unspecified - Malignant neoplasms",C09.9,2014,47,11596998,0.4,0.3
"Tonsil, unspecified - Malignant neoplasms",C09.9,2015,55,11613423,0.5,0.4
"Oropharynx, unspecified - Malignant neoplasms",C10.9,2011,37,11545442,0.3,0.3
"Oropharynx, unspecified - Malignant neoplasms",C10.9,2012,40,11551783,0.3,0.3
"Oropharynx, unspecified - Malignant neoplasms",C10.9,2013,41,11572232,0.4,0.3
"Oropharynx, unspecified - Malignant neoplasms",C10.9,2014,56,11596998,0.5,0.4
"Oropharynx, unspecified - Malignant neoplasms",C10.9,2015,47,11613423,0.4,0.3
"Nasopharynx, unspecified - Malignant neoplasms",C11.9,2011,14,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Nasopharynx, unspecified - Malignant neoplasms",C11.9,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Nasopharynx, unspecified - Malignant neoplasms",C11.9,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Nasopharynx, unspecified - Malignant neoplasms",C11.9,2014,21,11596998,0.2,0.1
"Nasopharynx, unspecified - Malignant neoplasms",C11.9,2015,23,11613423,0.2,0.2
"Hypopharynx, unspecified - Malignant neoplasms",C13.9,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Pharynx, unspecified - Malignant neoplasms",C14.0,2011,47,11545442,0.4,0.4
"Pharynx, unspecified - Malignant neoplasms",C14.0,2012,51,11551783,0.4,0.4
"Pharynx, unspecified - Malignant neoplasms",C14.0,2013,47,11572232,0.4,0.3
"Pharynx, unspecified - Malignant neoplasms",C14.0,2014,57,11596998,0.5,0.4
"Pharynx, unspecified - Malignant neoplasms",C14.0,2015,45,11613423,0.4,0.3
"Oesophagus, unspecified - Malignant neoplasms",C15.9,2011,643,11545442,5.6,4.7
"Oesophagus, unspecified - Malignant neoplasms",C15.9,2012,719,11551783,6.2,5.1
"Oesophagus, unspecified - Malignant neoplasms",C15.9,2013,705,11572232,6.1,5
"Oesophagus, unspecified - Malignant neoplasms",C15.9,2014,705,11596998,6.1,4.9
"Oesophagus, unspecified - Malignant neoplasms",C15.9,2015,751,11613423,6.5,5.1
Cardia - Malignant neoplasms,C16.0,2011,40,11545442,0.3,0.3
Cardia - Malignant neoplasms,C16.0,2012,32,11551783,0.3,0.2
Cardia - Malignant neoplasms,C16.0,2013,28,11572232,0.2,0.2
Cardia - Malignant neoplasms,C16.0,2014,38,11596998,0.3,0.3
Cardia - Malignant neoplasms,C16.0,2015,37,11613423,0.3,0.2
"Stomach, unspecified - Malignant neoplasms",C16.9,2011,333,11545442,2.9,2.5
"Stomach, unspecified - Malignant neoplasms",C16.9,2012,315,11551783,2.7,2.3
"Stomach, unspecified - Malignant neoplasms",C16.9,2013,336,11572232,2.9,2.4
"Stomach, unspecified - Malignant neoplasms",C16.9,2014,382,11596998,3.3,2.7
"Stomach, unspecified - Malignant neoplasms",C16.9,2015,349,11613423,3,2.4
Duodenum - Malignant neoplasms,C17.0,2011,27,11545442,0.2,0.2
Duodenum - Malignant neoplasms,C17.0,2012,30,11551783,0.3,0.2
Duodenum - Malignant neoplasms,C17.0,2013,45,11572232,0.4,0.3
Duodenum - Malignant neoplasms,C17.0,2014,38,11596998,0.3,0.3
Duodenum - Malignant neoplasms,C17.0,2015,35,11613423,0.3,0.2
"Small intestine, unspecified - Malignant neoplasms",C17.9,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
"Small intestine, unspecified - Malignant neoplasms",C17.9,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Small intestine, unspecified - Malignant neoplasms",C17.9,2013,18,11572232,0.2 (Unreliable),0.1 (Unreliable)
"Small intestine, unspecified - Malignant neoplasms",C17.9,2014,20,11596998,0.2,0.1
"Small intestine, unspecified - Malignant neoplasms",C17.9,2015,27,11613423,0.2,0.2
Caecum - Malignant neoplasms,C18.0,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Caecum - Malignant neoplasms,C18.0,2012,23,11551783,0.2,0.2
