2013 Urbanization,Urbanization Code,County,Deaths_2005,Deaths_2015,Change
Small Metro,4,Allen ,1004,1114,9.87432675
Small Metro,4,Belmont ,903,899,-0.444938821
Small Metro,4,Clark ,1652,1802,8.324084351
Small Metro,4,Jefferson ,1015,954,-6.394129979
Small Metro,4,Richland ,1257,1369,8.181154127
Micropolitan (non-metro),5,Ashland ,481,546,11.9047619
Micropolitan (non-metro),5,Ashtabula ,1132,1216,6.907894737
Micropolitan (non-metro),5,Athens ,419,519,19.26782274
Micropolitan (non-metro),5,Auglaize ,449,505,11.08910891
Micropolitan (non-metro),5,Champaign ,386,415,6.987951807
Micropolitan (non-metro),5,Clinton ,376,441,14.73922902
Micropolitan (non-metro),5,Columbiana ,1224,1327,7.761868877
Micropolitan (non-metro),5,Coshocton ,392,376,-4.255319149
Micropolitan (non-metro),5,Crawford ,526,558,5.734767025
Micropolitan (non-metro),5,Darke ,517,625,17.28
Micropolitan (non-metro),5,Defiance ,360,389,7.455012853
Micropolitan (non-metro),5,Erie ,861,958,10.12526096
Micropolitan (non-metro),5,Fayette ,336,373,9.919571046
Micropolitan (non-metro),5,Gallia ,343,356,3.651685393
Micropolitan (non-metro),5,Guernsey ,446,472,5.508474576
Micropolitan (non-metro),5,Hancock ,628,778,19.28020566
Micropolitan (non-metro),5,Huron ,574,579,0.863557858
Micropolitan (non-metro),5,Jackson ,402,387,-3.875968992
Micropolitan (non-metro),5,Knox ,578,632,8.544303797
Micropolitan (non-metro),5,Logan ,465,521,10.74856046
Micropolitan (non-metro),5,Marion ,652,760,14.21052632
Micropolitan (non-metro),5,Mercer ,406,415,2.168674699
Micropolitan (non-metro),5,Muskingum ,885,987,10.3343465
Micropolitan (non-metro),5,Ottawa ,451,483,6.625258799
Micropolitan (non-metro),5,Ross ,772,873,11.56930126
Micropolitan (non-metro),5,Sandusky ,633,657,3.652968037
Micropolitan (non-metro),5,Scioto ,891,969,8.049535604
Micropolitan (non-metro),5,Seneca ,579,588,1.530612245
Micropolitan (non-metro),5,Shelby ,394,431,8.584686775
Micropolitan (non-metro),5,Tuscarawas ,947,1050,9.80952381
Micropolitan (non-metro),5,Van Wert ,321,335,4.179104478
Micropolitan (non-metro),5,Washington ,689,783,12.00510856
Micropolitan (non-metro),5,Wayne ,1038,1087,4.507819687
NonCore (non-metro),6,Adams ,295,349,15.47277937
NonCore (non-metro),6,Hardin ,300,292,-2.739726027
NonCore (non-metro),6,Harrison ,192,214,10.28037383
NonCore (non-metro),6,Henry ,268,321,16.51090343
NonCore (non-metro),6,Highland ,451,525,14.0952381
NonCore (non-metro),6,Holmes ,257,325,20.92307692
NonCore (non-metro),6,Meigs ,284,281,-1.067615658
NonCore (non-metro),6,Monroe ,217,166,-30.72289157
NonCore (non-metro),6,Morgan ,151,175,13.71428571
NonCore (non-metro),6,Noble ,124,135,8.148148148
NonCore (non-metro),6,Paulding ,167,201,16.91542289
NonCore (non-metro),6,Pike ,321,361,11.08033241
NonCore (non-metro),6,Preble ,412,445,7.415730337
NonCore (non-metro),6,Putnam ,278,288,3.472222222
NonCore (non-metro),6,Vinton ,125,131,4.580152672
NonCore (non-metro),6,Williams ,371,388,4.381443299
NonCore (non-metro),6,Wyandot ,230,267,13.8576779
