state,2011,obese_2011_degree,2012,obese_2012_degree,2013,obese_2013_degree,2014,obese_2014_degree,2015,obese_2015_degree
Alabama,32,3,33,3,32.4,3,33.5,3,35.6,3
Alaska,27.4,2,25.7,1,28.4,2,29.7,3,29.8,3
Arizona,25.1,1,26,1,26.8,2,28.9,2,28.4,2
Arkansas,30.9,3,34.5,3,34.6,3,35.9,3,34.5,3
California,23.8,1,25,1,24.1,1,24.7,1,24.2,1
Colorado,20.7,0,20.5,0,21.3,0,21.3,0,20.2,0
Connecticut,24.5,1,25.6,1,25,1,26.3,2,25.3,1
Delaware,28.8,2,26.9,2,31.1,3,30.7,3,29.7,3
District of Columbia,23.7,1,21.9,0,22.9,0,21.7,0,22.1,0
Florida,26.6,2,25.2,1,26.4,2,26.2,2,26.8,2
Georgia,28,2,29.1,3,30.3,3,30.5,3,30.7,3
Hawaii,21.8,0,23.6,1,21.8,0,22.1,0,22.7,0
Idaho,27,2,26.8,2,29.6,3,28.9,2,28.6,2
Illinois,27.1,2,28.1,2,29.4,3,29.3,3,30.8,3
Indiana,30.8,3,31.4,3,31.8,3,32.7,3,31.3,3
Iowa,29,3,30.4,3,31.3,3,30.9,3,32.1,3
Kansas,29.6,3,29.8,3,30,3,31.3,3,34.2,3
Kentucky,30.4,3,31.3,3,33.2,3,31.6,3,34.6,3
Louisiana,33.4,3,34.7,3,33.1,3,34.9,3,36.2,3
Maine,27.8,2,28.3,2,28.9,2,28.2,2,30,3
Maryland,28.3,2,27.6,2,28.3,2,29.6,3,28.9,2
Massachusetts,22.7,0,22.9,0,23.6,1,23.3,1,24.3,1
Michigan,31.3,3,31.1,3,31.5,3,30.7,3,31.2,3
Minnesota,25.7,1,25.7,1,25.5,1,27.6,3,26.1,2
Mississippi,34.9,3,34.6,3,35.1,3,35.5,3,35.6,3
Missouri,30.3,3,29.6,3,30.4,3,30.2,3,32.4,3
Montana,24.6,1,24.3,1,24.6,1,26.4,2,23.6,1
Nebraska,28.4,2,28.6,2,29.6,3,30.2,3,31.4,3
Nevada,24.5,1,26.2,2,26.2,2,27.7,2,26.7,2
New Hampshire,26.2,2,27.3,2,26.7,2,27.4,2,26.3,2
New Jersey,23.7,1,24.6,1,26.3,2,26.9,2,25.6,1
New Mexico,26.3,2,27.1,2,26.4,2,28.4,2,28.8,2
New York,24.5,1,23.6,1,25.4,1,27,2,25,1
North Carolina,29.1,3,29.6,3,29.4,3,29.7,3,30.1,3
North Dakota,27.8,2,29.7,3,31,3,32.2,3,31,3
Ohio,29.6,3,30.1,3,30.4,3,32.6,3,29.8,3
Oklahoma,31.1,3,32.2,3,32.5,3,33,3,33.9,3
Oregon,26.7,2,27.3,2,26.5,2,27.9,2,30.1,3
Pennsylvania,28.6,2,29.1,3,30,3,30.2,3,30,3
Rhode Island,25.4,1,25.7,1,27.3,2,27,2,26,1
South Carolina,30.8,3,31.6,3,31.7,3,32.1,3,31.7,3
South Dakota,28.1,2,28.1,2,29.9,3,29.8,3,30.4,3
Tennessee,29.2,3,31.1,3,33.7,3,31.2,3,33.8,3
Texas,30.4,3,29.2,3,30.9,3,31.9,3,32.4,3
Utah,24.4,1,24.3,1,24.1,1,25.7,1,24.5,1
Vermont,25.4,1,23.7,1,24.7,1,24.8,1,25.1,1
Virginia,29.2,3,27.4,2,27.2,2,28.5,2,29.2,3
Washington,26.5,2,26.8,2,27.2,2,27.3,2,26.4,2
West Virginia,32.4,3,33.8,3,35.1,3,35.7,3,35.6,3
Wisconsin,27.7,2,29.7,3,29.8,3,31.2,3,30.7,3
Wyoming,25,1,24.6,1,27.8,3,29.5,3,29,3
