country,year,age,obese_degree,gender,obese_status
USA,1990,2 to 4 yrs,1,male,obese
USA,1990,2 to 4 yrs,1,male,overweight
USA,1990,2 to 19 yrs - age-standardized,1,male,obese
USA,1990,2 to 19 yrs - age-standardized,1,male,overweight
USA,1990,5 to 9 yrs,1,male,obese
USA,1990,5 to 9 yrs,1,male,overweight
USA,1990,10 to 14 yrs,1,male,obese
USA,1990,10 to 14 yrs,1,male,overweight
USA,1990,15 to 19 yrs,1,male,overweight
USA,1990,15 to 19 yrs,1,male,obese
USA,1990,20 to 24 yrs,1,male,obese
USA,1990,20 to 24 yrs,1,male,overweight
USA,1990,20+ yrs - age-standardized,1,male,overweight
USA,1990,20+ yrs - age-standardized,1,male,obese
USA,1990,25 to 29 yrs,1,male,overweight
USA,1990,25 to 29 yrs,1,male,obese
USA,1990,30 to 34 yrs,1,male,obese
USA,1990,30 to 34 yrs,1,male,overweight
USA,1990,35 to 39 yrs,1,male,obese
USA,1990,35 to 39 yrs,1,male,overweight
USA,1990,40 to 44 yrs,1,male,overweight
USA,1990,40 to 44 yrs,1,male,obese
USA,1990,45 to 49 yrs,1,male,obese
USA,1990,45 to 49 yrs,1,male,overweight
USA,1990,50 to 54 yrs,1,male,overweight
USA,1990,50 to 54 yrs,1,male,obese
USA,1990,55 to 59 yrs,1,male,overweight
USA,1990,55 to 59 yrs,1,male,obese
USA,1990,60 to 64 yrs,1,male,obese
USA,1990,60 to 64 yrs,1,male,overweight
USA,1990,65 to 69 yrs,1,male,obese
USA,1990,65 to 69 yrs,1,male,overweight
USA,1990,70 to 74 yrs,1,male,obese
USA,1990,70 to 74 yrs,1,male,overweight
USA,1990,75 to 79 yrs,1,male,overweight
USA,1990,75 to 79 yrs,1,male,obese
USA,1990,80+ yrs,1,male,overweight
USA,1990,80+ yrs,1,male,obese
USA,1990,2 to 4 yrs,2,female,overweight
USA,1990,2 to 4 yrs,2,female,obese
USA,1990,2 to 19 yrs - age-standardized,2,female,obese
USA,1990,2 to 19 yrs - age-standardized,2,female,overweight
USA,1990,5 to 9 yrs,2,female,obese
USA,1990,5 to 9 yrs,2,female,overweight
USA,1990,10 to 14 yrs,2,female,overweight
USA,1990,10 to 14 yrs,2,female,obese
USA,1990,15 to 19 yrs,2,female,overweight
USA,1990,15 to 19 yrs,2,female,obese
USA,1990,20 to 24 yrs,2,female,overweight
USA,1990,20 to 24 yrs,2,female,obese
USA,1990,20+ yrs - age-standardized,2,female,overweight
USA,1990,20+ yrs - age-standardized,2,female,obese
USA,1990,25 to 29 yrs,2,female,obese
USA,1990,25 to 29 yrs,2,female,overweight
USA,1990,30 to 34 yrs,2,female,overweight
USA,1990,30 to 34 yrs,2,female,obese
USA,1990,35 to 39 yrs,2,female,obese
USA,1990,35 to 39 yrs,2,female,overweight
USA,1990,40 to 44 yrs,2,female,overweight
USA,1990,40 to 44 yrs,2,female,obese
USA,1990,45 to 49 yrs,2,female,obese
USA,1990,45 to 49 yrs,2,female,overweight
USA,1990,50 to 54 yrs,2,female,obese
USA,1990,50 to 54 yrs,2,female,overweight
USA,1990,55 to 59 yrs,2,female,overweight
USA,1990,55 to 59 yrs,2,female,obese
USA,1990,60 to 64 yrs,2,female,obese
USA,1990,60 to 64 yrs,2,female,overweight
USA,1990,65 to 69 yrs,2,female,obese
USA,1990,65 to 69 yrs,2,female,overweight
USA,1990,70 to 74 yrs,2,female,obese
USA,1990,70 to 74 yrs,2,female,overweight
USA,1990,75 to 79 yrs,2,female,obese
USA,1990,75 to 79 yrs,2,female,overweight
USA,1990,80+ yrs,2,female,overweight
USA,1990,80+ yrs,2,female,obese
USA,1990,2 to 4 yrs,3,both,obese
USA,1990,2 to 4 yrs,3,both,overweight
USA,1990,2 to 19 yrs - age-standardized,3,both,overweight
USA,1990,2 to 19 yrs - age-standardized,3,both,obese
USA,1990,5 to 9 yrs,3,both,obese
USA,1990,5 to 9 yrs,3,both,overweight
USA,1990,10 to 14 yrs,3,both,obese
USA,1990,10 to 14 yrs,3,both,overweight
USA,1990,15 to 19 yrs,3,both,obese
USA,1990,15 to 19 yrs,3,both,overweight
USA,1990,20 to 24 yrs,3,both,overweight
USA,1990,20 to 24 yrs,3,both,obese
USA,1990,20+ yrs - age-standardized,3,both,overweight
USA,1990,20+ yrs - age-standardized,3,both,obese
USA,1990,25 to 29 yrs,3,both,obese
USA,1990,25 to 29 yrs,3,both,overweight
USA,1990,30 to 34 yrs,3,both,overweight
USA,1990,30 to 34 yrs,3,both,obese
USA,1990,35 to 39 yrs,3,both,obese
USA,1990,35 to 39 yrs,3,both,overweight
USA,1990,40 to 44 yrs,3,both,obese
USA,1990,40 to 44 yrs,3,both,overweight
USA,1990,45 to 49 yrs,3,both,obese
USA,1990,45 to 49 yrs,3,both,overweight
USA,1990,50 to 54 yrs,3,both,obese
USA,1990,50 to 54 yrs,3,both,overweight
USA,1990,55 to 59 yrs,3,both,obese
USA,1990,55 to 59 yrs,3,both,overweight
USA,1990,60 to 64 yrs,3,both,obese
USA,1990,60 to 64 yrs,3,both,overweight
USA,1990,65 to 69 yrs,3,both,obese
USA,1990,65 to 69 yrs,3,both,overweight
USA,1990,70 to 74 yrs,3,both,obese
USA,1990,70 to 74 yrs,3,both,overweight
USA,1990,75 to 79 yrs,3,both,overweight
USA,1990,75 to 79 yrs,3,both,obese
USA,1990,80+ yrs,3,both,overweight
USA,1990,80+ yrs,3,both,obese
USA,1991,2 to 4 yrs,1,male,obese
USA,1991,2 to 4 yrs,1,male,overweight
USA,1991,2 to 19 yrs - age-standardized,1,male,obese
USA,1991,2 to 19 yrs - age-standardized,1,male,overweight
USA,1991,5 to 9 yrs,1,male,obese
USA,1991,5 to 9 yrs,1,male,overweight
USA,1991,10 to 14 yrs,1,male,overweight
USA,1991,10 to 14 yrs,1,male,obese
USA,1991,15 to 19 yrs,1,male,obese
USA,1991,15 to 19 yrs,1,male,overweight
USA,1991,20 to 24 yrs,1,male,obese
USA,1991,20 to 24 yrs,1,male,overweight
USA,1991,20+ yrs - age-standardized,1,male,overweight
USA,1991,20+ yrs - age-standardized,1,male,obese
USA,1991,25 to 29 yrs,1,male,overweight
USA,1991,25 to 29 yrs,1,male,obese
USA,1991,30 to 34 yrs,1,male,obese
USA,1991,30 to 34 yrs,1,male,overweight
USA,1991,35 to 39 yrs,1,male,overweight
USA,1991,35 to 39 yrs,1,male,obese
USA,1991,40 to 44 yrs,1,male,obese
USA,1991,40 to 44 yrs,1,male,overweight
USA,1991,45 to 49 yrs,1,male,obese
USA,1991,45 to 49 yrs,1,male,overweight
USA,1991,50 to 54 yrs,1,male,obese
USA,1991,50 to 54 yrs,1,male,overweight
USA,1991,55 to 59 yrs,1,male,overweight
USA,1991,55 to 59 yrs,1,male,obese
USA,1991,60 to 64 yrs,1,male,overweight
USA,1991,60 to 64 yrs,1,male,obese
USA,1991,65 to 69 yrs,1,male,obese
USA,1991,65 to 69 yrs,1,male,overweight
USA,1991,70 to 74 yrs,1,male,overweight
USA,1991,70 to 74 yrs,1,male,obese
USA,1991,75 to 79 yrs,1,male,obese
USA,1991,75 to 79 yrs,1,male,overweight
USA,1991,80+ yrs,1,male,obese
USA,1991,80+ yrs,1,male,overweight
USA,1991,2 to 4 yrs,2,female,obese
USA,1991,2 to 4 yrs,2,female,overweight
USA,1991,2 to 19 yrs - age-standardized,2,female,obese
USA,1991,2 to 19 yrs - age-standardized,2,female,overweight
USA,1991,5 to 9 yrs,2,female,overweight
USA,1991,5 to 9 yrs,2,female,obese
USA,1991,10 to 14 yrs,2,female,overweight
USA,1991,10 to 14 yrs,2,female,obese
USA,1991,15 to 19 yrs,2,female,overweight
USA,1991,15 to 19 yrs,2,female,obese
USA,1991,20 to 24 yrs,2,female,obese
USA,1991,20 to 24 yrs,2,female,overweight
USA,1991,20+ yrs - age-standardized,2,female,overweight
USA,1991,20+ yrs - age-standardized,2,female,obese
USA,1991,25 to 29 yrs,2,female,overweight
USA,1991,25 to 29 yrs,2,female,obese
USA,1991,30 to 34 yrs,2,female,overweight
USA,1991,30 to 34 yrs,2,female,obese
USA,1991,35 to 39 yrs,2,female,obese
USA,1991,35 to 39 yrs,2,female,overweight
USA,1991,40 to 44 yrs,2,female,overweight
USA,1991,40 to 44 yrs,2,female,obese
USA,1991,45 to 49 yrs,2,female,obese
USA,1991,45 to 49 yrs,2,female,overweight
USA,1991,50 to 54 yrs,2,female,overweight
USA,1991,50 to 54 yrs,2,female,obese
USA,1991,55 to 59 yrs,2,female,obese
USA,1991,55 to 59 yrs,2,female,overweight
USA,1991,60 to 64 yrs,2,female,obese
USA,1991,60 to 64 yrs,2,female,overweight
USA,1991,65 to 69 yrs,2,female,obese
USA,1991,65 to 69 yrs,2,female,overweight
USA,1991,70 to 74 yrs,2,female,overweight
USA,1991,70 to 74 yrs,2,female,obese
USA,1991,75 to 79 yrs,2,female,obese
USA,1991,75 to 79 yrs,2,female,overweight
USA,1991,80+ yrs,2,female,overweight
USA,1991,80+ yrs,2,female,obese
USA,1991,2 to 4 yrs,3,both,obese
USA,1991,2 to 4 yrs,3,both,overweight
USA,1991,2 to 19 yrs - age-standardized,3,both,obese
USA,1991,2 to 19 yrs - age-standardized,3,both,overweight
USA,1991,5 to 9 yrs,3,both,obese
USA,1991,5 to 9 yrs,3,both,overweight
USA,1991,10 to 14 yrs,3,both,obese
USA,1991,10 to 14 yrs,3,both,overweight
USA,1991,15 to 19 yrs,3,both,overweight
USA,1991,15 to 19 yrs,3,both,obese
USA,1991,20 to 24 yrs,3,both,obese
USA,1991,20 to 24 yrs,3,both,overweight
USA,1991,20+ yrs - age-standardized,3,both,overweight
USA,1991,20+ yrs - age-standardized,3,both,obese
USA,1991,25 to 29 yrs,3,both,obese
USA,1991,25 to 29 yrs,3,both,overweight
USA,1991,30 to 34 yrs,3,both,obese
USA,1991,30 to 34 yrs,3,both,overweight
USA,1991,35 to 39 yrs,3,both,overweight
USA,1991,35 to 39 yrs,3,both,obese
USA,1991,40 to 44 yrs,3,both,obese
USA,1991,40 to 44 yrs,3,both,overweight
USA,1991,45 to 49 yrs,3,both,overweight
USA,1991,45 to 49 yrs,3,both,obese
USA,1991,50 to 54 yrs,3,both,overweight
USA,1991,50 to 54 yrs,3,both,obese
USA,1991,55 to 59 yrs,3,both,obese
USA,1991,55 to 59 yrs,3,both,overweight
USA,1991,60 to 64 yrs,3,both,obese
USA,1991,60 to 64 yrs,3,both,overweight
USA,1991,65 to 69 yrs,3,both,overweight
USA,1991,65 to 69 yrs,3,both,obese
USA,1991,70 to 74 yrs,3,both,overweight
USA,1991,70 to 74 yrs,3,both,obese
USA,1991,75 to 79 yrs,3,both,overweight
USA,1991,75 to 79 yrs,3,both,obese
USA,1991,80+ yrs,3,both,overweight
USA,1991,80+ yrs,3,both,obese
USA,1992,2 to 4 yrs,1,male,overweight
USA,1992,2 to 4 yrs,1,male,obese
USA,1992,2 to 19 yrs - age-standardized,1,male,obese
USA,1992,2 to 19 yrs - age-standardized,1,male,overweight
USA,1992,5 to 9 yrs,1,male,obese
USA,1992,5 to 9 yrs,1,male,overweight
USA,1992,10 to 14 yrs,1,male,obese
USA,1992,10 to 14 yrs,1,male,overweight
USA,1992,15 to 19 yrs,1,male,overweight
USA,1992,15 to 19 yrs,1,male,obese
USA,1992,20 to 24 yrs,1,male,obese
USA,1992,20 to 24 yrs,1,male,overweight
USA,1992,20+ yrs - age-standardized,1,male,overweight
USA,1992,20+ yrs - age-standardized,1,male,obese
USA,1992,25 to 29 yrs,1,male,obese
USA,1992,25 to 29 yrs,1,male,overweight
USA,1992,30 to 34 yrs,1,male,overweight
USA,1992,30 to 34 yrs,1,male,obese
USA,1992,35 to 39 yrs,1,male,obese
USA,1992,35 to 39 yrs,1,male,overweight
USA,1992,40 to 44 yrs,1,male,overweight
USA,1992,40 to 44 yrs,1,male,obese
USA,1992,45 to 49 yrs,1,male,obese
USA,1992,45 to 49 yrs,1,male,overweight
USA,1992,50 to 54 yrs,1,male,overweight
USA,1992,50 to 54 yrs,1,male,obese
USA,1992,55 to 59 yrs,1,male,obese
USA,1992,55 to 59 yrs,1,male,overweight
USA,1992,60 to 64 yrs,1,male,obese
USA,1992,60 to 64 yrs,1,male,overweight
USA,1992,65 to 69 yrs,1,male,overweight
USA,1992,65 to 69 yrs,1,male,obese
USA,1992,70 to 74 yrs,1,male,obese
USA,1992,70 to 74 yrs,1,male,overweight
USA,1992,75 to 79 yrs,1,male,overweight
USA,1992,75 to 79 yrs,1,male,obese
USA,1992,80+ yrs,1,male,obese
USA,1992,80+ yrs,1,male,overweight
USA,1992,2 to 4 yrs,2,female,overweight
USA,1992,2 to 4 yrs,2,female,obese
USA,1992,2 to 19 yrs - age-standardized,2,female,obese
USA,1992,2 to 19 yrs - age-standardized,2,female,overweight
USA,1992,5 to 9 yrs,2,female,overweight
USA,1992,5 to 9 yrs,2,female,obese
USA,1992,10 to 14 yrs,2,female,obese
USA,1992,10 to 14 yrs,2,female,overweight
USA,1992,15 to 19 yrs,2,female,obese
USA,1992,15 to 19 yrs,2,female,overweight
USA,1992,20 to 24 yrs,2,female,overweight
USA,1992,20 to 24 yrs,2,female,obese
USA,1992,20+ yrs - age-standardized,2,female,overweight
USA,1992,20+ yrs - age-standardized,2,female,obese
USA,1992,25 to 29 yrs,2,female,overweight
USA,1992,25 to 29 yrs,2,female,obese
USA,1992,30 to 34 yrs,2,female,obese
USA,1992,30 to 34 yrs,2,female,overweight
USA,1992,35 to 39 yrs,2,female,overweight
USA,1992,35 to 39 yrs,2,female,obese
USA,1992,40 to 44 yrs,2,female,obese
USA,1992,40 to 44 yrs,2,female,overweight
USA,1992,45 to 49 yrs,2,female,obese
USA,1992,45 to 49 yrs,2,female,overweight
USA,1992,50 to 54 yrs,2,female,overweight
USA,1992,50 to 54 yrs,2,female,obese
USA,1992,55 to 59 yrs,2,female,overweight
USA,1992,55 to 59 yrs,2,female,obese
USA,1992,60 to 64 yrs,2,female,obese
USA,1992,60 to 64 yrs,2,female,overweight
USA,1992,65 to 69 yrs,2,female,obese
USA,1992,65 to 69 yrs,2,female,overweight
USA,1992,70 to 74 yrs,2,female,overweight
USA,1992,70 to 74 yrs,2,female,obese
USA,1992,75 to 79 yrs,2,female,overweight
USA,1992,75 to 79 yrs,2,female,obese
USA,1992,80+ yrs,2,female,overweight
USA,1992,80+ yrs,2,female,obese
USA,1992,2 to 4 yrs,3,both,obese
USA,1992,2 to 4 yrs,3,both,overweight
USA,1992,2 to 19 yrs - age-standardized,3,both,overweight
USA,1992,2 to 19 yrs - age-standardized,3,both,obese
USA,1992,5 to 9 yrs,3,both,obese
USA,1992,5 to 9 yrs,3,both,overweight
USA,1992,10 to 14 yrs,3,both,overweight
USA,1992,10 to 14 yrs,3,both,obese
USA,1992,15 to 19 yrs,3,both,obese
USA,1992,15 to 19 yrs,3,both,overweight
USA,1992,20 to 24 yrs,3,both,obese
USA,1992,20 to 24 yrs,3,both,overweight
USA,1992,20+ yrs - age-standardized,3,both,obese
USA,1992,20+ yrs - age-standardized,3,both,overweight
USA,1992,25 to 29 yrs,3,both,obese
USA,1992,25 to 29 yrs,3,both,overweight
USA,1992,30 to 34 yrs,3,both,overweight
USA,1992,30 to 34 yrs,3,both,obese
USA,1992,35 to 39 yrs,3,both,overweight
USA,1992,35 to 39 yrs,3,both,obese
USA,1992,40 to 44 yrs,3,both,overweight
USA,1992,40 to 44 yrs,3,both,obese
USA,1992,45 to 49 yrs,3,both,obese
USA,1992,45 to 49 yrs,3,both,overweight
USA,1992,50 to 54 yrs,3,both,obese
USA,1992,50 to 54 yrs,3,both,overweight
USA,1992,55 to 59 yrs,3,both,obese
USA,1992,55 to 59 yrs,3,both,overweight
USA,1992,60 to 64 yrs,3,both,overweight
USA,1992,60 to 64 yrs,3,both,obese
USA,1992,65 to 69 yrs,3,both,overweight
USA,1992,65 to 69 yrs,3,both,obese
USA,1992,70 to 74 yrs,3,both,obese
USA,1992,70 to 74 yrs,3,both,overweight
USA,1992,75 to 79 yrs,3,both,overweight
USA,1992,75 to 79 yrs,3,both,obese
USA,1992,80+ yrs,3,both,obese
USA,1992,80+ yrs,3,both,overweight
USA,1993,2 to 4 yrs,1,male,obese
USA,1993,2 to 4 yrs,1,male,overweight
USA,1993,2 to 19 yrs - age-standardized,1,male,overweight
USA,1993,2 to 19 yrs - age-standardized,1,male,obese
USA,1993,5 to 9 yrs,1,male,obese
USA,1993,5 to 9 yrs,1,male,overweight
USA,1993,10 to 14 yrs,1,male,obese
USA,1993,10 to 14 yrs,1,male,overweight
USA,1993,15 to 19 yrs,1,male,obese
USA,1993,15 to 19 yrs,1,male,overweight
USA,1993,20 to 24 yrs,1,male,overweight
USA,1993,20 to 24 yrs,1,male,obese
USA,1993,20+ yrs - age-standardized,1,male,obese
USA,1993,20+ yrs - age-standardized,1,male,overweight
USA,1993,25 to 29 yrs,1,male,overweight
USA,1993,25 to 29 yrs,1,male,obese
USA,1993,30 to 34 yrs,1,male,overweight
USA,1993,30 to 34 yrs,1,male,obese
USA,1993,35 to 39 yrs,1,male,obese
USA,1993,35 to 39 yrs,1,male,overweight
USA,1993,40 to 44 yrs,1,male,overweight
USA,1993,40 to 44 yrs,1,male,obese
USA,1993,45 to 49 yrs,1,male,overweight
USA,1993,45 to 49 yrs,1,male,obese
USA,1993,50 to 54 yrs,1,male,overweight
USA,1993,50 to 54 yrs,1,male,obese
USA,1993,55 to 59 yrs,1,male,overweight
USA,1993,55 to 59 yrs,1,male,obese
USA,1993,60 to 64 yrs,1,male,obese
USA,1993,60 to 64 yrs,1,male,overweight
USA,1993,65 to 69 yrs,1,male,obese
USA,1993,65 to 69 yrs,1,male,overweight
USA,1993,70 to 74 yrs,1,male,obese
USA,1993,70 to 74 yrs,1,male,overweight
USA,1993,75 to 79 yrs,1,male,overweight
USA,1993,75 to 79 yrs,1,male,obese
USA,1993,80+ yrs,1,male,overweight
USA,1993,80+ yrs,1,male,obese
USA,1993,2 to 4 yrs,2,female,obese
USA,1993,2 to 4 yrs,2,female,overweight
USA,1993,2 to 19 yrs - age-standardized,2,female,overweight
USA,1993,2 to 19 yrs - age-standardized,2,female,obese
USA,1993,5 to 9 yrs,2,female,overweight
USA,1993,5 to 9 yrs,2,female,obese
USA,1993,10 to 14 yrs,2,female,overweight
USA,1993,10 to 14 yrs,2,female,obese
USA,1993,15 to 19 yrs,2,female,overweight
USA,1993,15 to 19 yrs,2,female,obese
USA,1993,20 to 24 yrs,2,female,obese
USA,1993,20 to 24 yrs,2,female,overweight
USA,1993,20+ yrs - age-standardized,2,female,overweight
USA,1993,20+ yrs - age-standardized,2,female,obese
USA,1993,25 to 29 yrs,2,female,overweight
USA,1993,25 to 29 yrs,2,female,obese
USA,1993,30 to 34 yrs,2,female,obese
USA,1993,30 to 34 yrs,2,female,overweight
USA,1993,35 to 39 yrs,2,female,overweight
USA,1993,35 to 39 yrs,2,female,obese
USA,1993,40 to 44 yrs,2,female,overweight
USA,1993,40 to 44 yrs,2,female,obese
USA,1993,45 to 49 yrs,2,female,overweight
USA,1993,45 to 49 yrs,2,female,obese
USA,1993,50 to 54 yrs,2,female,obese
USA,1993,50 to 54 yrs,2,female,overweight
USA,1993,55 to 59 yrs,2,female,overweight
USA,1993,55 to 59 yrs,2,female,obese
USA,1993,60 to 64 yrs,2,female,obese
USA,1993,60 to 64 yrs,2,female,overweight
USA,1993,65 to 69 yrs,2,female,overweight
USA,1993,65 to 69 yrs,2,female,obese
USA,1993,70 to 74 yrs,2,female,overweight
USA,1993,70 to 74 yrs,2,female,obese
USA,1993,75 to 79 yrs,2,female,obese
USA,1993,75 to 79 yrs,2,female,overweight
USA,1993,80+ yrs,2,female,obese
USA,1993,80+ yrs,2,female,overweight
USA,1993,2 to 4 yrs,3,both,overweight
USA,1993,2 to 4 yrs,3,both,obese
USA,1993,2 to 19 yrs - age-standardized,3,both,overweight
USA,1993,2 to 19 yrs - age-standardized,3,both,obese
USA,1993,5 to 9 yrs,3,both,overweight
USA,1993,5 to 9 yrs,3,both,obese
USA,1993,10 to 14 yrs,3,both,obese
USA,1993,10 to 14 yrs,3,both,overweight
USA,1993,15 to 19 yrs,3,both,overweight
USA,1993,15 to 19 yrs,3,both,obese
USA,1993,20 to 24 yrs,3,both,overweight
USA,1993,20 to 24 yrs,3,both,obese
