,State,Year,Deaths,Pop,Percent
1,Connecticut,1999,239,3386401,7.05764E-05
2,Connecticut,2000,265,3405565,7.78138E-05
3,Connecticut,2001,239,3432835,6.96218E-05
4,Connecticut,2002,307,3458749,8.87604E-05
5,Connecticut,2003,265,3484336,7.60547E-05
6,Connecticut,2004,301,3496094,8.60961E-05
7,Connecticut,2005,267,3506956,7.61344E-05
8,Connecticut,2006,357,3517460,0.000101494
9,Connecticut,2007,386,3527270,0.000109433
10,Connecticut,2008,365,3545579,0.000102945
11,Connecticut,2009,345,3561807,9.68609E-05
12,Connecticut,2010,324,3574097,9.06523E-05
13,Connecticut,2011,364,3589759,0.0001014
14,Connecticut,2012,403,3593541,0.000112146
15,Connecticut,2013,549,3597168,0.00015262
16,Connecticut,2014,599,3594762,0.000166631
17,Connecticut,2015,773,3590886,0.000215267
18,Maine,1999,37,1266808,2.92073E-05
19,Maine,2000,53,1274923,4.15711E-05
20,Maine,2001,63,1285692,4.90008E-05
21,Maine,2002,109,1295960,8.41075E-05
22,Maine,2003,114,1306513,8.72552E-05
23,Maine,2004,116,1313688,8.8301E-05
24,Maine,2005,136,1318787,0.000103125
25,Maine,2006,146,1323619,0.000110304
26,Maine,2007,136,1327040,0.000102484
27,Maine,2008,160,1330509,0.000120255
28,Maine,2009,157,1329590,0.000118082
29,Maine,2010,115,1328361,8.65729E-05
30,Maine,2011,133,1328257,0.000100131
31,Maine,2012,127,1328888,9.55686E-05
32,Maine,2013,159,1328778,0.000119659
33,Maine,2014,204,1330256,0.000153354
34,Maine,2015,266,1329328,0.000200101
35,Massachusetts,1999,53,6317345,8.3896E-06
36,Massachusetts,2000,54,6349097,8.50515E-06
37,Massachusetts,2001,62,6397634,9.69108E-06
38,Massachusetts,2002,67,6417206,1.04407E-05
39,Massachusetts,2003,86,6422565,1.33903E-05
40,Massachusetts,2004,103,6412281,1.60629E-05
41,Massachusetts,2005,640,6403290,9.99486E-05
42,Massachusetts,2006,847,6410084,0.000132136
43,Massachusetts,2007,789,6431559,0.000122676
44,Massachusetts,2008,722,6468967,0.00011161
45,Massachusetts,2009,766,6517613,0.000117528
46,Massachusetts,2010,690,6547629,0.000105382
47,Massachusetts,2011,811,6611797,0.00012266
48,Massachusetts,2012,794,6657780,0.000119259
49,Massachusetts,2013,990,6708810,0.000147567
50,Massachusetts,2014,1250,6755124,0.000185045
51,Massachusetts,2015,1663,6794422,0.00024476
52,New Hampshire,1999,35,1222014,2.86412E-05
