State,Year,Deaths,Population,Percent,Rate
Connecticut,1999,239,3386401,7.06E-05,7.06
Connecticut,2000,265,3405565,7.78E-05,7.78
Connecticut,2001,239,3432835,6.96E-05,6.96
Connecticut,2002,307,3458749,8.88E-05,8.88
Connecticut,2003,265,3484336,7.61E-05,7.61
Connecticut,2004,301,3496094,8.61E-05,8.61
Connecticut,2005,267,3506956,7.61E-05,7.61
Connecticut,2006,357,3517460,0.000101494,10.15
Connecticut,2007,386,3527270,0.000109433,10.94
Connecticut,2008,365,3545579,0.000102945,10.29
Connecticut,2009,345,3561807,9.69E-05,9.69
Connecticut,2010,324,3574097,9.07E-05,9.07
Connecticut,2011,364,3589759,0.0001014,10.14
Connecticut,2012,403,3593541,0.000112146,11.21
Connecticut,2013,549,3597168,0.00015262,15.26
Connecticut,2014,599,3594762,0.000166631,16.66
Connecticut,2015,773,3590886,0.000215267,21.53
Maine,1999,37,1266808,2.92E-05,2.92
Maine,2000,53,1274923,4.16E-05,4.16
Maine,2001,63,1285692,4.90E-05,4.90
Maine,2002,109,1295960,8.41E-05,8.41
Maine,2003,114,1306513,8.73E-05,8.73
Maine,2004,116,1313688,8.83E-05,8.83
Maine,2005,136,1318787,0.000103125,10.31
Maine,2006,146,1323619,0.000110304,11.03
Maine,2007,136,1327040,0.000102484,10.25
Maine,2008,160,1330509,0.000120255,12.03
Maine,2009,157,1329590,0.000118082,11.81
Maine,2010,115,1328361,8.66E-05,8.66
Maine,2011,133,1328257,0.000100131,10.01
Maine,2012,127,1328888,9.56E-05,9.56
Maine,2013,159,1328778,0.000119659,11.97
Maine,2014,204,1330256,0.000153354,15.34
Maine,2015,266,1329328,0.000200101,20.01
Massachusetts,1999,53,6317345,8.39E-06,0.84
Massachusetts,2000,54,6349097,8.51E-06,0.85
Massachusetts,2001,62,6397634,9.69E-06,0.97
Massachusetts,2002,67,6417206,1.04E-05,1.04
Massachusetts,2003,86,6422565,1.34E-05,1.34
Massachusetts,2004,103,6412281,1.61E-05,1.61
Massachusetts,2005,640,6403290,9.99E-05,9.99
Massachusetts,2006,847,6410084,0.000132136,13.21
Massachusetts,2007,789,6431559,0.000122676,12.27
Massachusetts,2008,722,6468967,0.00011161,11.16
Massachusetts,2009,766,6517613,0.000117528,11.75
Massachusetts,2010,690,6547629,0.000105382,10.54
Massachusetts,2011,811,6611797,0.00012266,12.27
Massachusetts,2012,794,6657780,0.000119259,11.93
Massachusetts,2013,990,6708810,0.000147567,14.76
Massachusetts,2014,1250,6755124,0.000185045,18.50
Massachusetts,2015,1663,6794422,0.00024476,24.48
New Hampshire,1999,35,1222014,2.86E-05,2.86
New Hampshire,2000,33,1235786,2.67E-05,2.67
New Hampshire,2001,41,1255517,3.27E-05,3.27
New Hampshire,2002,76,1269089,5.99E-05,5.99
New Hampshire,2003,97,1279840,7.58E-05,7.58
New Hampshire,2004,99,1290121,7.67E-05,7.67
New Hampshire,2005,117,1298492,9.01E-05,9.01
New Hampshire,2006,121,1308389,9.25E-05,9.25
New Hampshire,2007,157,1312540,0.000119615,11.96
New Hampshire,2008,104,1315906,7.90E-05,7.90
New Hampshire,2009,140,1316102,0.000106375,10.64
New Hampshire,2010,123,1316470,9.34E-05,9.34
New Hampshire,2011,154,1318344,0.000116813,11.68
New Hampshire,2012,151,1321393,0.000114273,11.43
New Hampshire,2013,175,1322660,0.000132309,13.23
New Hampshire,2014,301,1327996,0.000226657,22.67
New Hampshire,2015,385,1330608,0.000289341,28.93
Rhode Island,2001,16,1057142,1.51E-05,1.51
Rhode Island,2003,14,1071342,1.31E-05,1.31
Rhode Island,2005,33,1067916,3.09E-05,3.09
Rhode Island,2006,135,1063096,0.000126988,12.70
Rhode Island,2007,124,1057315,0.000117278,11.73
Rhode Island,2008,172,1055003,0.000163033,16.30
