"","Age.Group.Code","Year","Deaths","Population","Rate"
"1","20-24",2004,11,58936,18.6643138319533
"2","20-24",2005,10,37956,26.3462957108231
"3","20-24",2007,20,130564,15.3181581446647
"4","20-24",2008,11,35801,30.725398731879
"5","20-24",2010,44,216938,20.2822926366058
"6","20-24",2011,32,180879,17.6913848484346
"7","20-24",2012,43,239662,17.9419348916391
"8","20-24",2013,45,256116,17.5701635196552
"9","20-24",2014,86,370327,23.2227193804395
"10","20-24",2015,108,313806,34.4161679508996
"11","25-34",2000,27,264925,10.1915636500896
"12","25-34",2001,28,296016,9.45894816496406
"13","25-34",2002,67,543206,12.3341789302769
"14","25-34",2003,28,282204,9.92190046916415
"15","25-34",2004,69,599187,11.5156036429362
"16","25-34",2005,88,526686,16.7082474187656
"17","25-34",2006,100,520742,19.2033675025252
"18","25-34",2007,148,712073,20.7843858705498
"19","25-34",2008,171,712079,24.0141894368462
"20","25-34",2009,97,568607,17.0592342338381
"21","25-34",2010,207,776948,26.6427096794123
"22","25-34",2011,237,800319,29.6131917397938
"23","25-34",2012,310,848011,36.5561295785078
"24","25-34",2013,363,933011,38.9062937092917
"25","25-34",2014,484,976064,49.5869123336175
"26","25-34",2015,652,1031908,63.1839272493284
"27","35-44",1999,65,482540,13.4703858747461
"28","35-44",2000,86,611506,14.0636396045174
"29","35-44",2001,124,668202,18.5572626241765
"30","35-44",2002,156,735290,21.2161188102653
"31","35-44",2003,107,703590,15.2077204053497
"32","35-44",2004,155,714954,21.6797164572826
"33","35-44",2005,145,715183,20.2745311339895
"34","35-44",2006,229,796740,28.7421241559354
"35","35-44",2007,234,793727,29.4811692181317
"36","35-44",2008,220,748958,29.3741438104673
"37","35-44",2009,128,608621,21.0311507489883
"38","35-44",2010,257,799011,32.1647636891107
"39","35-44",2011,230,693233,33.1778781448662
"40","35-44",2012,292,772337,37.8073302198393
"41","35-44",2013,314,791535,39.6697556014579
"42","35-44",2014,467,856565,54.5200889599739
"43","35-44",2015,626,925114,67.6673361337089
"44","45-54",1999,49,368594,13.2937595294552
"45","45-54",2000,67,513211,13.055059225153
"46","45-54",2001,111,616050,18.018018018018
"47","45-54",2002,119,621372,19.1511687040935
"48","45-54",2003,103,629474,16.3628680453839
"49","45-54",2004,165,670010,24.6264981119685
"50","45-54",2005,211,832201,25.3544516288733
"51","45-54",2006,271,822460,32.9499306957177
"52","45-54",2007,353,926230,38.1114841885925
"53","45-54",2008,346,982669,35.2102284696068
"54","45-54",2009,169,774970,21.8072957662877
"55","45-54",2010,326,997459,32.6830476240126
"56","45-54",2011,419,1001499,41.8372859084233
"57","45-54",2012,430,948882,45.3164882461676
"58","45-54",2013,451,917987,49.129236034933
"59","45-54",2014,449,906974,49.5052779903283
"60","45-54",2015,524,936332,55.9630558391682
"61","55-64",2002,10,54337,18.4036660102692
"62","55-64",2004,34,251813,13.5020828948466
"63","55-64",2005,37,301762,12.2613185225443
"64","55-64",2006,55,312138,17.6204114846638
"65","55-64",2007,68,407971,16.6678513913979
"66","55-64",2008,105,502166,20.9094203908668
"67","55-64",2009,47,369014,12.7366441381628
"68","55-64",2010,120,530975,22.5999340835256
"69","55-64",2011,106,471240,22.4938460232578
"70","55-64",2012,172,751217,22.8961804644996
"71","55-64",2013,191,668290,28.580406709662
"72","55-64",2014,248,775757,31.9687737268243
"73","55-64",2015,312,882335,35.3607190012864
"74","65-74",2014,11,108757,10.1142914938809
"75","65-74",2015,10,63848,15.662197719584
