"","Gender","Year","Deaths","Population","Rate"
"1","Female",1999,31,1031172,3.00628799075227
"2","Female",2000,60,2018217,2.97292114772594
"3","Female",2001,111,2295805,4.83490540355126
"4","Female",2002,164,2695630,6.08392101289865
"5","Female",2003,123,2688659,4.57477128933048
"6","Female",2004,187,2677925,6.98301856848119
"7","Female",2005,235,2908249,8.0804635366504
"8","Female",2006,255,2787392,9.1483365095401
"9","Female",2007,349,3218716,10.8428329806047
"10","Female",2008,379,3364608,11.2643137031119
"11","Female",2009,216,2962545,7.29102849070647
"12","Female",2010,416,3738923,11.1261986406246
"13","Female",2011,495,3578241,13.8336126605223
"14","Female",2012,506,3491969,14.4903920968371
"15","Female",2013,503,3672039,13.6981115941307
"16","Female",2014,712,4139195,17.2014123519187
"17","Female",2015,850,4283603,19.8431087101209
"18","Male",1999,156,2111207,7.38913806178172
"19","Male",2000,210,2438308,8.61252967221532
"20","Male",2001,243,2493393,9.74575608417927
"21","Male",2002,362,2971413,12.1827561500202
"22","Male",2003,273,2728953,10.0038366362484
"23","Male",2004,466,3258778,14.2998387739208
"24","Male",2005,508,3461768,14.674582467687
"25","Male",2006,629,3468748,18.1333437885946
"26","Male",2007,727,3623217,20.0650416466913
"27","Male",2008,788,3625405,21.7355026541862
"28","Male",2009,481,3398399,14.1537235621833
"29","Male",2010,857,3936164,21.7724667976233
"30","Male",2011,931,3897468,23.8873032440549
"31","Male",2012,1109,4271309,25.9639375189198
"32","Male",2013,1254,4277789,29.3142088120756
"33","Male",2014,1555,4540476,34.2475106134247
"34","Male",2015,1879,4442265,42.298242000421
