"","Race","Year","Deaths","Population","Rate"
"1","Black or African American",1999,67,906531,7.39081178691076
"2","Black or African American",2000,50,710227,7.04000270336104
"3","Black or African American",2001,74,714104,10.3626362546632
"4","Black or African American",2002,91,933712,9.74604588995322
"5","Black or African American",2003,73,941938,7.7499792980005
"6","Black or African American",2004,114,949109,12.01126530251
"7","Black or African American",2005,96,1034850,9.27670676909697
"8","Black or African American",2006,154,1042196,14.7764911782429
"9","Black or African American",2007,151,1057470,14.2793648992406
"10","Black or African American",2008,139,1017342,13.6630552950728
"11","Black or African American",2009,86,1025018,8.3900965641579
"12","Black or African American",2010,121,1030922,11.737066431796
"13","Black or African American",2011,139,1087293,12.7840425717815
"14","Black or African American",2012,148,1178132,12.5622595770253
"15","Black or African American",2013,189,1103301,17.1304113745932
"16","Black or African American",2014,196,1197236,16.3710412984574
"17","Black or African American",2015,249,1240200,20.0774068698597
"18","White",1999,157,3669033,4.27905663426848
"19","White",2000,230,4193624,5.48451649456413
"20","White",2001,289,4246022,6.8063707630342
"21","White",2002,469,5277980,8.8859753163142
"22","White",2003,398,5749638,6.92217492649102
"23","White",2004,616,6268909,9.82627120604239
"24","White",2005,712,6275658,11.3454238583428
"25","White",2006,871,6489491,13.4216997912471
"26","White",2007,1029,6738591,15.2702545680544
"27","White",2008,1156,7058661,16.377043748099
"28","White",2009,736,6578631,11.1877379959447
"29","White",2010,1284,7449612,17.2357969784198
"30","White",2011,1471,7679412,19.1551123966262
"31","White",2012,1617,7583137,21.3236289941748
"32","White",2013,1758,7946754,22.1222400995425
"33","White",2014,2181,8186655,26.6409174443042
"34","White",2015,2652,8375232,31.6647944797231
