"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	2186	43324798	5.0
	"Alabama"	"01"	"Male"	"M"	9046	40692033	22.2
"Total"	"Alabama"	"01"			11232	84016831	13.4
	"Alaska"	"02"	"Female"	"F"	561	5930241	9.5
	"Alaska"	"02"	"Male"	"M"	2117	6430707	32.9
"Total"	"Alaska"	"02"			2678	12360948	21.7
	"Arizona"	"04"	"Female"	"F"	4032	54846072	7.4
	"Arizona"	"04"	"Male"	"M"	14198	54345319	26.1
"Total"	"Arizona"	"04"			18230	109191391	16.7
	"Arkansas"	"05"	"Female"	"F"	1585	26060801	6.1
	"Arkansas"	"05"	"Male"	"M"	6184	25054586	24.7
"Total"	"Arkansas"	"05"			7769	51115387	15.2
	"California"	"06"	"Female"	"F"	14698	330522104	4.4
	"California"	"06"	"Male"	"M"	50230	327209960	15.4
"Total"	"California"	"06"			64928	657732064	9.9
	"Colorado"	"08"	"Female"	"F"	3446	43562310	7.9
	"Colorado"	"08"	"Male"	"M"	11966	43957837	27.2
"Total"	"Colorado"	"08"			15412	87520147	17.6
	"Connecticut"	"09"	"Female"	"F"	1323	32580127	4.1
	"Connecticut"	"09"	"Male"	"M"	4424	30848173	14.3
"Total"	"Connecticut"	"09"			5747	63428300	9.1
	"Delaware"	"10"	"Female"	"F"	392	8059856	4.9
	"Delaware"	"10"	"Male"	"M"	1453	7582702	19.2
"Total"	"Delaware"	"10"			1845	15642558	11.8
	"District of Columbia"	"11"	"Female"	"F"	138	5708861	2.4
	"District of Columbia"	"11"	"Male"	"M"	503	5112796	9.8
"Total"	"District of Columbia"	"11"			641	10821657	5.9
	"Florida"	"12"	"Female"	"F"	10872	167838332	6.5
	"Florida"	"12"	"Male"	"M"	36440	160432313	22.7
"Total"	"Florida"	"12"			47312	328270645	14.4
	"Georgia"	"13"	"Female"	"F"	4054	85321976	4.8
	"Georgia"	"13"	"Male"	"M"	15046	81782742	18.4
"Total"	"Georgia"	"13"			19100	167104718	11.4
	"Hawaii"	"15"	"Female"	"F"	625	11850917	5.3
	"Hawaii"	"15"	"Male"	"M"	2144	11969468	17.9
"Total"	"Hawaii"	"15"			2769	23820385	11.6
	"Idaho"	"16"	"Female"	"F"	933	13373830	7.0
	"Idaho"	"16"	"Male"	"M"	3712	13435052	27.6
"Total"	"Idaho"	"16"			4645	26808882	17.3
	"Illinois"	"17"	"Female"	"F"	4251	116393218	3.7
	"Illinois"	"17"	"Male"	"M"	16831	112037808	15.0
"Total"	"Illinois"	"17"			21082	228431026	9.2
	"Indiana"	"18"	"Female"	"F"	2859	58279255	4.9
	"Indiana"	"18"	"Male"	"M"	11904	56393134	21.1
"Total"	"Indiana"	"18"			14763	114672389	12.9
	"Iowa"	"19"	"Female"	"F"	1227	27447179	4.5
	"Iowa"	"19"	"Male"	"M"	5320	26793542	19.9
"Total"	"Iowa"	"19"			6547	54240721	12.1
	"Kansas"	"20"	"Female"	"F"	1339	25405103	5.3
	"Kansas"	"20"	"Male"	"M"	5645	24994691	22.6
"Total"	"Kansas"	"20"			6984	50399794	13.9
	"Kentucky"	"21"	"Female"	"F"	2112	38936105	5.4
	"Kentucky"	"21"	"Male"	"M"	9058	37570556	24.1
"Total"	"Kentucky"	"21"			11170	76506661	14.6
	"Louisiana"	"22"	"Female"	"F"	1997	41772652	4.8
