"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Adams County, OH"	"39001"	"Female"	"F"	20	256977	7.8
	"Adams County, OH"	"39001"	"Male"	"M"	78	249935	31.2
	"Allen County, OH"	"39003"	"Female"	"F"	33	954948	3.5
	"Allen County, OH"	"39003"	"Male"	"M"	163	962658	16.9
	"Ashland County, OH"	"39005"	"Female"	"F"	16	486744	Unreliable
	"Ashland County, OH"	"39005"	"Male"	"M"	88	467908	18.8
	"Ashtabula County, OH"	"39007"	"Female"	"F"	37	919743	4.0
	"Ashtabula County, OH"	"39007"	"Male"	"M"	243	905747	26.8
	"Athens County, OH"	"39009"	"Female"	"F"	30	581706	5.2
	"Athens County, OH"	"39009"	"Male"	"M"	98	572702	17.1
	"Auglaize County, OH"	"39011"	"Male"	"M"	79	409938	19.3
	"Belmont County, OH"	"39013"	"Female"	"F"	27	628398	4.3
	"Belmont County, OH"	"39013"	"Male"	"M"	155	632047	24.5
	"Brown County, OH"	"39015"	"Female"	"F"	26	399061	6.5
	"Brown County, OH"	"39015"	"Male"	"M"	104	391049	26.6
	"Butler County, OH"	"39017"	"Female"	"F"	169	3288692	5.1
	"Butler County, OH"	"39017"	"Male"	"M"	590	3148201	18.7
	"Carroll County, OH"	"39019"	"Female"	"F"	13	259771	Unreliable
	"Carroll County, OH"	"39019"	"Male"	"M"	52	257989	20.2
	"Champaign County, OH"	"39021"	"Female"	"F"	18	358817	Unreliable
	"Champaign County, OH"	"39021"	"Male"	"M"	85	352068	24.1
	"Clark County, OH"	"39023"	"Female"	"F"	63	1300337	4.8
	"Clark County, OH"	"39023"	"Male"	"M"	275	1216476	22.6
	"Clermont County, OH"	"39025"	"Female"	"F"	108	1755156	6.2
	"Clermont County, OH"	"39025"	"Male"	"M"	352	1703729	20.7
	"Clinton County, OH"	"39027"	"Female"	"F"	10	381393	Unreliable
	"Clinton County, OH"	"39027"	"Male"	"M"	70	369256	19.0
	"Columbiana County, OH"	"39029"	"Female"	"F"	54	975801	5.5
	"Columbiana County, OH"	"39029"	"Male"	"M"	236	979534	24.1
	"Coshocton County, OH"	"39031"	"Female"	"F"	14	337073	Unreliable
	"Coshocton County, OH"	"39031"	"Male"	"M"	73	327740	22.3
