County,Year,Deaths,Population,Rate
Adams,1999,10,28456,35.1
Adams,2000,10,28456,35.1
Adams,2001,10,28456,35.1
Adams,2002,10,28456,35.1
Adams,2003,10,28456,35.1
Adams,2004,10,28456,35.1
Adams,2005,10,28456,35.1
Adams,2006,10,28456,35.1
Adams,2007,10,28456,35.1
Adams,2008,10,28456,35.1
Adams,2009,10,28456,35.1
Adams,2010,10,28456,35.1
Adams,2011,10,28456,35.1
Adams,2012,10,28456,35.1
Adams,2013,10,28456,35.1
Adams,2014,10,28456,35.1
Adams,2015,10,28456,35.1
Adams,2016,10,28456,35.1
Allen,1999,12,108192,11.1
Allen,2000,12,108192,11.1
Allen,2001,12,108192,11.1
Allen,2002,12,108192,11.1
Allen,2003,12,108192,11.1
Allen,2004,12,108192,11.1
Allen,2005,12,106861,11.2
Allen,2006,13,106716,12.2
Allen,2007,16,106717,15
Allen,2008,11,106773,10.3
Allen,2009,11,106773,10.3
Allen,2010,11,106773,10.3
Allen,2011,15,106094,14.1
Allen,2012,16,105141,15.2
Allen,2013,16,105141,15.2
Allen,2014,12,105040,11.4
Allen,2015,18,104425,17.2
Allen,2016,15,103742,14.5
Ashland,1999,10,53499,18.7
Ashland,2000,10,53499,18.7
Ashland,2001,10,53499,18.7
Ashland,2002,10,53499,18.7
Ashland,2003,10,53499,18.7
Ashland,2004,10,53499,18.7
Ashland,2005,10,53499,18.7
Ashland,2006,10,53499,18.7
Ashland,2007,10,53499,18.7
Ashland,2008,10,53499,18.7
Ashland,2009,10,53499,18.7
Ashland,2010,10,53499,18.7
Ashland,2011,10,53499,18.7
Ashland,2012,10,53499,18.7
Ashland,2013,10,53499,18.7
Ashland,2014,10,53499,18.7
Ashland,2015,10,53499,18.7
Ashland,2016,10,53499,18.7
Ashtabula,1999,10,102796,9.7
Ashtabula,2000,21,102728,20.4
Ashtabula,2001,21,102728,20.4
Ashtabula,2002,15,102577,14.6
Ashtabula,2003,15,102577,14.6
Ashtabula,2004,17,102648,16.6
Ashtabula,2005,14,102638,13.6
Ashtabula,2006,23,102340,22.5
Ashtabula,2007,12,102156,11.7
Ashtabula,2008,21,101826,20.6
Ashtabula,2009,11,101584,10.8
Ashtabula,2010,15,101497,14.8
Ashtabula,2011,18,101345,17.8
Ashtabula,2012,16,100389,15.9
Ashtabula,2013,20,99811,20
Ashtabula,2014,17,99175,17.1
Ashtabula,2015,19,98632,19.3
Ashtabula,2016,19,98231,19.3
Athens,1999,10,62997,15.9
Athens,2000,10,62997,15.9
Athens,2001,10,62997,15.9
Athens,2002,10,62997,15.9
Athens,2003,10,62997,15.9
Athens,2004,10,62997,15.9
Athens,2005,10,62997,15.9
Athens,2006,10,62997,15.9
Athens,2007,11,64102,17.2
Athens,2008,11,64546,17
Athens,2009,11,64546,17
Athens,2010,11,64546,17
Athens,2011,11,64546,17
Athens,2012,11,64546,17
Athens,2013,11,64546,17
Athens,2014,11,64546,17
Athens,2015,11,64546,17
Athens,2016,10,66186,15.1
Auglaize,1999,10,45977,21.8
Auglaize,2000,10,45977,21.8
Auglaize,2001,10,45977,21.8
Auglaize,2002,10,45977,21.8
Auglaize,2003,10,45977,21.8
Auglaize,2004,10,45977,21.8
Auglaize,2005,10,45977,21.8
Auglaize,2006,10,45977,21.8
Auglaize,2007,10,45977,21.8
Auglaize,2008,10,45977,21.8
Auglaize,2009,10,45977,21.8
Auglaize,2010,10,45977,21.8
Auglaize,2011,10,45977,21.8
Auglaize,2012,10,45977,21.8
Auglaize,2013,10,45977,21.8
Auglaize,2014,10,45977,21.8
Auglaize,2015,10,45977,21.8
Auglaize,2016,10,45977,21.8
Belmont,1999,10,70226,14.2
Belmont,2000,10,70226,14.2
Belmont,2001,11,69901,15.7
Belmont,2002,11,70293,15.6
Belmont,2003,11,70219,15.7
Belmont,2004,11,70219,15.7
Belmont,2005,10,70203,14.2
Belmont,2006,10,70203,14.2
Belmont,2007,10,70203,14.2
Belmont,2008,10,70203,14.2
Belmont,2009,14,70439,19.9
Belmont,2010,15,70400,21.3
Belmont,2011,15,70400,21.3
Belmont,2012,12,69671,17.2
Belmont,2013,13,69571,18.7
Belmont,2014,13,69461,18.7
Belmont,2015,13,69461,18.7
Belmont,2016,10,68673,14.6
Brown,1999,10,44334,22.6
Brown,2000,10,44334,22.6
Brown,2001,10,44334,22.6
Brown,2002,10,44334,22.6
Brown,2003,10,44334,22.6
Brown,2004,10,44334,22.6
Brown,2005,10,44334,22.6
Brown,2006,10,44334,22.6
Brown,2007,10,44490,22.5
Brown,2008,10,44490,22.5
Brown,2009,10,44490,22.5
Brown,2010,10,44490,22.5
Brown,2011,10,44687,22.4
Brown,2012,10,44687,22.4
Brown,2013,10,44687,22.4
Brown,2014,10,44264,22.6
Brown,2015,10,44264,22.6
Brown,2016,11,43759,25.1
Butler,1999,34,330751,10.3
Butler,2000,23,332807,6.9
Butler,2001,39,336679,11.6
Butler,2002,43,339514,12.7
Butler,2003,43,343022,12.5
Butler,2004,34,346655,9.8
Butler,2005,36,350732,10.3
Butler,2006,38,356691,10.7
Butler,2007,41,361192,11.4
Butler,2008,57,364179,15.7
Butler,2009,43,366633,11.7
Butler,2010,53,368130,14.4
Butler,2011,49,369999,13.2
Butler,2012,41,370589,11.1
Butler,2013,37,371272,10
Butler,2014,54,374158,14.4
Butler,2015,46,376353,12.2
Butler,2016,48,377537,12.7
Champaign,1999,10,40097,24.9
Champaign,2000,10,40097,24.9
Champaign,2001,10,40097,24.9
Champaign,2002,10,40097,24.9
Champaign,2003,10,40097,24.9
Champaign,2004,10,40097,24.9
Champaign,2005,10,40097,24.9
Champaign,2006,10,40097,24.9
Champaign,2007,10,40097,24.9
Champaign,2008,10,40097,24.9
Champaign,2009,10,40097,24.9
Champaign,2010,10,40097,24.9
Champaign,2011,10,40097,24.9
Champaign,2012,10,40097,24.9
Champaign,2013,10,40097,24.9
Champaign,2014,10,40097,24.9
Champaign,2015,10,38987,25.6
Champaign,2016,10,38987,25.6
Clark,1999,17,145159,11.7
Clark,2000,12,144742,8.3
Clark,2001,24,143803,16.7
Clark,2002,19,143229,13.3
Clark,2003,20,141758,14.1
Clark,2004,16,141380,11.3
Clark,2005,13,141367,9.2
Clark,2006,15,140668,10.7
Clark,2007,23,139829,16.4
Clark,2008,19,139404,13.6
Clark,2009,19,138778,13.7
Clark,2010,21,138333,15.2
Clark,2011,15,137691,10.9
Clark,2012,24,137206,17.5
Clark,2013,19,136167,14
Clark,2014,20,136554,14.6
Clark,2015,22,135959,16.2
Clark,2016,20,134786,14.8
Clermont,1999,14,176389,7.9
Clermont,2000,18,177977,10.1
Clermont,2001,19,179845,10.6
Clermont,2002,37,182143,20.3
Clermont,2003,17,184446,9.2
Clermont,2004,14,187281,7.5
Clermont,2005,17,189486,9
Clermont,2006,24,192209,12.5
Clermont,2007,24,194346,12.3
Clermont,2008,33,195891,16.8
Clermont,2009,34,196512,17.3
Clermont,2010,24,197363,12.2
Clermont,2011,33,199139,16.6
Clermont,2012,32,199085,16.1
Clermont,2013,36,200218,18
Clermont,2014,36,201560,17.9
Clermont,2015,18,201973,8.9
Clermont,2016,30,203022,14.8
Columbiana,1999,14,111370,12.6
Columbiana,2000,14,111370,12.6
Columbiana,2001,14,111370,12.6
Columbiana,2002,12,111097,10.8
Columbiana,2003,14,111000,12.6
Columbiana,2004,14,110627,12.7
Columbiana,2005,22,109784,20
Columbiana,2006,17,109673,15.5
Columbiana,2007,13,109153,11.9
Columbiana,2008,20,108469,18.4
Columbiana,2009,20,108469,18.4
Columbiana,2010,20,107841,18.5
Columbiana,2011,18,107570,16.7
Columbiana,2012,22,106507,20.7
Columbiana,2013,20,105893,18.9
Columbiana,2014,24,105686,22.7
Columbiana,2015,20,104806,19.1
Columbiana,2016,16,103685,15.4
Coshocton,1999,10,36760,27.2
Coshocton,2000,10,36760,27.2
Coshocton,2001,10,36760,27.2
