County,Number_Man,Percent_Men,Number_Women,Percent_Women
Adams County,2953,29.1,2908,27.5
Allen County,13335,34.6,12799,33.1
Ashland County,5887,31.3,5857,29
Ashtabula County,12053,32.3,10942,29
Athens County,7197,29.9,6617,27.7
Auglaize County,5963,36.3,5568,32.6
Belmont County,9393,34,8755,32.2
Brown County,6163,38.2,6080,36.5
Butler County,40039,31.1,40076,29.1
Carroll County,3758,35.2,3695,33.8
Champaign County,5342,37.8,5269,35.4
Clark County,15128,31.4,15722,29.6
Clermont County,21358,30.3,21225,28.4
Clinton County,5161,34.9,5487,34.7
Columbiana County,13564,33.3,12691,31
Coshocton County,4616,34.8,4588,32.6
Crawford County,5069,32.7,5318,31.6
Cuyahoga County,122466,27.6,150010,29.4
Darke County,5853,31.4,5871,29.7
Defiance County,4468,32.5,4466,30.6
Delaware County,17833,29.3,16197,25.1
Erie County,9092,32.5,9181,30.4
Fairfield County,16819,32.3,16286,29.9
Fayette County,3435,33.6,3444,31.3
Franklin County,116814,27.8,139466,30.5
Fulton County,4962,33.3,5178,32.3
Gallia County,3559,32.2,3581,30.5
Geauga County,9594,29.1,9143,26.1
Greene County,17617,29.7,17314,27.4
Guernsey County,5266,36.7,5545,36.2
Hamilton County,78344,28.1,92533,29.6
Hancock County,8244,30.6,8643,29.8
Hardin County,3858,34.6,3962,33.8
Harrison County,1790,30.3,1752,28.5
Henry County,3252,32.3,2970,28.1
Highland County,5271,34.7,5350,32.8
Hocking County,3797,34.7,3666,33.3
Holmes County,3949,29.3,3770,27.1
Huron County,7093,34.2,7234,32.9
Jackson County,4331,37.1,4580,36.5
Jefferson County,8648,34.3,9115,32.9
Knox County,7535,35.3,7575,33.1
Lake County,23733,28.2,22418,24.7
Lawrence County,8837,39.7,9264,38.1
Licking County,18124,30.8,17844,28
Logan County,5205,32.4,5170,30.2
Lorain County,33646,31.1,33000,28.7
Lucas County,49672,32.4,54940,32.5
Madison County,5328,29.6,3999,27.4
Mahoning County,27535,32,27812,29.5
Marion County,9545,35.3,7635,32.3
Medina County,18452,29.8,18338,28
Meigs County,3058,35,3121,34.1
Mercer County,4397,30.2,4033,27.3
Miami County,12200,33,11920,30.2
Monroe County,2028,36.3,2034,36
Montgomery County,57864,30.7,66512,31.4
Morgan County,1872,34.1,1864,32.5
Morrow County,4699,37.7,4683,36.1
Muskingum County,9907,32.7,10750,32.3
Noble County,2339,33.9,1454,31.3
Ottawa County,5004,31.7,4850,29.6
Paulding County,2183,31.4,2042,28.5
Perry County,4701,36.4,4581,34.7
Pickaway County,8348,37.5,6734,34.1
Pike County,3250,32,3276,30.5
Portage County,17717,29.9,17080,27.1
Preble County,4985,32.9,5038,31.6
Putnam County,4275,35.2,3895,31.4
Richland County,16167,34.7,14383,31.2
Ross County,11340,36.7,10002,35.9
Sandusky County,7425,34.2,7028,30.6
Scioto County,10584,36.8,10856,35.8
Seneca County,7289,35.8,7076,34
Shelby County,5724,33.2,5552,31.4
Stark County,42031,31.5,44650,30.2
Summit County,57192,29.5,61679,28.9
Trumbull County,24962,33,27269,33.1
Tuscarawas County,11970,35.9,11875,33.3
Union County,5927,34.1,6176,30.7
Van Wert County,3787,37.3,3963,36.1
Vinton County,1589,32.7,1482,29.9
Warren County,22961,29.9,21159,27.2
Washington County,7799,34.3,7895,32.3
Wayne County,11708,29.1,10890,25.7
Williams County,4941,35.9,4593,32.4
Wood County,15230,33.1,13749,28.2
Wyandot County,2976,36.7,2898,33.8
