Year,Delaware,Fairfield,Franklin,Hocking,Licking,Madison,Morrow,Perry,Pickaway,Union
2004,24,26.2,24.7,26.4,26.1,25.1,25.1,25.6,25.9,25.9
2005,25.4,26.4,25,26.4,25.7,25.2,25.5,26.3,25.6,26.4
2006,26.6,29.7,26.7,28.6,28,27.2,28.2,28,28.2,28.5
2007,27.1,30.4,30.2,30.3,30.1,28.7,29.8,28.8,30.4,30.1
2008,26.9,30.7,30.9,31.3,30.2,29.4,29.9,30.4,30.9,31.7
2009,25.9,31.1,30.9,34.5,32.3,31.4,30.3,33.6,33.6,34.4
2010,25.5,30.9,30.3,31.8,30.4,30.7,30.9,36.7,33,34.2
2011,26.5,30.6,29.5,30.5,30.9,31.2,33.8,36.2,34.9,33.6
2012,27.1,31.1,29.2,34,29.3,28.6,36.9,35.5,35.9,32.2
2013,28.1,32.6,29.7,37.5,31.4,29.6,36.9,36.3,34,34.2
