Notes,County,County Code,Year,Year Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Adams County, OH",39001,2007,2007,Drug-induced causes,D,56,28538,196.2
,"Adams County, OH",39001,2008,2008,Drug-induced causes,D,62,28686,216.1
,"Adams County, OH",39001,2009,2009,Drug-induced causes,D,59,28500,207
,"Adams County, OH",39001,2010,2010,Drug-induced causes,D,60,28550,210.2
,"Adams County, OH",39001,2011,2011,Drug-induced causes,D,42,28456,147.6
,"Adams County, OH",39001,2012,2012,Drug-induced causes,D,64,28350,225.7
,"Adams County, OH",39001,2013,2013,Drug-induced causes,D,56,28105,199.3
,"Adams County, OH",39001,2014,2014,Drug-induced causes,D,48,28129,170.6
,"Adams County, OH",39001,2015,2015,Drug-induced causes,D,83,28024,296.2
,"Adams County, OH",39001,2016,2016,Drug-induced causes,D,87,27907,311.7
,"Allen County, OH",39003,1999,1999,Drug-induced causes,D,15,108192,Unreliable
,"Allen County, OH",39003,2001,2001,Drug-induced causes,D,14,108523,Unreliable
,"Allen County, OH",39003,2002,2002,Drug-induced causes,D,10,108518,Unreliable
,"Allen County, OH",39003,2003,2003,Drug-induced causes,D,16,107418,Unreliable
,"Allen County, OH",39003,2004,2004,Drug-induced causes,D,19,106826,Unreliable
,"Allen County, OH",39003,2005,2005,Drug-induced causes,D,24,106861,22.5
,"Allen County, OH",39003,2006,2006,Drug-induced causes,D,27,106716,25.3
,"Allen County, OH",39003,2007,2007,Drug-induced causes,D,199,106717,186.5
,"Allen County, OH",39003,2008,2008,Drug-induced causes,D,230,106773,215.4
,"Allen County, OH",39003,2009,2009,Drug-induced causes,D,193,106518,181.2
,"Allen County, OH",39003,2010,2010,Drug-induced causes,D,209,106331,196.6
,"Allen County, OH",39003,2011,2011,Drug-induced causes,D,202,106094,190.4
,"Allen County, OH",39003,2012,2012,Drug-induced causes,D,210,105141,199.7
,"Allen County, OH",39003,2013,2013,Drug-induced causes,D,217,105298,206.1
,"Allen County, OH",39003,2014,2014,Drug-induced causes,D,214,105040,203.7
,"Allen County, OH",39003,2015,2015,Drug-induced causes,D,240,104425,229.8
,"Allen County, OH",39003,2016,2016,Drug-induced causes,D,248,103742,239.1
,"Ashland County, OH",39005,2004,2004,Drug-induced causes,D,11,52852,Unreliable
,"Ashland County, OH",39005,2005,2005,Drug-induced causes,D,13,53048,Unreliable
,"Ashland County, OH",39005,2006,2006,Drug-induced causes,D,14,53231,Unreliable
,"Ashland County, OH",39005,2007,2007,Drug-induced causes,D,86,53544,160.6
,"Ashland County, OH",39005,2008,2008,Drug-induced causes,D,78,53499,145.8
,"Ashland County, OH",39005,2009,2009,Drug-induced causes,D,103,53305,193.2
,"Ashland County, OH",39005,2010,2010,Drug-induced causes,D,80,53139,150.5
,"Ashland County, OH",39005,2011,2011,Drug-induced causes,D,69,53153,129.8
,"Ashland County, OH",39005,2012,2012,Drug-induced causes,D,84,52962,158.6
,"Ashland County, OH",39005,2013,2013,Drug-induced causes,D,97,53043,182.9
,"Ashland County, OH",39005,2014,2014,Drug-induced causes,D,110,53035,207.4
,"Ashland County, OH",39005,2015,2015,Drug-induced causes,D,95,53213,178.5
,"Ashland County, OH",39005,2016,2016,Drug-induced causes,D,86,53652,160.3
,"Ashtabula County, OH",39007,2001,2001,Drug-induced causes,D,13,102450,Unreliable
,"Ashtabula County, OH",39007,2002,2002,Drug-induced causes,D,18,102577,Unreliable
,"Ashtabula County, OH",39007,2004,2004,Drug-induced causes,D,17,102648,Unreliable
,"Ashtabula County, OH",39007,2005,2005,Drug-induced causes,D,27,102638,26.3
,"Ashtabula County, OH",39007,2006,2006,Drug-induced causes,D,25,102340,24.4
,"Ashtabula County, OH",39007,2007,2007,Drug-induced causes,D,162,102156,158.6
,"Ashtabula County, OH",39007,2008,2008,Drug-induced causes,D,185,101826,181.7
,"Ashtabula County, OH",39007,2009,2009,Drug-induced causes,D,172,101584,169.3
